"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"vs. MIA","4 out of 5 stars","A+","22.1","+0.2","56% (9/16)","9%","Good"
"2","Jalen Hurts",PHI,"vs. JAC","5 out of 5 stars","A+","22.0","+0.7","60% (9/15)","23%","Good"
"3","Lamar Jackson",BAL,"vs. DEN","2 out of 5 stars","A-","21.2","+2.6","62% (10/16)","6%","Great"
"4","Jayden Daniels",WAS,"at NYG","4 out of 5 stars","A-","20.5","0.0","50% (4/8)","11%","Poor"
"5","Joe Burrow",CIN,"vs. LV","3 out of 5 stars","B+","19.7","+1.1","60% (6/10)","4%","Poor"
"6","Patrick Mahomes II",KC,"vs. TB","4 out of 5 stars","B+","18.9","-3.3","13% (2/15)","2%","Bad"
"7","Kirk Cousins",ATL,"vs. DAL","4 out of 5 stars","B","18.2","+0.5","37% (3/8)","1%","Good"
"8","Sam Darnold",MIN,"vs. IND","5 out of 5 stars","B","18.1","+1.5","71% (5/7)","1%","Great"
"9","Kyler Murray",ARI,"vs. CHI","2 out of 5 stars","B-","17.8","+0.7","60% (9/15)","3%","Good"
"10","Dak Prescott",DAL,"at ATL","4 out of 5 stars","B","17.7","+1.1","43% (7/16)","4%","Bad"
"11","Matthew Stafford",LAR,"at SEA","3 out of 5 stars","B-","17.4","+0.9","42% (6/14)","0%","Bad"
"12","Jordan Love",GB,"vs. DET","2 out of 5 stars","B-","17.1","+3.2","66% (10/15)","1%","Good"
"13","Geno Smith",SEA,"vs. LAR","2 out of 5 stars","C+","16.8","-0.1","56% (9/16)","6%","Bad"
"14","Caleb Williams",CHI,"at ARI","3 out of 5 stars","C","16.6","-0.5","42% (3/7)","4%","Bad"
"15","Bo Nix",DEN,"at BAL","4 out of 5 stars","C","16.3","+2.1","50% (4/8)","12%","Bad"
"16","Baker Mayfield",TB,"at KC","2 out of 5 stars","C-","16.1","+4.6","76% (13/17)","3%","Great"
"17","Derek Carr",NO,"at CAR","5 out of 5 stars","C-","15.9","+0.4","53% (7/13)","9%","Average"
"18","Aaron Rodgers",NYJ,"vs. HOU","2 out of 5 stars","D+","15.8","-0.1","37% (3/8)","1%","Bad"
"19","Tua Tagovailoa",MIA,"at BUF","2 out of 5 stars","D+","15.6","-3.1","27% (3/11)","1%","Bad"
"20","Joe Flacco",IND,"at MIN","2 out of 5 stars","D","15.6","+5.6","70% (7/10)","1%","Average"
"21","Jared Goff",DET,"at GB","3 out of 5 stars","D","15.5","+1.5","60% (9/15)","1%","Good"
"22","Justin Herbert",LAC,"at CLE","4 out of 5 stars","D","15.3","-2.2","38% (5/13)","1%","Bad"
"23","Jameis Winston",CLE,"vs. LAC","4 out of 5 stars","D","15.1","+2.1","50% (2/4)","0%","Good"
"24","C.J. Stroud",HOU,"at NYJ","2 out of 5 stars","D-","14.9","-0.2","33% (5/15)","4%","Bad"
"25","Daniel Jones",NYG,"vs. WAS","4 out of 5 stars","F","14.7","-4.0","33% (3/9)","12%","Bad"
"26","Trevor Lawrence",JAC,"at PHI","2 out of 5 stars","F","14.2","+1.2","46% (7/15)","3%","Average"
"27","Drake Maye",NE,"at TEN","3 out of 5 stars","F","13.7","+2.8","50% (2/4)","1%","Great"
"28","Gardner Minshew II",LV,"at CIN","4 out of 5 stars","F","13.1","-0.8","53% (8/15)","1%","Bad"
"29","Mason Rudolph",TEN,"vs. NE","4 out of 5 stars","F","12.1","+2.5","40% (2/5)","1%","Bad"
"30","Bryce Young",CAR,"vs. NO","2 out of 5 stars","F","11.2","-2.8","15% (2/13)","4%","Bad"
"31","Malik Willis",GB,"vs. DET","2 out of 5 stars","F","0.2","+3.8","40% (2/5)","9%","Great"
