"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"vs. JAC","5 out of 5 stars","A+","22.0","+2.3","68% (11/16)","8%","Great"
"2","Jalen Hurts",PHI,"at NO","2 out of 5 stars","A","21.5","+1.1","68% (11/16)","23%","Poor"
"3","Lamar Jackson",BAL,"at DAL","3 out of 5 stars","A","21.0","+1.1","50% (8/16)","6%","Bad"
"4","Kyler Murray",ARI,"vs. DET","4 out of 5 stars","A","20.5","+2.1","66% (6/9)","2%","Great"
"5","Patrick Mahomes II",KC,"at ATL","4 out of 5 stars","A-","19.9","-3.4","18% (3/16)","1%","Great"
"6","Joe Burrow",CIN,"vs. WAS","5 out of 5 stars","A-","19.3","-1.2","55% (5/9)","10%","Bad"
"7","Jayden Daniels",WAS,"at CIN","2 out of 5 stars","B+","18.9","+1.8","50% (1/2)","44%","Bad"
"8","C.J. Stroud",HOU,"at MIN","1 out of 5 stars","B+","18.4","+1.3","35% (5/14)","9%","Great"
"9","Anthony Richardson",IND,"vs. CHI","2 out of 5 stars","B","18.0","-1.0","50% (2/4)","12%","Great"
"10","Dak Prescott",DAL,"vs. BAL","2 out of 5 stars","B","17.7","+1.5","43% (7/16)","0%","Bad"
"11","Jared Goff",DET,"at ARI","4 out of 5 stars","B-","17.5","+0.5","50% (8/16)","1%","Bad"
"12","Brock Purdy",SF,"at LAR","4 out of 5 stars","B-","17.2","+1.0","56% (9/16)","0%","Bad"
"13","Derek Carr",NO,"vs. PHI","4 out of 5 stars","C+","17.0","+0.9","62% (10/16)","7%","Great"
"14","Geno Smith",SEA,"vs. MIA","1 out of 5 stars","C+","16.8","-0.8","46% (7/15)","2%","Great"
"15","Baker Mayfield",TB,"vs. DEN","4 out of 5 stars","C","16.6","+2.9","68% (11/16)","2%","Great"
"16","Deshaun Watson",CLE,"vs. NYG","2 out of 5 stars","C-","16.3","-2.0","50% (3/6)","12%","Bad"
"17","Sam Darnold",MIN,"vs. HOU","5 out of 5 stars","C-","16.1","+2.0","33% (1/3)","1%","Great"
"18","Caleb Williams",CHI,"at IND","2 out of 5 stars","D","16.0","-8.9","0% (0/2)","2%","Bad"
"19","Justin Fields",PIT,"vs. LAC","3 out of 5 stars","D+","15.8","-0.1","50% (6/12)","12%","Bad"
"20","Trevor Lawrence",JAC,"at BUF","2 out of 5 stars","D","15.7","0.0","33% (5/15)","1%","Bad"
"21","Gardner Minshew II",LV,"vs. CAR","3 out of 5 stars","D-","15.5","+0.6","50% (7/14)","0%","Average"
"22","Kirk Cousins",ATL,"vs. KC","3 out of 5 stars","D-","15.2","-0.6","62% (5/8)","1%","Average"
"23","Will Levis",TEN,"vs. GB","1 out of 5 stars","F","14.9","-2.1","27% (3/11)","4%","Good"
"24","Aaron Rodgers",NYJ,"vs. NE","2 out of 5 stars","F","14.7","-3.4","0% (0/2)","1%","Great"
"25","Daniel Jones",NYG,"at CLE","1 out of 5 stars","F","14.5","-8.4","16% (1/6)","8%","Bad"
"26","Andy Dalton",CAR,"at LV","1 out of 5 stars","F","14.4","+4.9","50% (1/2)","0%","N/A"
"27","Bo Nix",DEN,"at TB","4 out of 5 stars","F","14.1","-2.1","0% (0/2)","15%","Bad"
"28","Matthew Stafford",LAR,"vs. SF","3 out of 5 stars","F","13.8","+0.7","46% (7/15)","0%","Bad"
"29","Justin Herbert",LAC,"at PIT","1 out of 5 stars","F","13.5","-1.6","46% (6/13)","4%","Great"
"30","Skylar Thompson",MIA,"at SEA","2 out of 5 stars","F","13.1","-","-","0%","Bad"
"31","Malik Willis",GB,"at TEN","3 out of 5 stars","F","12.7","-1.4","0% (0/4)","2%","Great"
"32","Jacoby Brissett",NE,"at NYJ","1 out of 5 stars","F","12.5","-3.0","0% (0/3)","2%","Bad"
"33","Jordan Love",GB,"at TEN","3 out of 5 stars","F","0.0","+2.8","66% (10/15)","0%","Bad"
