"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER "
"1","Denver Broncos",DEN,"at LV","5 out of 5 stars","A+","9.1","+2.4","58% (10/17)"
"2","Pittsburgh Steelers",PIT,"at CLE","5 out of 5 stars","A","8.3","+1.4","62% (10/16)"
"3","Houston Texans",HOU,"vs. TEN","5 out of 5 stars","A","7.9","+2.1","58% (10/17)"
"4","Kansas City Chiefs",KC,"at CAR","4 out of 5 stars","A-","7.9","-1.1","37% (6/16)"
"5","Washington Commanders",WAS,"vs. DAL","5 out of 5 stars","B+","7.7","-2.6","25% (4/16)"
"6","Tampa Bay Buccaneers",TB,"at NYG","5 out of 5 stars","B+","7.3","-0.4","25% (4/16)"
"7","Minnesota Vikings",MIN,"at CHI","4 out of 5 stars","B","7.3","+4.2","80% (12/15)"
"8","Detroit Lions",DET,"at IND","3 out of 5 stars","B","7.0","+1.7","56% (9/16)"
"9","Chicago Bears",CHI,"vs. MIN","4 out of 5 stars","B-","6.8","+3.4","66% (10/15)"
"10","Miami Dolphins",MIA,"vs. NE","5 out of 5 stars","B-","6.5","+0.4","43% (7/16)"
"11","Philadelphia Eagles",PHI,"at LAR","2 out of 5 stars","B-","6.5","-0.2","50% (8/16)"
"12","Cleveland Browns",CLE,"vs. PIT","2 out of 5 stars","C+","6.0","0.0","56% (9/16)"
"13","San Francisco 49ers",SF,"at GB","1 out of 5 stars","C","5.9","+1.0","43% (7/16)"
"14","Arizona Cardinals",ARI,"at SEA","3 out of 5 stars","C","5.9","-0.1","46% (7/15)"
"15","Tennessee Titans",TEN,"at HOU","2 out of 5 stars","C","5.8","-0.7","43% (7/16)"
"16","Green Bay Packers",GB,"vs. SF","2 out of 5 stars","C","5.8","+1.7","56% (9/16)"
"17","Seattle Seahawks",SEA,"vs. ARI","1 out of 5 stars","C-","5.7","-0.1","43% (7/16)"
"18","New York Giants",NYG,"vs. TB","1 out of 5 stars","C-","5.7","+1.2","53% (8/15)"
"19","Los Angeles Chargers",LAC,"vs. BAL","1 out of 5 stars","D+","5.6","+0.8","56% (9/16)"
"20","Dallas Cowboys",DAL,"at WAS","1 out of 5 stars","D","5.5","-1.7","31% (5/16)"
"21","Baltimore Ravens",BAL,"at LAC","3 out of 5 stars","D","5.3","+0.9","50% (8/16)"
"22","New England Patriots",NE,"at MIA","4 out of 5 stars","D","5.3","+0.5","47% (8/17)"
"23","Las Vegas Raiders",LV,"vs. DEN","3 out of 5 stars","D-","5.0","-0.2","26% (4/15)"
"24","Los Angeles Rams",LAR,"vs. PHI","3 out of 5 stars","F","5.0","+0.8","43% (7/16)"
"25","Indianapolis Colts",IND,"vs. DET","1 out of 5 stars","F","5.0","+0.9","52% (9/17)"
"26","Carolina Panthers",CAR,"vs. KC","2 out of 5 stars","F","4.9","-2.8","25% (4/16)"
