"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"at DET","2 out of 5 stars","A+","23.3","+1.7","62% (10/16)","12%","Great"
"2","Lamar Jackson",BAL,"at NYG","4 out of 5 stars","A","22.3","+3.5","75% (12/16)","5%","Great"
"3","Jayden Daniels",WAS,"at NO","2 out of 5 stars","A","21.5","0.0","46% (6/13)","10%","Poor"
"4","Joe Burrow",CIN,"at TEN","3 out of 5 stars","A","20.7","+3.5","69% (9/13)","2%","Average"
"5","Jalen Hurts",PHI,"vs. PIT","1 out of 5 stars","A","19.9","+0.7","56% (9/16)","20%","Good"
"6","Kyler Murray",ARI,"vs. NE","5 out of 5 stars","B+","19.5","0.0","50% (8/16)","4%","Average"
"7","Sam Darnold",MIN,"vs. CHI","3 out of 5 stars","B","19.0","+2.6","76% (10/13)","3%","Good"
"8","Brock Purdy",SF,"vs. LAR","4 out of 5 stars","B","18.6","-0.4","46% (7/15)","5%","Bad"
"9","Justin Herbert",LAC,"vs. TB","4 out of 5 stars","B","18.1","-0.7","46% (6/13)","3%","Bad"
"10","Patrick Mahomes II",KC,"at CLE","4 out of 5 stars","B-","17.8","-1.3","25% (4/16)","2%","Bad"
"11","Bo Nix",DEN,"vs. IND","4 out of 5 stars","B","17.4","+2.0","61% (8/13)","9%","Average"
"12","Tua Tagovailoa",MIA,"at HOU","3 out of 5 stars","B-","17.1","+1.8","58% (7/12)","1%","Average"
"13","Jared Goff",DET,"vs. BUF","2 out of 5 stars","C+","16.8","+2.0","50% (8/16)","3%","Average"
"14","C.J. Stroud",HOU,"vs. MIA","3 out of 5 stars","C","16.6","-3.0","21% (3/14)","4%","Bad"
"15","Jordan Love",GB,"at SEA","2 out of 5 stars","C","16.4","+2.0","57% (8/14)","3%","Average"
"16","Anthony Richardson",IND,"at DEN","3 out of 5 stars","C","16.3","-2.0","27% (3/11)","11%","Average"
"17","Baker Mayfield",TB,"at LAC","2 out of 5 stars","C","16.2","+4.1","81% (13/16)","3%","Great"
"18","Jameis Winston",CLE,"vs. KC","3 out of 5 stars","C-","16.1","+4.7","66% (6/9)","2%","Good"
"19","Geno Smith",SEA,"vs. GB","2 out of 5 stars","D+","16.0","-0.5","50% (8/16)","4%","Bad"
"20","Matthew Stafford",LAR,"at SF","2 out of 5 stars","D+","15.8","+0.2","43% (7/16)","1%","Bad"
"21","Drake Maye",NE,"at ARI","2 out of 5 stars","D","15.7","+2.0","55% (5/9)","2%","Good"
"22","Caleb Williams",CHI,"at MIN","2 out of 5 stars","D-","15.6","+0.2","46% (6/13)","4%","Bad"
"23","Aaron Rodgers",NYJ,"at JAC","5 out of 5 stars","D-","15.5","-0.2","53% (7/13)","0%","Bad"
"24","Kirk Cousins",ATL,"at LV","4 out of 5 stars","F","15.3","-1.7","23% (3/13)","1%","Average"
"25","Bryce Young",CAR,"vs. DAL","4 out of 5 stars","F","15.1","+0.5","41% (5/12)","3%","Bad"
"26","Will Levis",TEN,"vs. CIN","5 out of 5 stars","F","14.9","-2.8","50% (6/12)","3%","Good"
"27","Cooper Rush",DAL,"at CAR","5 out of 5 stars","F","14.6","+0.4","37% (3/8)","1%","Bad"
"28","Russell Wilson",PIT,"at PHI","1 out of 5 stars","F","14.1","+2.5","55% (5/9)","5%","Average"
"29","Desmond Ridder",LV,"vs. ATL","4 out of 5 stars","F","13.7","+0.9","42% (3/7)","1%","Bad"
"30","Mac Jones",JAC,"vs. NYJ","3 out of 5 stars","F","13.1","+0.1","12% (1/8)","5%","Bad"
"31","Jake Haener",NO,"vs. WAS","5 out of 5 stars","F","12.4","+2.7","50% (2/4)","0%","Bad"
"32","Tommy DeVito",NYG,"vs. BAL","3 out of 5 stars","F","11.6","-6.5","0% (0/3)","4%","Bad"
"33","Aidan O'Connell",LV,"vs. ATL","4 out of 5 stars","F","7.2","-0.2","37% (3/8)","3%","Good"
