"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER "
"1","Kansas City Chiefs",KC,"vs. TB","2 out of 5 stars","A+","7.7","-0.1","53% (8/15)"
"2","Los Angeles Chargers",LAC,"at CLE","5 out of 5 stars","A","7.4","+0.7","50% (8/16)"
"3","Washington Commanders",WAS,"at NYG","5 out of 5 stars","A-","7.3","-2.6","31% (5/16)"
"4","New Orleans Saints",NO,"at CAR","4 out of 5 stars","B+","7.3","+1.4","50% (8/16)"
"5","Philadelphia Eagles",PHI,"vs. JAC","2 out of 5 stars","A","7.1","-1.2","46% (7/15)"
"6","Minnesota Vikings",MIN,"vs. IND","2 out of 5 stars","B+","7.1","+3.0","66% (10/15)"
"7","Baltimore Ravens",BAL,"vs. DEN","3 out of 5 stars","B+","7.0","+1.6","50% (8/16)"
"8","Cincinnati Bengals",CIN,"vs. LV","5 out of 5 stars","B","6.7","-1.9","35% (6/17)"
"9","New York Jets",NYJ,"vs. HOU","1 out of 5 stars","B","6.7","+0.2","47% (8/17)"
"10","Tennessee Titans",TEN,"vs. NE","5 out of 5 stars","B","6.6","-1.1","43% (7/16)"
"11","Buffalo Bills",BUF,"vs. MIA","5 out of 5 stars","B","6.2","+1.8","50% (8/16)"
"12","New England Patriots",NE,"at TEN","5 out of 5 stars","B","6.1","+0.4","50% (8/16)"
"13","Houston Texans",HOU,"at NYJ","2 out of 5 stars","B-","6.0","+1.3","58% (10/17)"
"14","Chicago Bears",CHI,"at ARI","1 out of 5 stars","B-","6.0","+3.4","66% (10/15)"
"15","Detroit Lions",DET,"at GB","2 out of 5 stars","C","5.9","+0.6","40% (6/15)"
"16","Arizona Cardinals",ARI,"vs. CHI","3 out of 5 stars","D+","5.8","-1.1","37% (6/16)"
"17","Cleveland Browns",CLE,"vs. LAC","3 out of 5 stars","D+","5.8","+1.6","64% (11/17)"
"18","Los Angeles Rams",LAR,"at SEA","2 out of 5 stars","D","5.8","-0.2","33% (5/15)"
"19","Seattle Seahawks",SEA,"vs. LAR","2 out of 5 stars","D","5.8","-0.6","41% (7/17)"
"20","Green Bay Packers",GB,"vs. DET","1 out of 5 stars","D","5.7","+1.8","58% (10/17)"
"21","Denver Broncos",DEN,"at BAL","1 out of 5 stars","D","5.7","+3.0","68% (11/16)"
"22","Atlanta Falcons",ATL,"vs. DAL","3 out of 5 stars","D","5.6","-0.4","37% (6/16)"
"23","Indianapolis Colts",IND,"at MIN","2 out of 5 stars","D-","5.4","+2.2","56% (9/16)"
"24","New York Giants",NYG,"vs. WAS","1 out of 5 stars","F","5.2","+1.9","56% (9/16)"
"25","Dallas Cowboys",DAL,"at ATL","2 out of 5 stars","F","5.2","-1.2","31% (5/16)"
"26","Tampa Bay Buccaneers",TB,"at KC","2 out of 5 stars","F","5.2","-0.4","29% (5/17)"
"27","Carolina Panthers",CAR,"vs. NO","5 out of 5 stars","F","5.0","-3.0","23% (4/17)"
"28","Las Vegas Raiders",LV,"at CIN","3 out of 5 stars","F","5.0","+1.0","43% (7/16)"
"29","Miami Dolphins",MIA,"at BUF","1 out of 5 stars","F","4.9","+0.7","46% (7/15)"
"30","Jacksonville Jaguars",JAC,"at PHI","1 out of 5 stars","F","4.7","-1.6","18% (3/16)"
