"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Jalen Hurts",PHI,"vs. ATL","4 out of 5 stars","A+","22.1","+1.0","68% (11/16)","21%","Bad"
"2","Josh Allen",BUF,"at MIA","4 out of 5 stars","A+","22.1","+3.1","68% (11/16)","7%","Great"
"3","Lamar Jackson",BAL,"vs. LV","4 out of 5 stars","A","21.5","+1.6","56% (9/16)","10%","Bad"
"4","Anthony Richardson",IND,"at GB","4 out of 5 stars","A","21.1","+0.4","50% (2/4)","22%","Great"
"5","Patrick Mahomes II",KC,"vs. CIN","3 out of 5 stars","A","20.5","-3.1","18% (3/16)","1%","Great"
"6","Kyler Murray",ARI,"vs. LAR","2 out of 5 stars","A-","19.8","+1.3","62% (5/8)","2%","Bad"
"7","Jayden Daniels",WAS,"vs. NYG","2 out of 5 stars","B+","19.1","+10.1","100% (1/1)","62%","Poor"
"8","C.J. Stroud",HOU,"vs. CHI","4 out of 5 stars","B+","18.7","+2.2","42% (6/14)","15%","Average"
"9","Dak Prescott",DAL,"vs. NO","3 out of 5 stars","B","18.2","+1.9","50% (8/16)","0%","Bad"
"10","Jared Goff",DET,"vs. TB","3 out of 5 stars","B","17.9","+1.3","56% (9/16)","0%","Bad"
"11","Tua Tagovailoa",MIA,"vs. BUF","2 out of 5 stars","B","17.6","-1.6","37% (6/16)","1%","Bad"
"12","Brock Purdy",SF,"at MIN","2 out of 5 stars","B-","17.4","+1.0","56% (9/16)","0%","Bad"
"13","Baker Mayfield",TB,"at DET","4 out of 5 stars","B-","17.3","+2.9","68% (11/16)","2%","Great"
"14","Matthew Stafford",LAR,"at ARI","5 out of 5 stars","C+","17.1","+1.5","53% (8/15)","0%","Bad"
"15","Joe Burrow",CIN,"at KC","2 out of 5 stars","C","16.9","-1.6","44% (4/9)","6%","Bad"
"16","Justin Fields",PIT,"at DEN","5 out of 5 stars","C","16.7","+0.3","50% (6/12)","18%","Bad"
"17","Trevor Lawrence",JAC,"vs. CLE","3 out of 5 stars","C-","16.5","-0.4","33% (5/15)","1%","Great"
"18","Caleb Williams",CHI,"at HOU","4 out of 5 stars","C-","16.4","-10.8","0% (0/1)","3%","Bad"
"19","Daniel Jones",NYG,"at WAS","5 out of 5 stars","D+","16.2","-6.5","16% (1/6)","12%","Bad"
"20","Justin Herbert",LAC,"at CAR","2 out of 5 stars","D","16.1","-1.1","53% (7/13)","0%","Great"
"21","Aaron Rodgers",NYJ,"at TEN","4 out of 5 stars","D","16.0","-5.8","0% (0/1)","0%","Great"
"22","Geno Smith",SEA,"at NE","2 out of 5 stars","D-","15.8","-0.6","46% (7/15)","2%","Great"
"23","Sam Darnold",MIN,"vs. SF","1 out of 5 stars","F","15.6","-0.4","0% (0/3)","0%","Great"
"24","Deshaun Watson",CLE,"at JAC","3 out of 5 stars","F","15.2","-2.7","50% (3/6)","2%","Bad"
"25","Kirk Cousins",ATL,"at PHI","4 out of 5 stars","F","14.9","+0.6","62% (5/8)","2%","Good"
"26","Derek Carr",NO,"at DAL","2 out of 5 stars","F","14.5","-0.1","56% (9/16)","0%","Great"
"27","Malik Willis",GB,"vs. IND","4 out of 5 stars","F","14.2","-1.2","0% (0/4)","0%","N/A"
"28","Bo Nix",DEN,"vs. PIT","3 out of 5 stars","F","14.0","-1.5","0% (0/1)","24%","Bad"
"29","Bryce Young",CAR,"vs. LAC","4 out of 5 stars","F","13.8","-2.1","20% (3/15)","13%","Bad"
"30","Jacoby Brissett",NE,"vs. SEA","2 out of 5 stars","F","13.6","-2.2","0% (0/3)","5%","Bad"
"31","Will Levis",TEN,"vs. NYJ","1 out of 5 stars","F","13.4","-1.9","27% (3/11)","3%","Poor"
"32","Gardner Minshew II",LV,"at BAL","1 out of 5 stars","F","13.2","+1.3","50% (7/14)","4%","Great"
"33","Drake Maye",NE,"vs. SEA","2 out of 5 stars","F","3.6","-0.2","0% (0/1)","0%","N/A"
"34","Aidan O'Connell",LV,"at BAL","1 out of 5 stars","F","0.0","-0.6","30% (3/10)","0%","N/A"
"35","Sam Howell",SEA,"at NE","2 out of 5 stars","F","0.0","+0.7","62% (10/16)","0%","N/A"
