"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"57","Devaughn Vele",DEN,"vs. ATL","4 out of 5 stars","D","7.6","+2.5","50% (3/6)","3%","Great"
"58","Mike Williams",PIT,"vs. BAL","3 out of 5 stars","D","7.0","-2.0","30% (3/10)","6%","Great"
"59","Demarcus Robinson",LAR,"at NE","3 out of 5 stars","D-","6.9","+3.8","60% (9/15)","15%","Average"
"60","Gabe Davis",JAC,"at DET","2 out of 5 stars","D-","6.7","-2.0","20% (3/15)","16%","Bad"
"61","Ray-Ray McCloud III",ATL,"at DEN","3 out of 5 stars","D-","6.3","-0.5","50% (5/10)","5%","Poor"
"62","Nick Westbrook-Ikhine",TEN,"vs. MIN","3 out of 5 stars","D-","6.2","+1.1","41% (5/12)","21%","Great"
"63","Mack Hollins",BUF,"vs. KC","4 out of 5 stars","D-","6.1","+0.8","40% (4/10)","6%","Great"
"64","Alec Pierce",IND,"at NYJ","3 out of 5 stars","F","6.0","+2.9","50% (8/16)","7%","Great"
"65","Tre Tucker",LV,"at MIA","3 out of 5 stars","F","6.0","+0.6","33% (5/15)","7%","Good"
"66","Jalen Tolbert",DAL,"vs. HOU","4 out of 5 stars","F","5.9","+0.4","37% (6/16)","16%","Poor"
"67","Dontayvion Wicks",GB,"at CHI","2 out of 5 stars","F","5.9","+0.3","50% (7/14)","11%","Good"
"68","Andrei Iosivas",CIN,"at LAC","4 out of 5 stars","F","5.8","-0.4","37% (6/16)","6%","Good"
"69","Curtis Samuel",BUF,"vs. KC","4 out of 5 stars","F","5.7","-1.7","26% (4/15)","3%","Bad"
"70","John Metchie III",HOU,"at DAL","4 out of 5 stars","F","5.3","-0.4","14% (2/14)","7%","Average"
"71","Adonai Mitchell",IND,"at NYJ","3 out of 5 stars","F","5.2","-2.1","20% (2/10)","5%","Bad"
"72","Troy Franklin",DEN,"vs. ATL","4 out of 5 stars","F","5.2","-0.9","22% (2/9)","10%","Bad"
"73","Diontae Johnson",BAL,"at PIT","3 out of 5 stars","F","5.1","-1.3","43% (7/16)","1%","N/A"
"74","Lil'Jordan Humphrey",DEN,"vs. ATL","4 out of 5 stars","F","4.9","+0.7","50% (8/16)","9%","Bad"
"75","Parker Washington",JAC,"at DET","2 out of 5 stars","F","4.8","-1.1","21% (3/14)","5%","Bad"
"76","Jalen Nailor",MIN,"at TEN","2 out of 5 stars","F","4.8","+0.6","50% (6/12)","9%","Good"
"77","Marvin Mims Jr.",DEN,"vs. ATL","4 out of 5 stars","F","4.7","-1.3","31% (5/16)","2%","Bad"
"78","Mason Tipton",NO,"vs. CLE","3 out of 5 stars","F","4.6","-1.6","22% (2/9)","3%","Bad"
"79","Tyler Boyd",TEN,"vs. MIN","3 out of 5 stars","F","4.5","-2.0","18% (3/16)","12%","Bad"
"80","JuJu Smith-Schuster",KC,"at BUF","4 out of 5 stars","F","4.3","-0.5","33% (3/9)","5%","Average"
"81","Olamide Zaccheaus",WAS,"at PHI","2 out of 5 stars","F","4.2","-0.3","29% (5/17)","2%","Bad"
"82","Kalif Raymond",DET,"vs. JAC","3 out of 5 stars","F","3.9","+1.4","50% (8/16)","4%","Great"
"83","Jermaine Burton",CIN,"at LAC","4 out of 5 stars","F","3.9","0.0","25% (2/8)","8%","Bad"
