"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"vs. NYJ","3 out of 5 stars","A+","24.3","+2.1","62% (10/16)","12%","Good"
"2","Lamar Jackson",BAL,"at HOU","2 out of 5 stars","A","22.7","+4.2","75% (12/16)","4%","Great"
"3","Jayden Daniels",WAS,"vs. ATL","4 out of 5 stars","A","21.4","+1.4","53% (8/15)","10%","Average"
"4","Joe Burrow",CIN,"vs. DEN","2 out of 5 stars","A","20.2","+3.0","66% (10/15)","2%","Average"
"5","Baker Mayfield",TB,"vs. CAR","5 out of 5 stars","A","19.5","+4.1","81% (13/16)","2%","Great"
"6","Sam Darnold",MIN,"vs. GB","2 out of 5 stars","A","18.9","+2.1","73% (11/15)","3%","Good"
"7","Jared Goff",DET,"at SF","2 out of 5 stars","B+","18.4","+3.3","56% (9/16)","2%","Good"
"8","Bo Nix",DEN,"at CIN","4 out of 5 stars","B+","18.2","+1.9","60% (9/15)","8%","Average"
"9","Brock Purdy",SF,"vs. DET","2 out of 5 stars","B","18.0","-0.4","46% (7/15)","5%","Bad"
"10","Kyler Murray",ARI,"at LAR","3 out of 5 stars","B","17.7","-0.6","50% (8/16)","4%","Poor"
"11","Jordan Love",GB,"at MIN","2 out of 5 stars","B-","17.3","+1.1","50% (7/14)","3%","Average"
"12","Patrick Mahomes II",KC,"at PIT","1 out of 5 stars","B-","17.0","-0.8","31% (5/16)","2%","Bad"
"13","Justin Herbert",LAC,"at NE","4 out of 5 stars","C+","16.6","-0.3","46% (7/15)","3%","Poor"
"14","Matthew Stafford",LAR,"vs. ARI","3 out of 5 stars","C+","16.3","-1.1","31% (5/16)","1%","Bad"
"15","Bryce Young",CAR,"at TB","4 out of 5 stars","C","16.1","+0.8","41% (5/12)","2%","Bad"
"16","Caleb Williams",CHI,"vs. SEA","3 out of 5 stars","C-","16.0","+0.2","46% (7/15)","3%","Bad"
"17","Geno Smith",SEA,"at CHI","2 out of 5 stars","C-","15.9","-0.3","50% (8/16)","4%","Bad"
"18","C.J. Stroud",HOU,"vs. BAL","3 out of 5 stars","C-","15.9","-2.7","25% (4/16)","3%","Bad"
"19","Drake Maye",NE,"vs. LAC","3 out of 5 stars","D+","15.8","+2.1","63% (7/11)","2%","Average"
"20","Mason Rudolph",TEN,"at JAC","5 out of 5 stars","D+","15.6","+2.1","33% (4/12)","2%","Average"
"21","Aaron Rodgers",NYJ,"at BUF","4 out of 5 stars","D","15.3","+0.6","53% (8/15)","0%","Bad"
"22","Joe Flacco",IND,"at NYG","4 out of 5 stars","D-","15.0","+0.9","25% (3/12)","1%","Average"
"23","Michael Penix Jr.",ATL,"at WAS","5 out of 5 stars","D","14.7","-0.8","20% (2/10)","0%","Bad"
"24","Russell Wilson",PIT,"vs. KC","2 out of 5 stars","D-","14.3","+1.2","44% (4/9)","6%","Average"
"25","Aidan O'Connell",LV,"at NO","2 out of 5 stars","F","14.0","-1.1","28% (2/7)","3%","Poor"
"26","Mac Jones",JAC,"vs. TEN","3 out of 5 stars","F","13.7","+0.9","30% (3/10)","4%","Bad"
"27","Kenny Pickett",PHI,"vs. DAL","4 out of 5 stars","F","13.4","+0.8","18% (2/11)","0%","Average"
"28","Cooper Rush",DAL,"at PHI","2 out of 5 stars","F","13.0","+0.8","50% (5/10)","1%","Poor"
"29","Tyler Huntley",MIA,"at CLE","4 out of 5 stars","F","12.7","-4.4","0% (0/3)","5%","Bad"
"30","Dorian Thompson-Robinson",CLE,"vs. MIA","3 out of 5 stars","F","12.3","+0.1","20% (2/10)","1%","Bad"
"31","Spencer Rattler",NO,"vs. LV","4 out of 5 stars","F","12.0","-1.7","40% (2/5)","0%","Bad"
"32","Tua Tagovailoa",MIA,"at CLE","4 out of 5 stars","F","11.6","+1.0","58% (7/12)","1%","Average"
"33","Drew Lock",NYG,"vs. IND","3 out of 5 stars","F","0.2","0.0","33% (3/9)","1%","Bad"
"34","Carson Wentz",KC,"at PIT","1 out of 5 stars","F","0.2","-0.1","9% (1/11)","3%","Bad"
