player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,2,1,,0,1,17,0,0,60.0,77.8,79.4,65.3,76.2,73.5,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,43,43,3,10,26,4,0,0,25,17,0,0,2,0,0,2,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,0,0,61.5,59.7,74.7,52.2,64.0,72.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,21,21,0,0,20,1,0,0,12,7,0,2,2,0,0,0,0,0,0,
Linval Joseph,5571,DI,DAL,1,2,0,,0,0,9,0,0,69.1,55.2,74.7,54.9,47.0,69.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,15,15,8,7,0,0,0,0,9,6,0,0,1,0,0,0,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,0,,0,0,20,0,0,,43.8,76.0,56.8,43.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,19,19,0,1,12,6,0,0,12,7,0,0,0,0,0,0,0,0,0,
Cameron Heyward,6183,DI,PIT,1,1,0,,0,0,25,0,0,,86.7,76.7,79.7,73.5,71.1,2,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,49,49,0,33,1,15,0,0,31,18,0,4,5,0,0,7,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,1,0,0,,0,0,7,0,0,,37.5,73.7,55.3,42.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,1,11,0,3,0,0,4,11,0,0,0,0,0,0,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,0,0,75.0,0,0,18,0,0,45.0,44.7,77.5,,48.4,60.2,0,0,0,0,27,16.7,1,1,1,155.2,6,0,0,9,52,36,66,0,0,0,0,0,0,66,0,30,5,0,5,0,8,0,1,98,31,16.3
Bobby Wagner,7050,LB,WAS,1,2,0,33.3,0,0,32,0,0,51.0,64.9,77.2,67.8,71.3,81.0,1,3,0,0,22,0.0,0,0,0,60.4,1,0,0,56,0,25,63,1,0,0,1,0,0,62,11,27,6,4,6,0,3,4,0,22,7,22.0
Lavonte David,7060,LB,TB,1,3,0,80.0,0,0,30,0,0,51.3,57.0,77.2,64.9,60.9,79.4,0,1,0,0,49,0.0,0,0,0,154.6,4,0,0,38,0,27,54,7,0,0,7,0,0,47,1,26,9,3,3,1,5,1,1,58,49,14.5
Demario Davis,7079,LB,NO,1,1,0,66.7,0,0,20,0,0,66.8,68.5,76.5,54.4,66.3,38.0,0,1,0,0,15,20.0,2,0,0,79.9,2,0,0,55,0,38,66,8,0,0,8,0,0,58,3,25,3,7,7,0,3,1,0,16,20,8.0
Rodney McLeod,7271,S,CLV,1,0,0,60.0,0,0,8,0,0,52.3,52.3,75.4,55.7,62.0,29.6,0,0,0,0,14,33.3,1,1,0,67.9,3,0,0,12,0,30,42,2,0,0,2,0,13,40,2,10,15,0,2,0,5,0,0,19,23,6.3
Harrison Smith,7641,S,MIN,1,0,0,83.3,0,0,18,0,0,56.1,61.9,77.3,59.4,72.5,61.0,0,0,0,0,21,12.5,1,0,0,138.9,5,0,0,29,1,37,71,6,0,0,6,0,26,65,2,32,9,3,7,1,6,0,1,47,31,9.4
Darius Slay,7817,CB,PHI,1,0,0,50.0,0,0,24,0,0,64.7,65.8,76.2,,65.4,77.8,0,0,0,0,41,0.0,0,1,0,79.9,3,0,0,1,39,29,41,0,0,0,0,0,0,41,0,12,1,2,4,0,6,0,0,52,16,17.3
Johnathan Hankins,7830,DI,SEA,1,1,0,,0,0,29,0,0,,30.7,0.0,60.3,38.9,67.6,0,2,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,28,28,7,21,0,0,0,0,12,16,0,0,0,0,0,2,0,0,0,
Tyrann Mathieu,7850,S,NO,1,0,0,100.0,0,0,20,0,0,41.8,39.2,75.8,58.5,57.1,53.9,0,0,0,0,45,20.0,1,0,0,118.8,3,0,0,17,0,40,66,1,0,0,1,0,42,65,1,25,6,1,4,0,3,0,0,79,14,26.3
John Jenkins,7863,DI,LV,1,1,1,,0,0,23,0,0,,52.4,77.2,59.9,51.0,70.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,45,45,17,28,0,0,0,0,19,26,0,1,3,0,0,1,0,0,0,
William Gholston,7908,DI,TB,1,0,0,,0,0,30,0,0,,68.3,71.0,57.7,66.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,4,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,
