player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,0,0,,0,0,17,0,0,,86.0,78.3,57.6,90.2,73.7,0,2,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,37,37,0,6,22,9,0,0,19,18,0,6,6,3,0,2,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,0,0,61.9,70.9,74.9,65.6,65.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,20,19,0,0,18,1,0,1,9,8,1,0,0,0,0,0,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,0,,0,0,20,0,0,60.0,44.0,78.3,48.7,47.1,70.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,0,1,25,8,0,0,18,16,0,1,2,0,0,0,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,1,,0,0,25,0,0,,64.1,76.1,71.6,51.2,70.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,40,40,2,26,0,12,0,0,29,11,0,1,2,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,1,0,0,100.0,0,0,32,0,0,77.8,90.7,66.0,,60.0,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,1,1,1,2,0,0,-4,3,-2.0
Stephon Gilmore,7016,CB,MIN,1,1,0,100.0,0,0,18,0,0,53.5,56.1,75.9,,63.3,62.8,0,0,0,0,21,20.0,1,0,0,157.6,3,0,0,9,35,24,47,0,0,0,0,0,0,47,0,23,3,0,3,0,3,0,1,37,17,12.3
Bobby Wagner,7050,LB,WAS,1,2,0,0.0,0,0,32,0,0,69.3,75.1,75.6,56.1,71.4,79.8,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,36,0,17,40,2,0,0,2,0,0,38,3,20,2,1,4,0,1,1,0,0,0,
Lavonte David,7060,LB,TB,1,0,1,66.7,0,0,30,0,0,30.0,56.1,74.0,78.5,76.2,49.6,0,1,0,0,20,33.3,1,0,0,96.5,2,0,0,52,2,25,59,1,0,0,1,0,0,58,5,29,4,2,2,1,3,1,0,28,6,14.0
Demario Davis,7079,LB,NO,1,0,0,100.0,0,0,20,0,0,59.7,55.7,75.4,65.1,50.5,43.3,0,1,0,0,23,12.5,1,0,0,111.8,6,0,0,57,0,33,65,5,0,0,5,0,0,60,3,29,3,2,7,0,6,1,0,65,39,10.8
Rodney McLeod,7271,S,CLV,1,1,0,100.0,0,0,8,0,0,41.7,39.9,74.7,,58.0,31.4,0,0,0,0,10,33.3,1,0,0,108.3,1,0,0,11,0,19,36,0,0,0,0,0,22,36,0,17,3,0,1,0,1,0,0,10,10,10.0
