player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,0,0,,0,0,17,0,0,60.0,72.6,79.4,65.6,69.3,27.5,1,3,0,0,,40.0,2,0,0,0.0,0,0,0,1,0,1,43,42,1,6,22,13,0,1,29,13,0,3,3,0,0,4,0,0,0,
Linval Joseph,5571,DI,DAL,1,0,0,,0,0,9,0,0,,57.7,74.7,63.8,54.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,14,14,8,6,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,0,0,60.9,84.7,75.9,70.4,79.8,34.3,0,3,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,2,25,25,0,0,25,0,0,0,14,9,0,2,2,0,0,3,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,1,,0,0,20,0,0,60.0,74.2,78.4,65.4,73.7,71.4,2,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,42,42,0,1,20,21,0,0,36,6,0,2,1,0,0,5,0,0,0,
Cameron Heyward,6183,DI,PIT,1,2,0,,0,0,25,0,0,,64.3,76.4,61.1,63.0,43.1,0,1,0,0,,25.0,1,0,0,0.0,0,2,0,0,0,0,44,44,2,25,1,16,0,0,26,18,0,3,1,0,0,3,0,0,0,
Lavonte David,7060,LB,TB,1,0,0,100.0,0,0,30,1,0,71.2,65.8,76.6,70.0,47.0,57.9,0,3,0,0,9,14.3,1,0,0,104.2,1,1,0,61,0,30,67,1,0,0,1,0,1,66,13,24,4,2,6,0,1,4,0,9,4,9.0
Demario Davis,7079,LB,NO,1,4,0,40.0,0,0,20,0,0,66.2,75.9,75.5,82.2,76.1,83.2,0,1,0,1,17,0.0,0,0,0,14.2,2,0,0,73,1,56,78,2,0,0,2,0,0,76,4,18,2,1,5,0,5,1,0,22,0,11.0
Rodney McLeod,7271,S,CLV,1,0,0,100.0,0,0,8,0,0,50.4,56.5,76.3,60.0,73.4,70.5,0,0,0,0,10,0.0,0,0,0,143.8,2,0,0,6,0,17,31,3,0,0,3,0,11,28,1,13,11,1,1,0,2,0,1,18,1,9.0
Tashaun Gipson Sr.,7288,S,SF,1,0,0,,0,0,28,0,0,61.1,62.2,71.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,4,7,0,0,0,0,0,5,7,0,3,1,0,0,0,0,0,0,0,0,
Harrison Smith,7641,S,MIN,1,2,0,100.0,0,0,18,0,0,67.3,74.7,78.2,54.4,78.5,81.8,0,1,0,0,6,0.0,0,0,0,91.7,1,0,0,13,0,29,63,9,0,0,9,0,31,54,4,30,10,2,4,1,1,1,0,6,8,6.0
