player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,0,0,,0,0,17,0,0,60.0,66.1,78.1,57.9,72.5,34.5,1,1,0,0,,25.0,1,0,0,0.0,0,0,0,1,0,1,37,36,2,7,13,14,0,1,26,10,0,3,3,0,0,2,0,0,0,
Kareem Jackson,5545,S,BUF,1,0,0,,0,0,4,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Linval Joseph,5571,DI,DAL,1,0,0,,0,0,9,0,0,,80.2,74.3,62.3,75.9,69.6,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,12,12,7,5,0,0,0,0,9,3,0,3,2,0,0,1,0,0,0,
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,0,0,62.9,83.0,76.9,91.0,37.5,24.8,1,5,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,3,32,32,0,0,32,0,0,0,23,6,0,0,0,0,0,6,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,0,,0,0,20,0,0,60.0,60.0,0.0,50.5,65.9,30.1,0,1,0,0,,16.7,1,0,1,0.0,0,0,0,0,0,0,34,34,0,1,28,5,0,0,12,22,0,5,5,1,0,1,0,0,0,
Cameron Heyward,6183,DI,PIT,1,2,0,,0,0,25,0,0,60.9,62.3,76.7,53.1,60.2,72.5,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,50,50,2,18,3,27,0,0,21,29,0,2,3,1,0,2,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,0,0,33.3,0,0,18,0,0,57.0,58.8,77.9,,65.6,75.2,0,0,0,0,25,0.0,0,2,2,97.2,2,0,0,4,55,46,60,0,0,0,0,0,0,60,0,14,1,0,2,0,6,0,1,40,13,20.0
Bobby Wagner,7050,LB,WAS,1,2,0,0.0,0,0,32,0,0,70.7,90.8,78.1,90.5,81.0,82.9,1,3,0,0,,0.0,0,1,0,39.6,0,0,0,73,0,31,74,0,0,0,0,0,0,74,9,34,1,5,8,0,1,4,0,0,0,
Lavonte David,7060,LB,TB,1,1,0,90.0,0,0,30,0,0,44.2,44.5,77.1,48.3,59.1,32.1,0,0,0,0,21,27.3,3,0,0,132.1,9,0,0,47,0,32,60,4,0,0,4,0,0,56,7,21,9,5,7,2,10,0,1,77,53,8.6
Demario Davis,7079,LB,NO,1,1,0,,0,0,20,0,0,71.7,69.2,77.0,50.5,64.2,35.8,1,0,0,0,,27.3,3,0,0,0.0,0,0,0,64,2,25,69,0,0,0,0,0,0,69,5,39,3,2,7,1,0,1,0,0,0,
