player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,2,1,,0,0,17,0,0,,91.1,76.5,90.0,76.9,70.1,1,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,29,29,0,22,1,6,0,0,18,11,0,1,0,0,0,5,0,0,0,
Brandon Graham,5538,ED,PHI,1,1,0,,0,0,24,0,0,67.1,76.6,76.9,69.0,63.9,69.9,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,35,35,0,1,24,10,0,0,14,20,0,1,1,0,0,2,0,0,0,
Jerry Hughes,5556,ED,HST,1,1,0,,0,0,13,0,0,60.0,67.3,73.0,56.9,65.3,69.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,6,6,0,0,6,0,0,0,2,3,0,0,0,0,0,1,0,0,0,
Linval Joseph,5571,DI,DAL,1,0,0,,0,0,9,0,0,,28.6,74.0,56.2,29.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,13,13,11,2,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,0,0,60.0,70.6,76.2,68.0,60.0,69.9,1,2,0,0,,,0,0,0,0.0,0,1,0,0,0,1,26,26,0,0,26,0,0,0,23,2,0,1,0,0,0,4,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,0,,0,0,20,0,0,,61.0,76.8,57.9,61.5,69.6,0,2,0,0,,,0,0,0,0.0,0,0,0,0,0,0,20,20,0,0,17,3,0,0,11,9,0,0,0,0,0,2,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,0,,0,0,25,0,0,,90.2,75.6,74.1,85.7,71.8,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,34,34,2,15,3,14,0,0,19,15,0,4,3,1,0,2,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,1,1,0,,0,0,7,0,0,,75.3,75.0,64.0,71.1,67.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,17,17,0,15,0,2,0,0,8,9,0,0,0,0,0,0,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,2,0,100.0,0,0,18,0,0,61.6,62.2,78.2,,61.1,78.9,0,0,0,0,12,0.0,0,0,0,91.0,6,0,0,0,43,37,45,0,0,0,0,0,0,45,0,8,2,3,3,1,6,0,0,35,29,5.8
Bobby Wagner,7050,LB,WAS,1,0,0,100.0,0,0,32,0,0,62.5,71.1,74.2,74.6,71.3,56.9,0,0,0,0,13,11.1,1,0,0,99.3,6,0,0,58,0,39,62,1,0,0,1,0,0,61,4,19,3,3,8,0,6,0,0,47,28,7.8
Lavonte David,7060,LB,TB,1,1,0,100.0,0,1,30,0,0,65.3,64.5,75.3,50.6,64.4,58.1,0,0,0,0,13,12.5,1,0,0,98.6,3,0,0,59,0,37,68,4,0,0,4,0,0,64,7,24,5,2,6,0,3,0,0,23,30,7.7
Demario Davis,7079,LB,NO,1,2,0,100.0,0,0,20,0,0,57.3,44.5,77.3,51.2,39.0,55.2,0,0,0,0,21,14.3,1,0,0,118.8,2,0,0,59,0,37,63,1,0,0,1,0,0,62,4,22,3,2,4,0,2,0,0,27,21,13.5
