player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,1,2,,0,0,17,0,0,,72.8,77.3,70.5,62.7,71.2,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,33,33,1,15,10,7,0,0,25,8,0,2,1,0,0,3,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,0,0,55.4,61.4,74.5,67.9,61.9,36.0,0,1,0,0,,50.0,1,0,0,0.0,0,1,0,0,0,1,22,22,0,1,19,2,0,0,12,9,0,1,1,0,0,2,0,0,0,
Jerry Hughes,5556,ED,HST,1,1,0,,0,0,13,0,0,60.2,63.4,74.2,52.0,60.0,71.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,7,6,0,0,6,0,1,1,5,1,0,0,1,0,0,0,0,0,0,
Linval Joseph,5571,DI,DAL,1,0,0,,0,0,9,0,0,,58.1,74.7,56.7,59.1,67.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,15,15,6,9,0,0,0,0,4,11,0,1,1,0,0,0,0,0,0,
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,0,0,60.0,86.0,75.9,83.9,60.2,,1,1,0,0,,,0,0,0,0.0,0,0,0,0,0,1,23,23,0,0,23,0,0,0,18,4,0,0,0,0,0,2,0,0,0,
Cameron Jordan,6176,ED,NO,1,1,0,,0,0,20,0,0,63.3,46.9,79.4,57.3,41.7,43.2,0,0,0,0,,25.0,1,0,0,0.0,0,1,0,0,0,4,42,42,0,2,33,7,0,0,19,19,0,1,2,0,0,1,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,1,,0,0,25,0,0,60.0,55.2,77.1,66.2,50.3,30.3,0,0,0,0,,100.0,1,0,0,0.0,0,2,0,0,0,0,55,55,0,34,2,19,0,0,36,19,0,2,0,0,0,2,0,0,0,
Nick Bellore,6515,LB,WAS,1,0,0,,0,0,32,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,1,0,50.0,0,0,18,0,0,48.7,54.4,77.1,,73.7,61.7,0,0,0,0,7,16.7,1,0,0,56.3,2,0,0,6,32,28,44,2,0,0,2,0,2,42,0,16,2,3,4,0,4,0,0,9,4,4.5
Bobby Wagner,7050,LB,WAS,1,3,0,,0,0,32,0,0,69.7,63.9,77.1,62.9,55.2,29.8,0,1,0,0,,25.0,2,0,0,0.0,0,0,0,73,0,31,78,0,0,0,0,0,0,78,5,42,5,0,3,0,0,1,0,0,0,
Lavonte David,7060,LB,TB,1,4,0,83.3,0,0,30,0,0,45.2,55.0,73.7,47.0,78.9,39.2,0,1,0,0,33,18.2,2,0,0,118.8,5,0,0,60,0,34,64,4,0,0,4,0,0,60,11,19,0,3,5,0,6,1,0,87,55,17.4
Demario Davis,7079,LB,NO,1,5,0,,0,0,20,0,0,64.8,63.4,77.6,51.5,60.9,83.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,72,0,40,78,3,0,0,3,0,1,75,4,34,2,2,4,0,0,0,0,0,0,
Harrison Smith,7641,S,MIN,1,0,0,100.0,0,0,18,0,0,59.3,60.0,77.3,57.7,61.4,77.2,0,1,0,0,15,0.0,0,0,0,118.8,1,0,0,5,1,26,44,8,0,0,8,0,28,36,2,16,2,1,1,0,1,1,0,15,0,15.0
Darius Slay,7817,CB,PHI,1,1,0,0.0,0,0,24,0,0,66.3,63.0,73.6,,51.9,75.1,0,0,0,0,,0.0,0,2,1,39.6,0,0,0,2,22,16,24,0,0,0,0,0,0,24,0,8,0,0,0,0,2,0,0,0,0,
Tyrann Mathieu,7850,S,NO,1,0,0,0.0,0,0,20,0,0,74.3,71.5,77.3,,50.0,39.7,0,0,0,1,,25.0,1,0,0,0.0,0,0,0,17,0,44,77,1,0,0,1,0,50,76,0,33,9,0,3,0,1,0,0,0,0,
