player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,0,1,,0,0,17,0,0,60.0,52.8,75.9,67.6,45.3,67.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,23,23,1,13,4,5,0,0,12,10,0,0,1,0,0,0,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,0,0,62.6,69.8,0.0,73.6,69.4,72.4,0,3,0,0,,,0,0,1,0.0,0,0,0,1,0,2,28,27,0,2,25,0,0,1,15,11,0,0,0,0,0,3,0,0,0,
Jerry Hughes,5556,ED,HST,1,0,0,,0,0,13,0,0,60.0,43.7,75.8,53.1,47.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,13,13,0,0,11,2,0,0,7,5,0,0,0,0,0,0,0,0,0,
Linval Joseph,5571,DI,DAL,1,1,0,,0,0,9,0,0,,28.7,76.8,57.1,29.2,68.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,24,24,22,2,0,0,0,0,5,19,0,0,1,0,0,0,0,0,0,
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,0,0,60.6,90.7,76.5,88.0,69.3,72.0,0,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,1,29,29,0,0,29,0,0,0,22,6,0,1,1,0,0,4,0,0,0,
Cameron Jordan,6176,ED,NO,1,1,1,,0,0,20,0,0,60.1,62.7,78.0,57.3,65.2,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,34,33,3,1,17,12,0,1,23,10,0,1,1,0,0,0,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,0,,0,0,25,0,0,60.0,70.0,76.1,59.7,72.9,70.5,2,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,1,17,3,20,0,0,29,12,0,1,3,0,0,6,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,0,0,70.0,0,1,18,0,0,54.3,64.5,77.6,,91.8,80.4,0,0,0,0,22,0.0,0,0,0,90.0,7,0,0,9,56,44,68,0,0,0,0,0,1,68,0,24,2,3,7,0,10,0,0,71,7,10.1
Bobby Wagner,7050,LB,WAS,1,4,0,33.3,0,0,32,0,0,64.5,89.3,75.2,55.8,92.2,81.1,0,0,0,0,8,0.0,0,1,0,42.4,1,0,0,52,1,31,56,2,0,0,2,0,0,54,2,23,1,2,5,1,3,0,0,8,3,8.0
Lavonte David,7060,LB,TB,1,2,0,100.0,0,0,30,0,0,65.2,63.8,75.2,81.5,50.6,27.4,1,0,0,0,9,33.3,3,0,0,87.5,5,0,0,70,1,56,85,4,0,0,4,0,1,81,4,25,9,1,4,0,5,1,0,25,21,5.0
