player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,0,0,,0,0,17,0,0,,78.0,87.3,49.6,89.4,72.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,32,30,0,9,11,10,0,2,18,14,0,4,4,1,0,1,0,0,0,
Kareem Jackson,5545,S,BUF,1,1,0,50.0,0,0,4,0,0,65.9,67.5,80.2,57.1,60.0,80.0,0,0,0,0,4,0.0,0,0,0,56.3,1,0,0,5,0,29,32,1,0,0,1,0,25,31,2,1,1,0,2,0,2,0,0,4,0,4.0
Linval Joseph,5571,DI,DAL,1,0,0,,0,0,9,0,0,,68.0,73.9,55.5,67.1,65.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,9,9,7,2,0,0,0,0,6,3,0,1,1,0,0,0,0,0,0,
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,0,0,60.0,61.8,76.2,60.3,,,0,3,0,0,,,0,0,0,0.0,0,0,0,0,0,1,27,27,0,0,27,0,0,0,26,0,0,0,0,0,0,3,0,0,0,
Cameron Jordan,6176,ED,NO,1,2,1,,0,0,20,0,0,,66.7,78.7,67.4,59.4,74.4,0,3,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,39,39,0,1,25,13,0,0,23,16,0,4,2,0,0,5,0,0,0,
Cameron Heyward,6183,DI,PIT,1,2,0,,0,0,25,0,0,,66.1,77.4,58.1,67.4,39.0,0,4,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,0,58,58,3,30,4,21,0,0,29,29,0,1,2,0,0,4,0,0,0,
Bobby Wagner,7050,LB,WAS,1,1,0,100.0,0,0,32,0,0,53.3,71.1,76.8,90.0,75.7,77.8,1,1,0,0,19,0.0,0,0,0,116.7,3,0,0,49,0,35,55,1,0,0,1,0,0,54,5,15,5,2,4,1,3,2,0,36,17,12.0
Lavonte David,7060,LB,TB,1,1,0,100.0,0,0,30,0,0,57.5,71.7,75.9,70.9,76.3,72.9,1,1,0,0,20,9.1,1,0,0,105.8,5,2,0,39,0,26,51,9,0,0,9,0,0,42,14,11,3,5,9,0,5,4,0,47,11,9.4
Demario Davis,7079,LB,NO,1,0,0,100.0,0,0,20,0,0,50.2,72.6,77.5,86.7,85.8,64.3,0,1,0,0,12,9.1,1,0,0,98.6,3,1,0,73,0,45,78,1,0,0,1,0,0,77,4,29,4,5,10,2,3,2,0,23,21,7.7
Rodney McLeod,7271,S,CLV,1,1,0,100.0,0,0,8,0,0,28.5,30.4,69.6,,60.3,27.1,0,0,0,0,6,50.0,1,0,0,131.3,1,0,0,19,1,11,28,1,0,0,1,0,2,27,0,17,5,0,0,0,1,0,1,6,0,6.0
