player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,1,0,,0,0,17,0,0,60.3,62.1,79.6,53.5,69.0,41.2,0,0,0,0,,12.5,1,0,0,0.0,0,0,0,1,0,1,50,49,1,17,25,6,0,1,37,12,0,3,6,0,0,0,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,100.0,0,0,24,0,0,49.4,48.3,77.6,56.5,59.4,21.5,0,3,0,0,5,100.0,1,0,0,87.5,1,0,0,0,0,1,37,37,0,0,37,0,0,0,26,10,0,0,0,0,1,3,0,5,8,5.0
Linval Joseph,5571,DI,DAL,1,0,0,,0,0,9,0,0,,50.2,75.7,56.2,52.2,67.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,18,18,9,9,0,0,0,0,4,14,0,0,1,0,0,0,0,0,0,
Von Miller,6154,ED,BUF,1,1,0,,0,0,4,0,0,,46.8,0.0,50.3,69.3,69.9,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,21,21,0,0,21,0,0,0,15,6,0,0,0,0,0,0,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,0,,0,0,20,0,0,,67.8,75.1,53.4,70.3,69.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,6,4,0,1,1,0,0,0,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,1,0,66.7,0,0,18,0,0,56.6,57.9,77.0,,62.4,76.7,0,0,0,0,22,0.0,0,1,1,84.0,4,0,0,7,40,33,50,2,0,0,2,0,0,48,0,17,1,2,2,0,6,0,0,38,6,9.5
Bobby Wagner,7050,LB,WAS,1,2,0,100.0,0,0,32,1,0,65.8,78.9,76.5,67.1,77.6,70.9,0,0,0,0,23,10.0,1,0,0,118.8,1,0,0,62,0,31,65,0,0,0,0,0,0,65,4,30,3,5,7,0,1,0,0,23,8,23.0
Lavonte David,7060,LB,TB,1,4,0,100.0,0,0,30,0,0,74.1,66.6,75.3,51.0,54.3,52.1,0,0,0,0,12,16.7,2,0,0,130.7,8,0,0,72,0,47,84,3,0,0,3,0,0,81,4,33,9,5,6,0,8,0,1,47,20,5.9
Demario Davis,7079,LB,NO,1,2,0,66.7,0,0,20,0,0,52.0,58.2,0.0,54.8,79.9,81.4,0,0,0,0,21,0.0,0,0,2,92.4,2,0,0,46,0,28,53,3,0,0,3,0,0,50,4,21,4,3,4,0,3,0,0,25,8,12.5
Rodney McLeod,7271,S,CLV,1,0,0,,0,0,8,0,0,61.0,63.1,74.1,,62.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,10,0,12,20,0,0,0,0,0,7,20,0,8,3,0,0,0,0,0,0,0,0,
