player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,0,0,,0,0,17,0,0,60.0,67.8,77.3,73.2,48.7,,2,2,0,0,,,0,0,0,0.0,0,0,0,0,0,1,34,34,3,16,5,10,0,0,27,6,0,0,0,0,0,4,0,0,0,
Linval Joseph,5571,DI,DAL,1,0,0,,0,1,9,0,0,,89.8,0.0,95.8,52.7,67.9,0,0,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,22,22,15,7,0,0,0,0,11,11,0,2,1,0,0,1,0,0,0,
Cameron Jordan,6176,ED,NO,1,1,0,,0,0,20,0,0,60.5,44.9,79.5,59.8,34.0,25.6,1,5,0,0,,50.0,2,0,0,0.0,0,0,0,0,0,1,45,45,0,1,35,9,0,0,26,18,0,0,1,0,0,6,0,0,0,
Cameron Heyward,6183,DI,PIT,1,1,0,,0,0,25,0,0,,86.2,77.1,86.6,66.7,71.9,1,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,55,55,1,37,1,16,0,0,35,20,0,2,3,0,0,4,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,1,0,0,,0,0,7,0,0,,57.9,75.9,51.9,63.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,28,28,0,19,3,6,0,0,15,13,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,1,0,0,,0,0,32,0,0,60.0,66.5,67.6,,61.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,0,0,50.0,0,0,18,0,0,55.2,56.5,78.1,,63.4,53.6,0,0,0,1,16,14.3,1,1,1,33.6,7,0,0,7,57,55,69,1,0,0,1,0,0,68,0,14,4,2,6,0,14,0,0,66,35,9.4
Bobby Wagner,7050,LB,WAS,1,2,0,100.0,0,1,32,0,0,58.0,72.6,73.5,84.9,66.0,80.7,0,2,0,0,14,0.0,0,0,0,127.1,4,2,0,56,0,30,58,0,0,0,0,0,0,58,10,18,2,3,2,0,4,4,1,20,13,5.0
Lavonte David,7060,LB,TB,1,1,0,81.8,0,0,30,0,0,48.5,57.6,75.8,55.6,80.8,28.7,0,1,0,1,22,27.3,3,1,1,69.3,9,0,0,71,0,56,86,7,0,0,7,0,0,79,11,19,8,4,7,0,11,1,0,107,58,11.9
Demario Davis,7079,LB,NO,1,7,0,80.0,0,0,20,0,0,43.5,49.8,77.6,43.5,66.7,49.9,0,1,0,0,21,20.0,3,0,0,103.3,4,0,0,80,0,47,84,4,0,0,4,0,0,80,0,37,0,1,5,0,5,1,0,44,25,11.0
Rodney McLeod,7271,S,CLV,1,2,0,40.0,0,0,8,0,0,63.0,59.5,75.8,,50.8,80.5,0,0,0,0,3,0.0,0,1,0,47.9,2,0,0,11,0,29,51,2,0,0,2,0,26,49,0,22,12,3,5,2,5,0,0,1,3,0.5
Harrison Smith,7641,S,MIN,1,1,0,75.0,0,0,18,0,0,33.8,37.9,80.2,71.2,65.4,54.1,0,1,0,0,18,16.7,1,0,0,151.0,3,1,0,11,0,50,72,15,0,0,15,0,38,57,8,14,8,1,4,0,4,2,1,45,13,15.0
Johnathan Hankins,7830,DI,SEA,1,0,0,,0,0,29,0,0,,43.1,77.7,53.1,44.5,26.3,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,41,41,7,34,0,0,0,0,18,23,0,0,1,0,0,0,0,0,0,
Tyrann Mathieu,7850,S,NO,1,2,0,50.0,0,0,20,0,0,60.4,66.3,80.4,,73.5,85.1,0,0,0,0,50,0.0,0,0,0,95.8,1,0,0,21,0,46,83,0,0,0,0,0,58,83,0,37,4,0,4,0,2,0,0,50,39,50.0
John Jenkins,7863,DI,LV,1,2,0,,0,0,23,0,0,,54.7,76.9,52.6,57.3,25.2,0,0,0,0,,50.0,2,0,0,0.0,0,0,0,0,0,0,36,36,13,23,0,0,0,0,15,21,0,0,0,0,0,0,0,0,0,
William Gholston,7908,DI,TB,1,0,0,,0,0,30,0,0,,47.1,74.1,59.4,46.2,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,16,16,2,9,1,4,0,0,11,5,0,0,0,0,0,1,0,0,0,
Jadeveon Clowney,8636,ED,CAR,1,1,0,,0,0,5,0,0,,54.1,77.6,42.6,64.6,46.5,0,1,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,0,28,28,0,0,27,1,0,0,11,17,0,2,3,1,0,1,0,0,0,
Jimmie Ward,8665,S,HST,1,0,0,50.0,0,0,13,0,0,74.6,70.7,70.8,,52.9,76.7,0,0,0,0,-7,0.0,0,0,0,56.3,1,0,0,3,1,7,12,0,0,0,0,0,4,12,0,5,4,1,2,1,2,0,0,-7,0,-7.0
Kyle Van Noy,8675,ED,BLT,1,1,0,,0,0,3,0,0,62.5,70.0,78.2,63.3,68.4,73.3,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,3,43,41,0,0,41,0,0,2,29,11,0,2,2,1,0,3,0,0,0,
DaQuan Jones,8747,DI,BUF,1,2,0,,0,0,4,0,0,63.2,77.2,76.6,53.1,79.2,45.8,0,3,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,35,35,2,29,0,4,0,0,21,14,0,2,4,1,0,3,0,0,0,
Brent Urban,8769,ED,BLT,1,0,0,,0,0,3,0,0,,79.0,73.1,64.1,72.9,67.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,12,12,0,6,2,4,0,0,6,6,0,0,1,0,0,0,0,0,0,
Shelby Harris,8869,DI,CLV,1,0,0,,0,0,8,0,0,59.9,51.6,76.8,50.5,56.7,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,1,44,44,0,32,0,12,0,0,21,22,0,0,0,0,0,1,0,0,0,
Mike Pennel,9316,DI,KC,1,1,0,,0,0,16,0,0,60.0,54.7,74.0,56.4,58.6,67.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,15,15,0,15,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,
Dante Fowler Jr.,9436,ED,WAS,1,0,0,,0,0,32,0,0,61.1,56.1,79.1,54.9,57.7,27.9,0,3,0,0,,100.0,1,0,0,0.0,0,1,0,0,0,3,34,34,0,0,33,1,0,0,24,7,0,1,0,0,0,4,0,0,0,
Leonard Williams,9439,DI,SEA,1,0,0,,0,0,29,0,0,,56.2,77.3,55.9,57.5,26.3,0,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,49,49,1,24,0,24,0,0,29,20,0,0,1,0,0,1,0,0,0,
Arik Armstead,9450,ED,JAX,1,0,0,,0,0,15,0,0,,66.4,77.8,53.2,80.3,71.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,2,3,18,11,0,0,28,6,0,2,2,0,0,1,0,0,0,
Mario Edwards Jr.,9468,DI,HST,1,0,0,,0,0,13,0,0,60.0,72.6,76.7,74.3,58.2,69.0,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,35,35,0,29,0,6,0,0,26,9,0,1,2,0,0,2,0,0,0,
Preston Smith,9471,ED,GB,1,0,0,,0,0,12,0,0,60.2,63.4,80.4,58.8,64.4,72.6,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,39,39,0,1,36,2,0,0,26,11,0,1,2,0,0,2,0,0,0,
Eddie Goldman,9472,DI,ATL,1,1,0,,0,0,2,0,0,,53.4,73.4,59.1,55.3,67.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,8,8,7,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,
Eric Kendricks,9478,LB,DAL,1,3,0,0.0,0,1,9,0,0,49.6,57.0,77.2,77.5,60.3,55.3,1,1,0,0,,11.1,1,0,0,39.6,0,0,0,51,0,28,58,2,0,0,2,0,0,56,4,26,5,1,5,0,1,2,0,0,0,
Ronald Darby,9483,CB,JAX,1,0,0,60.0,0,0,15,0,0,55.7,54.1,78.4,,46.5,77.8,0,0,0,0,18,0.0,0,0,0,115.8,3,0,0,3,63,51,70,2,0,0,2,0,0,68,0,19,2,1,4,0,5,0,1,29,4,9.7
