player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Deommodore Lenoir,55686,CB,SF,1,3,0,50.0,0,0,28,0,0,63.7,69.6,74.4,,73.9,65.5,0,0,0,0,13,12.5,1,0,0,63.5,2,0,0,22,16,27,66,0,0,0,0,0,1,66,0,39,27,2,4,1,4,0,0,19,10,9.5
Marcus Jones,55717,CB,NE,1,1,0,62.5,1,0,19,0,0,59.4,61.0,77.3,60.0,66.7,84.1,0,0,0,0,29,0.0,0,2,1,89.6,5,0,0,7,49,42,68,0,0,0,0,0,0,68,1,25,12,1,8,0,8,0,0,68,21,13.6
Darious Williams,55724,CB,LA,1,0,0,66.7,0,0,26,0,0,45.1,39.7,78.4,,29.6,26.1,0,0,0,0,28,50.0,2,1,0,109.7,4,0,0,3,69,30,72,0,0,0,0,0,0,72,0,42,0,0,2,0,6,0,0,86,35,21.5
Xavier McKinney,55775,S,GB,1,0,0,40.0,0,0,12,0,0,71.5,73.7,74.9,,63.2,76.3,0,0,0,1,21,0.0,0,1,0,21.7,2,0,0,20,1,28,43,0,0,0,0,0,14,43,0,15,8,1,3,0,5,0,0,31,6,15.5
Kamren Curl,55800,S,LA,1,1,0,,0,0,26,0,0,67.2,69.3,76.6,58.8,64.6,83.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,37,0,29,72,1,0,0,1,0,25,71,1,42,9,0,6,0,0,0,0,0,0,
Arron Mosby,55908,ED,GB,1,0,0,,0,0,12,0,0,62.0,56.4,74.3,52.1,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,2,11,11,0,0,11,0,0,0,6,3,0,0,0,0,0,1,0,0,0,
Eric Stokes,55912,CB,GB,1,0,0,0.0,0,0,12,0,0,59.7,47.8,75.0,,33.9,72.8,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,3,22,17,26,0,0,0,0,0,0,26,0,9,1,0,1,0,1,0,0,0,0,
Grant Stuard,55933,LB,IND,1,2,0,100.0,0,0,14,0,0,54.4,64.3,69.6,58.8,73.0,32.8,0,0,0,0,14,25.0,1,0,0,118.8,1,0,0,18,0,12,27,2,0,0,2,0,0,25,1,14,7,0,1,0,1,0,0,14,17,14.0
Bryan Cook,55940,S,KC,1,1,0,66.7,0,0,16,0,0,52.9,55.9,77.4,57.9,70.5,82.8,0,0,0,0,17,0.0,0,0,0,102.1,2,0,0,31,0,42,62,5,0,0,5,0,20,57,1,19,6,1,6,0,3,0,0,32,5,16.0
Mike Brown,56054,S,TEN,1,1,0,66.7,0,0,31,0,0,55.9,57.0,81.2,,63.7,54.8,0,0,0,0,4,0.0,0,0,0,70.1,2,0,0,14,0,42,56,0,0,0,0,0,41,56,0,14,1,2,4,0,3,0,0,8,1,4.0
Benjamin St-Juste,56061,CB,WAS,1,1,0,100.0,1,0,32,0,0,54.2,59.2,76.1,,75.8,79.9,0,0,0,0,41,0.0,0,0,1,118.8,4,0,0,4,32,25,38,0,0,0,0,0,0,38,0,13,2,2,5,0,4,0,0,61,5,15.3
Reed Blankenship,56065,S,PHI,1,0,0,100.0,0,0,24,0,0,69.9,64.0,78.5,,41.2,28.5,0,0,0,0,8,40.0,2,0,0,100.0,1,0,0,11,0,41,57,1,0,0,1,0,43,56,0,16,2,1,3,0,1,0,0,8,1,8.0
Damarri Mathis,56143,CB,DEN,1,0,0,,0,0,10,0,0,69.0,71.1,88.1,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Jason Pinnock,56144,S,NYG,1,3,0,,0,0,21,0,0,61.9,61.7,77.1,73.4,52.1,51.7,0,0,0,0,,16.7,1,0,0,0.0,0,0,0,11,0,33,62,1,0,0,1,0,45,61,2,27,5,0,2,0,0,0,0,0,0,
Tre Avery,56146,CB,TEN,1,0,0,,0,0,31,0,0,60.0,60.7,64.5,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
DaRon Bland,56158,CB,DAL,1,3,0,100.0,0,0,9,0,0,77.5,70.5,77.5,,40.3,81.2,0,0,0,0,20,12.5,1,0,0,95.8,4,0,0,4,53,35,58,0,0,0,0,0,0,58,0,23,1,1,4,0,4,0,0,28,1,7.0
Marte Mapu,56159,S,NE,1,2,0,50.0,0,0,19,0,0,62.7,66.3,72.2,,67.2,48.6,0,0,0,0,20,25.0,1,1,0,71.9,2,0,0,13,2,23,32,2,0,0,2,0,9,30,0,9,6,1,1,1,4,0,0,27,11,13.5
Keisean Nixon,56167,CB,GB,1,1,0,,0,1,12,0,0,84.4,83.2,76.3,,63.0,76.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,40,28,43,0,0,0,0,0,0,43,0,15,1,0,2,0,0,0,0,0,0,
Quentin Lake,56245,S,LA,1,1,0,100.0,1,0,26,0,0,51.1,60.1,77.1,66.0,72.3,83.4,0,1,0,0,6,0.0,0,0,2,127.1,2,0,0,13,0,29,72,4,0,0,4,0,21,68,1,42,34,2,4,0,2,1,1,10,8,5.0
Darnay Holmes,56247,CB,LV,1,1,0,87.5,0,0,23,0,0,60.5,60.3,75.7,50.9,64.3,56.4,0,1,0,0,10,20.0,1,1,0,82.3,7,0,0,12,5,32,52,4,0,0,4,0,0,48,5,15,31,1,3,0,8,1,0,30,37,4.3
Jaylon Johnson,56259,CB,CHI,1,0,0,66.7,0,0,6,0,0,39.2,43.2,78.4,,65.7,23.1,0,0,0,0,20,100.0,1,0,2,131.9,2,0,0,2,67,43,71,0,0,0,0,0,0,71,0,28,2,0,0,0,3,0,1,25,13,12.5
Elijah Molden,56290,S,LAC,1,2,0,100.0,0,0,27,0,0,66.3,53.3,77.1,,32.4,50.6,0,0,0,0,16,20.0,1,1,0,112.5,2,0,0,15,1,23,54,0,0,0,0,0,38,54,0,31,0,0,2,0,2,0,0,22,3,11.0
Devon Key,56307,S,DEN,1,0,0,,0,0,10,0,0,68.6,70.3,70.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,3,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,
Victor Dimukeje,56347,ED,ARZ,1,0,0,,0,0,1,0,0,65.2,49.8,75.1,53.1,47.1,28.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,1,0,4,20,16,0,0,15,1,0,4,5,11,3,1,2,1,0,0,0,0,0,
Zach Carter,56349,DI,LV,1,0,0,,0,0,23,0,0,,28.6,68.3,,37.2,68.1,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,
Neil Farrell Jr.,56401,DI,MIA,1,0,0,,0,0,17,0,0,60.0,51.7,74.0,53.8,66.6,22.7,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,4,11,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,
Yetur Gross-Matos,56444,ED,SF,1,1,0,,0,0,28,0,0,,57.1,79.8,49.5,61.4,73.6,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,45,45,0,7,32,6,0,0,16,29,0,1,3,0,0,2,0,0,0,
Patrick Johnson,56460,ED,NYG,1,1,0,,0,0,21,0,0,,66.9,74.4,53.3,68.8,72.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,17,17,0,0,17,0,0,0,5,12,0,1,1,0,0,0,0,0,0,
LaBryan Ray,56501,DI,CAR,1,0,0,,0,0,5,0,0,,52.8,0.0,56.5,62.9,70.1,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,36,36,0,24,0,12,0,0,21,15,0,1,3,0,0,1,0,0,0,
Phidarian Mathis,56504,DI,WAS,1,0,0,,0,0,32,0,0,,29.7,73.3,55.9,32.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,3,12,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,
D.J. Davidson,56523,DI,NYG,1,0,0,,0,0,21,1,0,65.6,71.6,76.9,53.2,68.5,69.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,24,23,15,7,0,1,0,1,9,14,0,2,2,0,0,1,0,0,0,
T.J. Slaton,56597,DI,GB,1,0,0,,0,0,12,0,0,,55.2,75.4,62.5,52.5,67.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,19,19,1,18,0,0,0,0,9,10,0,1,1,0,0,1,0,0,0,
Malik Herring,56616,ED,KC,1,0,0,,0,0,16,0,0,,63.2,72.5,56.2,63.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,0,5,1,0,0,2,4,0,0,0,0,0,0,0,0,0,
Milton Williams,56682,DI,PHI,1,0,0,,0,1,24,0,0,,87.7,74.7,90.5,52.3,69.9,1,0,0,0,,,0,0,0,0.0,0,2,0,0,0,0,24,24,2,18,0,4,0,0,19,5,0,2,0,0,0,3,0,0,0,
