Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas,NOR,26,WR,7,7,78,62,763,37,534,8.6,229,3.7,3,20.7,4,5.1
2,Cooper Kupp,LAR,26,WR,7,6,77,51,572,25,292,5.7,280,5.5,4,12.8,1,1.3
3,Austin Ekeler,LAC,24,RB,7,5,53,49,488,22,11,0.2,477,9.7,10,4.9,0,0
4,DeAndre Hopkins,HOU,27,WR,7,7,68,49,508,32,340,6.9,168,3.4,6,8.2,3,4.4
5,Austin Hooper,ATL,25,TE,7,6,55,46,526,26,329,7.2,197,4.3,5,9.2,0,0
6,Tyler Boyd,CIN,25,WR,7,7,74,45,471,22,256,5.7,215,4.8,2,22.5,2,2.7
7,Julian Edelman,NWE,33,WR,7,6,68,45,496,22,317,7,179,4,2,22.5,6,8.8
8,Keenan Allen,LAC,27,WR,7,7,70,44,564,30,432,9.8,132,3,3,14.7,4,5.7
9,Darren Waller,OAK,27,TE,6,6,50,44,485,24,234,5.3,251,5.7,2,22,2,4
10,Chris Godwin,TAM,23,WR,6,6,55,43,662,38,427,9.9,235,5.5,2,21.5,1,1.8
11,Allen Robinson,CHI,26,WR,6,5,59,41,464,27,375,9.1,89,2.2,4,10.3,2,3.4
12,Julio Jones,ATL,30,WR,7,7,62,40,560,30,423,10.6,137,3.4,1,40,1,1.6
13,Tyler Lockett,SEA,27,WR,7,7,48,40,515,25,395,9.9,120,3,0,,2,4.2
14,Amari Cooper,DAL,25,WR,7,7,50,38,621,25,450,11.8,171,4.5,3,12.7,4,8
15,Travis Kelce,KAN,30,TE,7,7,57,38,541,28,362,9.5,179,4.7,2,19,5,8.8
16,James White,NWE,27,,6,0,47,38,283,18,61,1.6,222,5.8,2,19,0,0
17,Mark Andrews,BAL,23,te,7,2,55,36,449,22,309,8.6,140,3.9,3,12,5,9.1
18,Larry Fitzgerald,ARI,36,WR,7,7,55,36,439,19,296,8.2,143,4,0,,0,0
19,Courtland Sutton,DEN,24,WR,7,5,54,36,564,26,389,10.8,175,4.9,5,7.2,0,0
20,Robert Woods,LAR,27,WR,7,7,58,36,435,22,224,6.2,211,5.9,2,18,2,3.4
21,Zach Ertz,PHI,29,TE,7,7,59,35,404,19,316,9,88,2.5,0,,2,3.4
22,Christian McCaffrey,CAR,23,RB,6,6,44,35,305,18,2,0.1,303,8.7,4,8.8,0,0
23,Evan Engram,NYG,25,TE,6,4,53,34,379,18,158,4.6,221,6.5,2,17,3,5.7
24,Will Fuller,HOU,25,WR,7,7,49,34,450,18,274,8.1,176,5.2,1,34,5,10.2
25,George Kittle,SFO,26,TE,6,6,42,34,376,20,186,5.5,190,5.6,4,8.5,0,0
26,John Brown,BUF,29,WR,6,6,45,33,473,26,378,11.5,95,2.9,1,33,1,2.2
27,DJ Chark,JAX,23,WR,7,6,48,33,581,22,403,12.2,178,5.4,1,33,1,2.1
28,Alvin Kamara,NOR,24,RB,6,6,39,33,276,12,-13,-0.4,289,8.8,7,4.7,2,5.1
29,D.J. Moore,CAR,22,WR,6,6,49,33,425,23,291,8.8,134,4.1,0,,2,4.1
30,Mohamed Sanu,ATL,30,WR,7,6,42,33,313,16,190,5.8,123,3.7,2,16.5,2,4.8
31,Jamison Crowder,NYJ,26,WR,6,4,45,32,298,13,162,5.1,136,4.3,1,32,3,6.7
32,Dede Westbrook,JAX,26,WR,7,6,54,32,383,18,180,5.6,203,6.3,3,10.7,2,3.7
33,Cole Beasley,BUF,30,WR,6,4,46,30,283,15,153,5.1,130,4.3,1,30,2,4.3
34,Stefon Diggs,MIN,26,WR,7,7,42,30,562,19,405,13.5,157,5.2,2,15,4,9.5
35,T.Y. Hilton,IND,30,WR,5,5,40,30,306,16,176,5.9,130,4.3,2,15,3,7.5
36,David Johnson,ARI,28,RB,7,7,41,30,315,14,116,3.9,199,6.6,2,15,2,4.9
37,Marvin Jones,DET,29,WR,6,5,42,30,387,21,326,10.9,61,2,1,30,1,2.4
38,Emmanuel Sanders,DEN,32,WR,7,7,44,30,367,17,249,8.3,118,3.9,2,15,0,0
39,Odell Beckham,CLE,27,WR,6,6,54,29,436,16,280,9.7,156,5.4,2,14.5,3,5.6
40,Le'Veon Bell,NYJ,27,RB,6,6,37,29,175,9,-35,-1.2,210,7.2,9,3.2,0,0
41,Tarik Cohen,CHI,24,RB,6,5,43,29,147,7,-1,0,148,5.1,4,7.3,4,9.3
42,Calvin Ridley,ATL,25,WR,7,5,44,29,373,21,321,11.1,52,1.8,2,14.5,3,6.8
43,Leonard Fournette,JAX,24,RB,7,7,38,28,203,13,-4,-0.1,207,7.4,0,,2,5.3
44,Brandin Cooks,LAR,26,WR,7,7,44,27,402,20,290,10.7,112,4.1,0,,2,4.5
45,Mike Evans,TAM,26,WR,6,6,55,27,464,20,385,14.3,79,2.9,0,,2,3.6
46,Devonta Freeman,ATL,27,RB,7,7,32,27,209,8,21,0.8,188,7,0,,1,3.1
47,Michael Gallup,DAL,23,WR,5,4,40,27,421,18,275,10.2,146,5.4,3,9,6,15
48,Aaron Jones,GNB,25,RB,7,7,34,27,196,9,10,0.4,186,6.9,8,3.4,1,2.9
49,Adam Thielen,MIN,29,WR,7,7,40,27,391,17,277,10.3,114,4.2,2,13.5,0,0
50,Chris Thompson,WAS,29,,6,0,38,27,276,9,34,1.3,242,9,1,27,2,5.3
51,James Conner,PIT,24,RB,6,6,27,26,231,12,-28,-1.1,259,10,7,3.7,0,0
52,Alshon Jeffery,PHI,29,WR,6,6,41,26,253,19,166,6.4,87,3.3,0,,0,0
53,Jason Witten,DAL,37,TE,7,7,31,26,263,15,187,7.2,76,2.9,0,,1,3.2
54,Davante Adams,GNB,27,WR,4,4,36,25,378,20,228,9.1,150,6,1,25,0,0
55,Nelson Agholor,PHI,26,WR,7,7,43,25,254,11,149,6,105,4.2,3,8.3,3,7
56,Royce Freeman,DEN,23,,7,0,31,25,177,7,13,0.5,164,6.6,4,6.3,1,3.2
57,Kenny Golladay,DET,26,WR,6,6,47,25,385,22,289,11.6,96,3.8,0,,4,8.5
58,Adam Humphries,TEN,26,wr,7,3,31,25,229,12,152,6.1,77,3.1,0,,1,3.2
59,Jarvis Landry,CLE,27,WR,6,6,44,25,439,16,249,10,190,7.6,1,25,3,6.8
60,Sterling Shepard,NYG,26,WR,4,4,34,25,267,14,144,5.8,123,4.9,4,6.3,0,0
61,JuJu Smith-Schuster,PIT,23,WR,6,6,38,25,340,12,178,7.1,162,6.5,0,,0,0
62,Dalvin Cook,MIN,24,RB,7,7,28,24,220,11,-34,-1.4,254,10.6,3,8,4,14.3
63,Ezekiel Elliott,DAL,24,RB,7,7,30,24,176,8,31,1.3,145,6,3,8,2,6.7
64,Gerald Everett,LAR,25,te,7,2,41,24,282,16,132,5.5,150,6.3,8,3,0,0
65,Christian Kirk,ARI,23,WR,4,4,37,24,242,13,120,5,122,5.1,1,24,2,5.4
66,Terry McLaurin,WAS,23,WR,6,6,40,24,419,21,341,14.2,78,3.3,1,24,3,7.5
67,Will Dissly,SEA,23,TE,6,6,27,23,262,14,192,8.3,70,3,0,,0,0
68,Curtis Samuel,CAR,23,WR,6,6,43,23,297,14,210,9.1,87,3.8,1,23,2,4.7
69,Sammy Watkins,KAN,26,WR,5,5,38,23,365,12,158,6.9,207,9,0,,1,2.6
70,Mike Williams,LAC,25,WR,6,6,44,23,350,19,286,12.4,64,2.8,3,7.7,2,4.5
71,Preston Williams,MIA,22,WR,6,6,44,23,314,16,247,10.7,67,2.9,2,11.5,3,6.8
72,Chris Carson,SEA,25,RB,7,7,26,22,149,6,-43,-2,192,8.7,6,3.7,1,3.8
73,Corey Davis,TEN,24,WR,7,4,34,22,317,16,201,9.1,116,5.3,3,7.3,1,2.9
74,Kenyan Drake,MIA,25,rb,6,2,33,22,174,6,7,0.3,167,7.6,1,22,3,9.1
75,Greg Olsen,CAR,34,TE,6,6,38,22,278,17,189,8.6,89,4,1,22,2,5.3
76,Trey Quinn,WAS,24,wr,7,3,35,22,165,9,113,5.1,52,2.4,0,,0,0
77,Auden Tate,CIN,22,WR,6,5,41,22,326,15,269,12.2,57,2.6,2,11,3,7.3
78,Marquise Brown,BAL,22,WR,5,4,39,21,326,12,195,9.3,131,6.2,2,10.5,1,2.6
79,Marquez Valdes-Scantling,GNB,25,WR,7,6,37,21,416,11,290,13.8,126,6,0,,1,2.7
80,Delanie Walker,TEN,35,TE,7,4,31,21,215,11,158,7.5,57,2.7,0,,2,6.5
81,Danny Amendola,DET,34,wr,5,2,31,20,252,13,144,7.2,108,5.4,1,20,0,0
82,A.J. Brown,TEN,22,WR,7,5,31,20,337,13,200,10,137,6.9,4,5,1,3.2
83,Nick Chubb,CLE,24,RB,6,6,26,20,128,6,-20,-1,148,7.4,4,5,2,7.7
84,Josh Gordon,NWE,28,WR,6,6,36,20,287,10,164,8.2,123,6.2,4,5,2,5.6
85,Diontae Johnson,PIT,23,WR,6,4,31,20,212,6,116,5.8,96,4.8,2,10,2,6.5
86,Phillip Lindsay,DEN,25,RB,7,7,27,20,143,8,-6,-0.3,149,7.5,0,,3,11.1
87,D.K. Metcalf,SEA,22,WR,7,6,40,20,389,15,297,14.9,92,4.6,2,10,2,5
88,Paul Richardson,WAS,27,WR,7,5,31,20,163,8,127,6.4,36,1.8,0,,2,6.5
89,Demarcus Robinson,KAN,25,WR,7,5,36,20,312,11,251,12.6,61,3.1,2,10,0,0
90,Randall Cobb,DAL,29,wr,6,3,30,19,239,13,134,7.1,105,5.5,1,19,4,13.3
91,Alex Erickson,CIN,27,,7,0,29,19,246,14,116,6.1,130,6.8,0,,2,6.9
92,Nyheim Hines,IND,23,rb,6,1,23,19,133,7,3,0.2,130,6.8,2,9.5,0,0
93,Phillip Dorsett,NWE,26,wr,6,1,27,18,243,10,190,10.6,53,2.9,0,,0,0
94,Ted Ginn,NOR,34,WR,7,5,30,18,254,10,230,12.8,24,1.3,0,,4,13.3
95,Jimmy Graham,GNB,33,te,7,2,28,18,214,13,141,7.8,73,4.1,1,18,1,3.6
96,Mecole Hardman,KAN,21,wr,7,3,30,18,319,12,168,9.3,151,8.4,0,,1,3.3
97,Hunter Henry,LAC,25,te,3,3,22,18,257,15,193,10.7,64,3.6,0,,0,0
98,T.J. Hockenson,DET,22,TE,6,5,30,18,219,10,124,6.9,95,5.3,0,,2,6.7
99,DeVante Parker,MIA,26,WR,6,5,38,18,284,15,229,12.7,55,3.1,0,,3,7.9
100,Geronimo Allison,GNB,25,wr,7,3,29,17,177,8,123,7.2,54,3.2,0,,3,10.3
101,Robby Anderson,NYJ,26,WR,6,5,37,17,266,9,195,11.5,71,4.2,1,17,0,0
102,Chris Conley,JAX,27,WR,7,5,33,17,326,14,200,11.8,126,7.4,3,5.7,3,9.1
103,Jack Doyle,IND,29,TE,6,6,25,17,149,10,39,2.3,110,6.5,0,,1,4
104,Tyler Eifert,CIN,29,te,7,1,24,17,118,8,83,4.9,35,2.1,0,,1,4.2
105,Darren Fells,HOU,33,TE,7,7,22,17,186,10,96,5.6,90,5.3,1,17,1,4.5
106,Tyler Higbee,LAR,26,TE,6,6,22,17,162,9,62,3.6,100,5.9,2,8.5,1,4.5
107,KeeSean Johnson,ARI,23,wr,7,3,33,17,151,8,111,6.5,40,2.4,0,,1,3
108,Tyrell Williams,OAK,27,WR,4,4,24,17,216,13,172,10.1,44,2.6,0,,2,8.3
109,Giovani Bernard,CIN,28,,7,0,23,16,112,4,-13,-0.8,125,7.8,1,16,0,0
110,Bennie Fowler,NYG,28,wr,5,2,25,16,134,8,114,7.1,20,1.3,0,,2,8
111,Dare Ogunbowale,TAM,25,,6,0,21,16,130,3,38,2.4,92,5.8,1,16,1,4.8
112,John Ross,CIN,25,WR,4,4,32,16,328,12,173,10.8,155,9.7,3,5.3,4,12.5
