Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
1,Jared Goff,LAR,25,QB,5,5,140,222,1649,84,891,6.4,4,7.7,758,5.4,11,5,42,18.9,79,24,20,3,3.7
2,Matt Ryan,ATL,34,QB,5,5,156,222,1655,79,972,6.2,4.4,8.5,683,4.4,7,3.2,27,12.2,59,27,14,6,8.8
3,Andy Dalton,CIN,32,QB,5,5,129,204,1412,62,700,5.4,3.4,6.2,712,5.5,10,4.9,36,17.6,66,22,7,2,4.5
4,Kyler Murray,ARI,22,QB,5,5,126,201,1324,62,754,6,3.8,7.7,570,4.5,8,4,37,18.4,58,23,9,9,10.9
5,Patrick Mahomes,KAN,24,QB,5,5,128,195,1831,73,959,7.5,4.9,10.4,872,6.8,8,4.1,40,20.5,52,15,17,8,10.1
6,Philip Rivers,LAC,38,QB,5,5,133,194,1465,73,743,5.6,3.8,7.8,722,5.4,8,4.1,29,14.9,50,16,13,4,6.8
7,Tom Brady,NWE,42,QB,5,5,118,187,1409,64,822,7,4.4,7.8,587,5,7,3.7,36,19.3,57,22,9,0,
8,Aaron Rodgers,GNB,36,QB,5,5,113,180,1307,58,683,6,3.8,8.1,624,5.5,3,1.7,31,17.2,47,30,14,7,8.4
9,Carson Wentz,PHI,27,QB,5,5,105,174,1152,54,759,7.2,4.4,8.6,393,3.7,11,6.3,35,20.1,55,19,13,6,7.3
10,Dak Prescott,DAL,26,QB,5,5,119,171,1606,69,1006,8.5,5.9,9.9,600,5,11,6.4,20,11.7,33,13,16,7,7
11,Joe Flacco,DEN,34,QB,5,5,112,168,1258,63,624,5.6,3.7,6.2,634,5.7,6,3.6,29,17.3,39,30,11,3,3.7
12,Jacoby Brissett,IND,27,QB,5,5,108,167,1062,53,479,4.4,2.9,6.9,583,5.4,9,5.4,21,12.6,36,13,14,12,5.1
13,Jameis Winston,TAM,25,QB,5,5,102,166,1371,69,867,8.5,5.2,10.5,504,4.9,5,3,33,19.9,52,28,22,9,4.3
14,Gardner Minshew,JAX,23,QB,5,4,110,165,1279,58,696,6.3,4.2,8,583,5.3,7,4.2,25,15.2,49,29,12,15,8.3
15,Josh Allen,BUF,23,QB,5,5,102,163,1122,56,622,6.1,3.8,8.7,500,4.9,10,6.1,22,13.5,66,21,17,19,5.9
16,Lamar Jackson,BAL,22,QB,5,5,106,162,1271,62,738,7,4.6,9.8,533,5,5,3.1,32,19.8,56,17,4,16,8.4
17,Derek Carr,OAK,28,QB,5,5,118,161,1117,58,532,4.5,3.3,5.9,585,5,9,5.6,16,9.9,38,12,4,4,7.5
18,Baker Mayfield,CLE,24,QB,5,5,90,161,1247,51,606,6.7,3.8,8.2,641,7.1,10,6.2,27,16.8,47,29,5,1,1
19,Deshaun Watson,HOU,24,QB,5,5,110,159,1364,61,775,7,4.9,9.8,589,5.4,7,4.4,23,14.5,56,19,15,11,8.7
20,Russell Wilson,SEA,31,QB,5,5,114,156,1409,61,890,7.8,5.7,9.5,519,4.6,3,1.9,25,16,58,26,13,13,8
21,Marcus Mariota,TEN,26,QB,5,5,87,141,1116,46,558,6.4,4,6.7,558,6.4,10,7.1,24,17,53,21,9,12,6.8
22,Matthew Stafford,DET,31,QB,4,4,88,141,1122,57,717,8.1,5.1,10.8,405,4.6,5,3.5,28,19.9,46,10,12,7,5.7
23,Case Keenum,WAS,31,QB,4,4,92,135,970,48,478,5.2,3.5,6.8,492,5.3,5,3.7,23,17,29,23,15,1,5
24,Kirk Cousins,MIN,31,QB,5,5,86,126,1041,41,476,5.5,3.8,7.2,565,6.6,5,4,14,11.1,37,25,9,5,7.4
25,Teddy Bridgewater,NOR,27,QB,4,3,85,121,849,40,399,4.7,3.3,6,450,5.3,8,6.6,13,10.7,23,14,7,10,3.1
26,Jimmy Garoppolo,SFO,28,QB,4,4,78,113,920,45,468,6,4.1,7,452,5.8,6,5.3,18,15.9,55,5,11,2,5
27,Daniel Jones,NYG,22,QB,4,3,70,109,760,33,349,5,3.2,8.6,411,5.9,3,2.8,19,17.4,40,18,17,8,8.6
28,Mitchell Trubisky,CHI,25,QB,4,4,69,106,588,33,293,4.2,2.8,6.9,295,4.3,8,7.5,15,14.2,41,21,7,2,5
29,Mason Rudolph,PIT,24,QB,4,3,63,94,646,27,239,3.8,2.5,6.6,407,6.5,3,3.2,21,22.3,31,11,5,5,4.4
30,Kyle Allen,CAR,23,QB,3,3,60,90,674,39,311,5.2,3.5,7.4,363,6.1,3,3.3,12,13.3,39,9,4,2,2.5
31,Eli Manning,NYG,38,qb,2,2,56,89,556,29,323,5.8,3.6,7.2,233,4.2,2,2.2,17,19.1,26,9,5,1,6
32,Cam Newton,CAR,30,qb,2,2,50,89,572,29,350,7,3.9,8.7,222,4.4,3,3.4,26,29.2,43,13,5,1,3
33,Josh Rosen,MIA,22,QB,4,2,43,84,482,23,241,5.6,2.9,9.4,241,5.6,8,9.5,20,23.8,25,13,12,3,4.3
34,Luke Falk,NYJ,25,QB,3,2,47,73,416,15,152,3.2,2.1,5.4,264,5.6,4,5.5,11,15.1,33,12,9,0,
35,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,14,158,4.5,2.5,9.3,193,5.5,7,11.3,12,19.4,17,14,2,1,7
36,Chase Daniel,CHI,33,qb,2,1,44,60,426,22,291,6.6,4.9,6.8,135,3.1,4,6.7,7,11.7,12,7,5,1,2
37,Ryan Fitzpatrick,MIA,37,QB,3,2,27,52,303,14,217,8,4.2,11.5,86,3.2,3,5.8,12,23.1,21,8,9,2,7
38,Drew Brees,NOR,40,qb,2,2,35,48,408,21,267,7.6,5.6,7.3,141,4,2,4.2,6,12.5,7,5,3,0,
39,Sam Darnold,NYJ,22,qb,1,1,28,41,175,12,71,2.5,1.7,5.4,104,3.7,1,2.4,5,12.2,15,3,4,0,
40,Colt McCoy,WAS,33,qb,1,1,18,27,119,5,88,4.9,3.3,6.6,31,1.7,0,0,6,22.2,7,3,2,2,7
41,Dwayne Haskins,WAS,22,,1,0,9,17,107,5,35,3.9,2.1,7.8,72,8,1,5.9,1,5.9,2,1,2,2,11.5
42,Matt Barkley,BUF,29,,1,0,9,16,127,5,73,8.1,4.6,8.2,54,6,1,6.3,4,25,10,1,0,0,
43,Devlin Hodges,PIT,23,,1,0,7,9,68,4,51,7.3,5.7,5.2,17,2.4,1,11.1,1,11.1,5,0,0,1,21
44,Nick Foles,JAX,30,qb,1,1,5,8,75,3,50,10,6.3,8.6,25,5,0,0,2,25,1,1,1,0,
45,Robert Griffin,BAL,29,,1,0,6,6,55,5,38,6.3,6.3,6.3,17,2.8,0,0,0,0,4,0,0,0,
46,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,,-8,-2.7,-1.3,6.8,11,3.7,0,0,2,33.3,4,1,1,0,
47,Josh McCown,PHI,40,,2,0,3,5,24,2,9,3,1.8,4.4,15,5,1,20,0,0,0,0,0,0,
48,Jaylen Samuels,PIT,23,,5,0,4,5,35,2,-15,-3.8,-3,-2.2,50,12.5,0,0,1,20,3,0,1,0,
49,Jarrett Stidham,NWE,23,,2,0,2,4,14,1,9,4.5,2.3,5.3,5,2.5,0,0,2,50,2,0,0,0,
50,Odell Beckham,CLE,27,WR,5,5,1,2,20,1,15,15,7.5,32.5,5,5,0,0,0,0,0,0,0,0,
51,Julian Edelman,NWE,33,WR,5,5,1,1,32,1,-6,-6,-6,-6,38,38,0,0,0,0,0,0,0,0,
52,Garrett Gilbert,CLE,28,,1,0,0,1,0,,0,,0,4,0,,0,0,0,0,0,0,0,0,
53,Taysom Hill,NOR,29,qb,5,1,1,1,18,1,15,15,15,15,3,3,0,0,0,0,0,0,0,1,11
54,DeAndre Hopkins,HOU,27,WR,5,5,0,1,0,0,0,,0,9,0,,0,0,0,0,0,0,0,0,
55,Alvin Kamara,NOR,24,RB,5,5,1,1,13,1,11,11,11,11,2,2,0,0,0,0,1,0,0,0,
56,Christian McCaffrey,CAR,23,RB,5,5,0,1,0,0,0,,0,0,0,,0,0,0,0,1,1,0,0,
57,Matt Moore,KAN,35,,1,0,0,1,0,,0,,0,-4,0,,0,0,1,100,0,0,0,0,
58,Dante Pettis,SFO,24,WR,4,2,1,1,16,1,-4,-4,-4,-4,20,20,0,0,0,0,0,0,0,0,
59,Tyrod Taylor,LAC,30,,5,0,1,1,7,1,7,7,7,7,0,0,0,0,0,0,1,0,0,0,
