Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Kyler Murray,ARI,22,QB,2,2,0-1-1,54,94,57.4,657,2,2.1,1,1.1,54,7,6.9,12.2,328.5,81.7,47.8,8,53,5.92,5.87,7.8,1,0
2,Andy Dalton,CIN,32,QB,2,2,0-2-0,61,93,65.6,729,4,4.3,1,1.1,66,7.8,8.2,12,364.5,99.3,32,9,43,6.73,7.07,8.8,,
3,Eli Manning,NYG,38,QB,2,2,0-2-0,56,89,62.9,556,2,2.2,2,2.2,43,6.2,5.7,9.9,278,78.7,30,2,13,5.97,5.42,2.2,,
4,Cam Newton,CAR,30,QB,2,2,0-2-0,50,89,56.2,572,0,0,1,1.1,44,6.4,5.9,11.4,286,71,23.1,6,43,5.57,5.09,6.3,,
5,Matt Ryan,ATL,34,QB,2,2,1/1/00,60,89,67.4,624,5,5.6,5,5.6,54,7,5.6,10.4,312,82.8,45.4,5,42,6.19,4.86,5.3,1,1
6,Carson Wentz,PHI,27,QB,2,2,1/1/00,53,82,64.6,544,4,4.9,2,2.4,53,6.6,6.5,10.3,272,89.7,72.4,4,18,6.12,6,4.7,,
7,Joe Flacco,DEN,34,QB,2,2,0-2-0,56,81,69.1,560,2,2.5,1,1.2,53,6.9,6.9,10,280,91.6,67,5,29,6.17,6.12,5.8,,
8,Case Keenum,WAS,31,QB,2,2,0-2-0,56,81,69.1,601,5,6.2,0,0,69,7.4,8.7,10.7,300.5,111.2,68.7,2,23,6.96,8.17,2.4,,
9,Patrick Mahomes,KAN,24,QB,2,2,2-0-0,55,77,71.4,821,7,9.1,0,0,68,10.7,12.5,14.9,410.5,136.3,93.1,2,10,10.27,12.04,2.5,,
10,Matthew Stafford,DET,31,QB,2,2,1-0-1,49,75,65.3,630,5,6.7,2,2.7,47,8.4,8.5,12.9,315,102.6,71.5,3,24,7.77,7.9,3.8,2,1
11,Baker Mayfield,CLE,24,QB,2,2,1/1/00,44,73,60.3,610,2,2.7,4,5.5,89,8.4,6.4,13.9,305,73.4,38.7,8,61,6.78,5.05,9.9,,
12,Mitchell Trubisky,CHI,25,QB,2,2,1/1/00,42,72,58.3,348,0,0,1,1.4,27,4.8,4.2,8.3,174,65,22.1,5,20,4.26,3.68,6.5,1,1
13,Philip Rivers,LAC,38,QB,2,2,1/1/00,46,70,65.7,626,3,4.3,2,2.9,55,8.9,8.5,13.6,313,96.5,62,5,29,7.96,7.56,6.7,0,1
14,Josh Allen,BUF,23,QB,2,2,2-0-0,43,67,64.2,507,2,3,2,3,51,7.6,6.8,11.8,253.5,84.6,58.4,4,28,6.75,6.04,5.6,1,1
15,Jared Goff,LAR,25,QB,2,2,2-0-0,42,67,62.7,469,2,3,1,1.5,66,7,6.9,11.2,234.5,87.2,35.1,4,21,6.31,6.24,5.6,,
16,Tom Brady,NWE,42,QB,2,2,2-0-0,44,64,68.8,605,5,7.8,0,0,58,9.5,11,13.8,302.5,124.8,87.2,3,16,8.79,10.28,4.5,,
17,Derek Carr,OAK,28,QB,2,2,1/1/00,45,64,70.3,457,2,3.1,2,3.1,43,7.1,6.4,10.2,228.5,87.8,53.5,3,20,6.52,5.78,4.5,,
18,Aaron Rodgers,GNB,36,QB,2,2,2-0-0,40,64,62.5,412,3,4.7,0,0,47,6.4,7.4,10.3,206,96.6,34.2,7,55,5.03,5.87,9.9,,
19,Dak Prescott,DAL,26,QB,2,2,2-0-0,51,62,82.3,674,7,11.3,1,1.6,62,10.9,12.4,13.2,337,142.9,96.2,1,8,10.57,12.08,1.6,,
20,Ben Roethlisberger,PIT,37,QB,2,2,0-2-0,35,62,56.5,351,0,0,1,1.6,45,5.7,4.9,10,175.5,66,20.8,2,7,5.38,4.67,3.1,,
21,Jameis Winston,TAM,25,QB,2,2,1/1/00,36,61,59,402,2,3.3,3,4.9,41,6.6,5,11.2,201,69.2,23.5,6,39,5.42,4,9,,
22,Deshaun Watson,HOU,24,QB,2,2,1/1/00,36,59,61,427,3,5.1,1,1.7,54,7.2,7.5,11.9,213.5,93,77.8,10,56,5.38,5.59,14.5,,
23,Gardner Minshew,JAX,23,QB,2,1,0-1-0,45,58,77.6,488,3,5.2,1,1.7,69,8.4,8.7,10.8,244,111.8,44.4,5,38,7.14,7.38,7.9,,
24,Lamar Jackson,BAL,22,QB,2,2,2-0-0,41,57,71.9,596,7,12.3,0,0,83,10.5,12.9,14.5,298,145.2,93.9,3,15,9.68,12.02,5,,
25,Jacoby Brissett,IND,27,QB,2,2,1/1/00,38,55,69.1,336,5,9.1,1,1.8,25,6.1,7.1,8.8,168,107.8,44,5,42,4.9,5.82,8.3,1,1
26,Russell Wilson,SEA,31,QB,2,2,2-0-0,43,55,78.2,495,5,9.1,0,0,44,9,10.8,11.5,247.5,134.5,69.5,8,61,6.89,8.48,12.7,1,1
27,Jimmy Garoppolo,SFO,28,QB,2,2,2-0-0,35,52,67.3,463,4,7.7,2,3.8,39,8.9,8.7,13.2,231.5,104.9,62.1,1,8,8.58,8.4,1.9,,
28,Marcus Mariota,TEN,26,QB,2,2,1/1/00,33,52,63.5,402,4,7.7,0,0,75,7.7,9.3,12.2,201,112.8,44.4,8,67,5.58,6.92,13.3,,
29,Ryan Fitzpatrick,MIA,37,QB,2,2,0-2-0,25,50,50,274,1,2,4,8,49,5.5,2.3,11,137,39.9,11.7,6,28,4.39,1.54,10.7,,
30,Drew Brees,NOR,40,QB,2,2,1/1/00,35,48,72.9,408,2,4.2,2,4.2,41,8.5,7.5,11.7,204,94.8,74.9,1,8,8.16,7.14,2,1,1
31,Kirk Cousins,MIN,31,QB,2,2,1/1/00,22,42,52.4,328,2,4.8,2,4.8,61,7.8,6.6,14.9,164,74.3,10.2,2,8,7.27,6.14,4.5,,
32,Sam Darnold,NYJ,22,QB,1,1,0-1-0,28,41,68.3,175,1,2.4,0,0,19,4.3,4.8,6.3,175,84.9,27.5,4,20,3.44,3.89,8.9,,
33,Teddy Bridgewater,NOR,27,,1,0,,17,30,56.7,165,0,0,0,0,28,5.5,5.5,9.7,165,72.2,10.8,2,16,4.66,4.66,6.3,,
34,Luke Falk,NYJ,25,,1,0,,20,25,80,198,0,0,0,0,36,7.9,7.9,9.9,198,99.7,38.2,2,15,6.78,6.78,7.4,,
35,Josh Rosen,MIA,22,,2,0,,8,21,38.1,102,0,0,2,9.5,24,4.9,0.6,12.8,51,14.5,2.4,4,27,3,-0.6,16,,
36,Mason Rudolph,PIT,24,,1,0,,12,19,63.2,112,2,10.5,1,5.3,45,5.9,5.6,9.3,112,92.4,56,0,0,5.89,5.63,0,,
37,Nick Foles,JAX,30,QB,1,1,0-1-0,5,8,62.5,75,1,12.5,0,0,35,9.4,11.9,15,75,132.8,94.1,0,0,9.38,11.88,0,,
38,Robert Griffin,BAL,29,,1,0,,6,6,100,55,1,16.7,0,0,12,9.2,12.5,9.2,55,144.4,99.7,0,0,9.17,12.5,0,,
39,Trevor Siemian,NYJ,28,QB,1,1,0-1-0,3,6,50,3,0,0,0,0,3,0.5,0.5,1,3,56.2,1.3,2,17,-1.75,-1.75,25,,
40,Josh McCown,PHI,40,,1,0,,3,5,60,24,0,0,0,0,13,4.8,4.8,8,24,72.1,57.7,0,0,4.8,4.8,0,,
41,Daniel Jones,NYG,22,,1,0,,3,4,75,17,0,0,0,0,6,4.3,4.3,5.7,17,82.3,13,0,0,4.25,4.25,0,,
42,Julian Edelman,NWE,33,WR,2,2,,1,1,100,32,0,0,0,0,32,32,32,32,16,118.7,89.5,0,0,32,32,0,,
43,Matt Moore,KAN,35,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,2.9,0,0,0,0,0,,
44,Dante Pettis,SFO,24,,2,0,,1,1,100,16,0,0,0,0,16,16,16,16,8,118.7,59.8,0,0,16,16,0,,
