Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
1,Matt Ryan,ATL,34,QB,6,6,186,258,2011,99,1233,6.6,4.8,8.5,778,4.2,7,2.7,29,11.2,77,28,18,8,7.5
2,Jared Goff,LAR,25,QB,6,6,153,246,1727,85,920,6,3.7,7.6,807,5.3,12,4.9,52,21.1,86,30,20,3,3.7
3,Andy Dalton,CIN,32,QB,6,6,150,243,1647,76,842,5.6,3.5,6.4,805,5.4,12,4.9,45,18.5,97,24,10,3,3.7
4,Kyler Murray,ARI,22,QB,6,6,153,238,1664,78,934,6.1,3.9,7.5,730,4.8,9,3.8,41,17.2,65,25,9,13,9.5
5,Philip Rivers,LAC,38,QB,6,6,159,238,1785,91,960,6,4,8.4,825,5.2,10,4.2,34,14.3,53,24,17,4,6.8
6,Patrick Mahomes,KAN,24,QB,6,6,147,230,2104,84,1067,7.3,4.6,10.3,1037,7.1,12,5.2,48,20.9,62,20,18,8,10.1
7,Tom Brady,NWE,42,QB,6,6,149,228,1743,81,996,6.7,4.4,7.6,747,5,8,3.5,42,18.4,64,24,11,0,
8,Jameis Winston,TAM,25,QB,6,6,132,220,1771,88,1118,8.5,5.1,10.6,653,4.9,11,5,39,17.7,73,40,25,10,4
9,Aaron Rodgers,GNB,36,QB,6,6,137,219,1590,71,877,6.4,4,8.3,713,5.2,6,2.7,39,17.8,51,33,16,8,8.9
10,Carson Wentz,PHI,27,QB,6,6,131,214,1458,69,918,7,4.3,8.7,540,4.1,12,5.6,43,20.1,67,23,13,7,7.3
11,Dak Prescott,DAL,26,QB,6,6,147,211,1883,84,1181,8,5.6,9.6,702,4.8,16,7.6,24,11.4,50,15,22,8,7.1
12,Deshaun Watson,HOU,24,QB,6,6,140,201,1644,81,879,6.3,4.4,9.6,765,5.5,11,5.5,30,14.9,70,21,17,15,7.9
13,Baker Mayfield,CLE,24,QB,6,6,112,198,1496,63,763,6.8,3.9,8.4,733,6.5,15,7.6,32,16.2,59,33,5,4,8.5
14,Joe Flacco,DEN,34,QB,6,6,130,196,1435,70,722,5.6,3.7,6.4,713,5.5,8,4.1,33,16.8,50,34,12,4,3
15,Lamar Jackson,BAL,22,QB,6,6,127,195,1507,73,848,6.7,4.3,9.4,659,5.2,5,2.6,38,19.5,72,18,4,19,9.9
16,Gardner Minshew,JAX,23,QB,6,5,124,194,1442,67,763,6.2,3.9,7.9,679,5.5,7,3.6,33,17,62,35,13,16,7.9
17,Russell Wilson,SEA,31,QB,6,6,137,189,1704,78,1042,7.6,5.5,9.3,662,4.8,5,2.6,32,16.9,79,31,15,18,8
18,Matthew Stafford,DET,31,QB,5,5,106,173,1387,67,870,8.2,5,10.7,517,4.9,8,4.6,34,19.7,61,12,12,8,6.3
19,Jacoby Brissett,IND,27,QB,5,5,108,167,1062,53,479,4.4,2.9,6.9,583,5.4,9,5.4,21,12.6,36,13,14,12,5.1
20,Josh Allen,BUF,23,QB,5,5,102,163,1122,56,622,6.1,3.8,8.7,500,4.9,10,6.1,23,14.1,66,21,17,19,5.9
21,Derek Carr,OAK,28,QB,5,5,118,161,1117,58,532,4.5,3.3,5.9,585,5,9,5.6,16,9.9,38,12,4,4,7.5
22,Case Keenum,WAS,31,QB,5,5,105,160,1136,55,592,5.6,3.7,7.1,544,5.2,7,4.4,28,17.5,37,29,18,2,7
23,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,49,597,6.4,3.8,7,582,6.2,11,6.9,31,19.5,57,24,10,13,6.7
24,Teddy Bridgewater,NOR,27,QB,5,4,109,157,1089,52,486,4.5,3.1,5.9,603,5.5,13,8.3,18,11.5,28,19,7,10,3.1
25,Kirk Cousins,MIN,31,QB,6,6,108,155,1374,55,685,6.3,4.4,8.3,689,6.4,7,4.5,17,11,48,25,9,6,6.3
26,Jimmy Garoppolo,SFO,28,QB,5,5,102,146,1163,59,534,5.2,3.7,6.4,629,6.2,8,5.5,22,15.1,66,9,12,2,5
27,Daniel Jones,NYG,22,QB,5,4,85,140,921,39,431,5.1,3.1,8.7,490,5.8,3,2.1,26,18.6,53,22,24,9,8.7
28,Kyle Allen,CAR,23,QB,4,4,80,122,901,51,443,5.5,3.6,8,458,5.7,6,4.9,18,14.8,54,10,5,2,2.5
29,Josh Rosen,MIA,22,QB,5,3,58,109,567,26,246,4.2,2.3,8,321,5.5,9,8.3,24,22,28,17,15,3,4.3
30,Mitchell Trubisky,CHI,25,QB,4,4,69,106,588,33,293,4.2,2.8,6.9,295,4.3,8,7.5,15,14.2,41,21,7,2,5
31,Mason Rudolph,PIT,24,QB,4,3,63,94,646,27,239,3.8,2.5,6.6,407,6.5,3,3.2,21,22.3,31,11,5,5,4.4
32,Eli Manning,NYG,38,qb,2,2,56,89,556,29,323,5.8,3.6,7.2,233,4.2,2,2.2,17,19.1,26,9,5,1,6
33,Cam Newton,CAR,30,qb,2,2,50,89,572,29,350,7,3.9,8.7,222,4.4,3,3.4,26,29.2,43,13,5,1,3
34,Sam Darnold,NYJ,22,qb,2,2,51,73,513,25,221,4.3,3,6.7,292,5.7,2,2.7,10,13.7,26,8,4,1,3
35,Luke Falk,NYJ,25,qb,3,2,47,73,416,15,152,3.2,2.1,5.4,264,5.6,4,5.5,11,15.1,33,12,9,0,
36,Ryan Fitzpatrick,MIA,37,qb,4,2,39,70,435,21,309,7.9,4.4,11.2,126,3.2,3,4.3,16,22.9,23,15,9,3,6.3
37,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,14,158,4.5,2.5,9.3,193,5.5,7,11.3,12,19.4,17,14,2,1,7
38,Chase Daniel,CHI,33,qb,2,1,44,60,426,22,291,6.6,4.9,6.8,135,3.1,4,6.7,8,13.3,12,6,5,1,2
39,Drew Brees,NOR,40,qb,2,2,35,48,408,21,267,7.6,5.6,7.3,141,4,2,4.2,6,12.5,7,5,3,0,
40,Devlin Hodges,PIT,23,qb,2,1,22,29,200,11,57,2.6,2,4.8,143,6.5,1,3.4,5,17.2,9,2,0,2,11.5
41,Colt McCoy,WAS,33,qb,1,1,18,27,122,5,88,4.9,3.3,6.6,34,1.9,0,0,6,22.2,7,3,2,2,7
