,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Nick Chubb,CLE,24,RB,13,13,253,1281,53,522,2.1,759,3,29,8.7
2,Derrick Henry,TEN,25,RB,13,13,250,1243,58,368,1.5,875,3.5,23,10.9
3,Chris Carson,SEA,25,RB,13,13,246,1057,65,390,1.6,667,2.7,25,9.8
4,Ezekiel Elliott,DAL,24,RB,13,13,246,1071,59,550,2.2,521,2.1,14,17.6
5,Christian McCaffrey,CAR,23,RB,13,13,246,1220,45,757,3.1,463,1.9,15,16.4
6,Dalvin Cook,MIN,24,RB,13,13,241,1108,59,519,2.2,589,2.4,19,12.7
7,Leonard Fournette,JAX,24,RB,13,13,235,1039,50,318,1.4,721,3.1,15,15.7
8,Josh Jacobs,OAK,21,RB,12,12,218,1061,49,448,2.1,613,2.8,23,9.5
9,Joe Mixon,CIN,23,RB,13,12,206,789,43,383,1.9,406,2,14,14.7
10,Marlon Mack,IND,23,RB,11,9,205,900,55,481,2.3,419,2,12,17.1
11,Carlos Hyde,HOU,29,RB,13,11,198,926,46,467,2.4,459,2.3,21,9.4
12,David Montgomery,CHI,22,RB,13,7,192,680,38,372,1.9,308,1.6,20,9.6
13,Sony Michel,NWE,24,RB,13,11,189,653,42,399,2.1,254,1.3,7,27
14,Le'Veon Bell,NYJ,27,RB,12,12,183,589,25,216,1.2,373,2,13,14.1
15,Mark Ingram,BAL,30,RB,13,13,181,887,47,432,2.4,455,2.5,17,10.6
16,Phillip Lindsay,DEN,25,RB,13,13,180,817,31,476,2.6,341,1.9,20,9
17,Todd Gurley,LAR,25,RB,12,12,177,721,42,413,2.3,308,1.7,15,11.8
18,Aaron Jones,GNB,25,RB,13,13,175,779,42,452,2.6,327,1.9,23,7.6
19,Adrian Peterson,WAS,34,RB,12,12,167,718,31,275,1.6,443,2.7,5,33.4
20,Saquon Barkley,NYG,22,RB,10,10,154,610,29,315,2,295,1.9,13,11.8
21,Lamar Jackson,BAL,22,QB,13,13,151,1017,59,701,4.6,316,2.1,3,50.3
22,Frank Gore,BUF,36,RB,13,7,150,558,28,243,1.6,315,2.1,7,21.4
23,Devonta Freeman,ATL,27,RB,11,11,141,506,24,262,1.9,244,1.7,10,14.1
24,Alvin Kamara,NOR,24,RB,11,8,138,612,24,276,2,336,2.4,24,5.8
25,Ronald Jones,TAM,22,rb,13,6,136,518,26,211,1.6,307,2.3,23,5.9
26,Peyton Barber,TAM,25,RB,13,7,133,430,22,186,1.4,244,1.8,8,16.6
27,Melvin Gordon,LAC,26,RB,9,8,132,523,31,254,1.9,269,2,6,22
28,Miles Sanders,PHI,22,RB,13,8,131,565,19,307,2.3,258,2,11,11.9
29,Tevin Coleman,SFO,26,RB,11,8,123,460,23,282,2.3,178,1.4,5,24.6
30,Jordan Howard,PHI,25,rb,9,4,119,525,28,242,2,283,2.4,4,29.8
31,Royce Freeman,DEN,23,,13,0,116,460,20,221,1.9,239,2.1,7,16.6
32,Matt Breida,SFO,24,rb,10,5,115,596,22,390,3.4,206,1.8,5,23
33,Devin Singletary,BUF,22,rb,10,6,115,642,28,357,3.1,285,2.5,15,7.7
34,Latavius Murray,NOR,29,rb,13,6,113,533,33,338,3,195,1.7,9,12.6
35,Kenyan Drake,2TM,25,,11,7,112,454,26,233,2.1,221,2,7,16
36,Austin Ekeler,LAC,24,RB,13,7,112,481,27,181,1.6,300,2.7,11,10.2
37,James Conner,PIT,24,RB,8,8,102,390,21,165,1.6,225,2.2,5,20.4
38,Raheem Mostert,SFO,27,,13,0,102,608,22,377,3.7,231,2.3,8,12.8
39,Alexander Mattison,MIN,21,,13,0,100,462,19,267,2.7,195,2,11,9.1
40,Josh Allen,BUF,23,QB,13,13,95,439,36,210,2.2,229,2.4,5,19
41,Gus Edwards,BAL,24,,13,0,95,480,33,260,2.7,220,2.3,5,19
42,LeSean McCoy,KAN,31,RB,12,8,95,449,22,246,2.6,203,2.1,5,19
43,Jamaal Williams,GNB,24,rb,12,2,93,401,19,238,2.6,163,1.8,4,23.3
44,Kerryon Johnson,DET,22,rb,6,6,92,308,16,122,1.3,186,2,6,15.3
45,David Johnson,ARI,28,RB,11,8,89,336,20,167,1.9,169,1.9,6,14.8
46,Damien Williams,KAN,27,rb,9,5,83,309,13,92,1.1,217,2.6,5,16.6
47,Benny Snell,PIT,21,rb,10,1,81,320,15,79,1,241,3,6,13.5
48,Kyler Murray,ARI,22,QB,13,13,77,448,23,349,4.5,99,1.3,4,19.3
49,Duke Johnson,HOU,26,rb,13,2,75,390,16,160,2.1,230,3.1,8,9.4
50,Kalen Ballage,MIA,24,rb,12,6,74,135,10,47,0.6,88,1.2,1,74
51,Bo Scarbrough,DET,23,rb,4,4,72,301,13,135,1.9,166,2.3,4,18
52,Deshaun Watson,HOU,24,QB,13,13,68,344,23,289,4.3,55,0.8,3,22.7
53,Brian Hill,ATL,24,rb,9,2,65,220,13,97,1.5,123,1.9,3,21.7
54,Rashaad Penny,SEA,23,,10,0,65,370,16,182,2.8,188,2.9,5,13
55,DeAndre Washington,OAK,26,rb,13,1,62,209,13,82,1.3,127,2,3,20.7
56,Russell Wilson,SEA,31,QB,13,13,62,312,16,263,4.2,49,0.8,1,62
57,Jaylen Samuels,PIT,23,rb,11,4,61,169,9,49,0.8,120,2,3,20.3
58,Malcolm Brown,LAR,26,rb,11,1,59,230,14,97,1.6,133,2.3,10,5.9
59,Chase Edmonds,ARI,23,rb,10,2,59,304,12,182,3.1,122,2.1,4,14.8
60,James White,NWE,27,rb,12,1,59,241,13,144,2.4,97,1.6,3,19.7
61,Tony Pollard,DAL,22,,12,0,58,264,14,105,1.8,159,2.7,4,14.5
62,Ty Johnson,DET,22,rb,13,1,55,185,7,81,1.5,104,1.9,3,18.3
63,Mark Walton,MIA,22,rb,7,4,53,201,11,88,1.7,113,2.1,1,53
64,Jameis Winston,TAM,25,QB,13,13,53,225,15,175,3.3,50,0.9,2,26.5
65,Bilal Powell,NYJ,31,rb,11,1,51,199,11,70,1.4,129,2.5,4,12.8
66,Tarik Cohen,CHI,24,RB,13,9,50,157,10,99,2,58,1.2,3,16.7
67,Gardner Minshew,JAX,23,QB,11,9,50,274,14,193,3.9,81,1.6,2,25
68,Carson Wentz,PHI,27,QB,13,13,50,197,18,138,2.8,59,1.2,2,25
69,Jonathan Williams,IND,25,rb,6,1,49,235,13,101,2.1,134,2.7,7,7
70,Jacoby Brissett,IND,27,QB,12,12,48,167,15,135,2.8,32,0.7,1,48
71,Rex Burkhead,NWE,29,rb,10,1,48,181,10,89,1.9,92,1.9,3,16
72,Giovani Bernard,CIN,28,rb,13,2,43,136,8,52,1.2,84,2,6,7.2
73,Derrius Guice,WAS,22,rb,5,1,42,245,9,49,1.2,196,4.7,3,14
74,Nyheim Hines,IND,23,rb,13,2,42,151,12,86,2,65,1.5,2,21
75,Justice Hill,BAL,22,,13,0,41,152,6,85,2.1,67,1.6,0,
76,Dak Prescott,DAL,26,QB,13,13,41,223,16,158,3.9,65,1.6,5,8.2
77,Darrel Williams,KAN,24,,12,0,41,141,12,81,2,60,1.5,1,41
78,Ryan Fitzpatrick,MIA,37,QB,12,10,40,186,12,134,3.4,52,1.3,3,13.3
