,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Nick Chubb,CLE,24,RB,12,12,238,1175,49,509,2.1,666,2.8,25,9.5
2,Christian McCaffrey,CAR,23,RB,12,12,235,1167,42,713,3,454,1.9,15,15.7
3,Derrick Henry,TEN,25,RB,12,12,232,1140,52,341,1.5,799,3.4,21,11
4,Chris Carson,SEA,25,RB,12,12,231,981,59,332,1.4,649,2.8,24,9.6
5,Ezekiel Elliott,DAL,24,RB,12,12,227,990,54,527,2.3,463,2,13,17.5
6,Dalvin Cook,MIN,24,RB,12,12,223,1046,56,494,2.2,552,2.5,19,11.7
7,Leonard Fournette,JAX,24,RB,12,12,220,989,46,307,1.4,682,3.1,14,15.7
8,Josh Jacobs,OAK,21,RB,12,12,218,1061,49,448,2.1,613,2.8,23,9.5
9,Marlon Mack,IND,23,RB,10,8,192,862,52,465,2.4,397,2.1,11,17.5
10,Carlos Hyde,HOU,29,RB,12,11,184,853,42,427,2.3,426,2.3,20,9.2
11,Sony Michel,NWE,24,RB,12,10,184,645,41,397,2.2,248,1.3,7,26.3
12,Le'Veon Bell,NYJ,27,RB,12,12,183,589,25,216,1.2,373,2,13,14.1
13,Joe Mixon,CIN,23,RB,12,11,183,643,33,309,1.7,334,1.8,10,18.3
14,David Montgomery,CHI,22,RB,12,7,172,594,34,351,2,243,1.4,17,10.1
15,Mark Ingram,BAL,30,RB,12,12,166,837,45,408,2.5,429,2.6,14,11.9
16,Phillip Lindsay,DEN,25,RB,12,12,164,766,30,439,2.7,327,2,20,8.2
17,Aaron Jones,GNB,25,RB,12,12,159,645,35,388,2.4,257,1.6,21,7.6
18,Todd Gurley,LAR,25,RB,11,11,154,642,38,398,2.6,244,1.6,11,14
19,Adrian Peterson,WAS,34,RB,11,11,147,642,28,232,1.6,410,2.8,4,36.8
20,Frank Gore,BUF,36,RB,12,7,146,552,28,241,1.7,311,2.1,7,20.9
21,Lamar Jackson,BAL,22,QB,12,12,140,977,56,668,4.8,309,2.2,2,70
22,Saquon Barkley,NYG,22,RB,9,9,137,544,24,277,2,267,1.9,10,13.7
23,Ronald Jones,TAM,22,rb,12,5,125,482,24,205,1.6,277,2.2,21,6
24,Alvin Kamara,NOR,24,RB,10,7,125,587,23,267,2.1,320,2.6,24,5.2
25,Devonta Freeman,ATL,27,RB,10,10,124,422,21,196,1.6,226,1.8,7,17.7
26,Peyton Barber,TAM,25,RB,12,7,122,396,20,167,1.4,229,1.9,8,15.3
27,Tevin Coleman,SFO,26,RB,10,7,120,454,23,280,2.3,174,1.5,5,24
28,Melvin Gordon,LAC,26,RB,8,8,120,468,27,229,1.9,239,2,6,20
