Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas,NOR,26,WR,12,11,132,110,1290,66,838,7.6,452,4.1,4,27.5,4,3
2,DeAndre Hopkins,HOU,27,WR,12,12,120,86,903,56,602,7,301,3.5,8,10.8,3,2.5
3,Julian Edelman,NWE,33,WR,12,10,123,82,915,45,639,7.8,276,3.4,3,27.3,10,8.1
4,Keenan Allen,LAC,27,WR,12,12,113,76,864,43,634,8.3,230,3,3,25.3,5,4.4
5,Christian McCaffrey,CAR,23,RB,12,12,95,75,644,40,28,0.4,616,8.2,7,10.7,5,5.3
6,Chris Godwin,TAM,23,WR,12,12,104,74,1121,54,658,8.9,463,6.3,6,12.3,1,1
7,D.J. Moore,CAR,22,WR,12,12,115,74,980,51,651,8.8,329,4.4,4,18.5,4,3.5
8,Cooper Kupp,LAR,26,WR,12,11,110,73,945,37,487,6.7,458,6.3,6,12.2,3,2.7
9,Allen Robinson,CHI,26,WR,12,11,108,71,850,44,616,8.7,234,3.3,4,17.8,5,4.6
10,Zach Ertz,PHI,29,TE,12,12,106,70,736,40,523,7.5,213,3,3,23.3,4,3.8
11,Austin Ekeler,LAC,24,RB,12,6,79,69,718,33,54,0.8,664,9.6,11,6.3,0,0
12,Tyler Boyd,CIN,25,WR,12,12,113,68,758,34,419,6.2,339,5,2,34,3,2.7
13,Travis Kelce,KAN,30,TE,12,12,100,68,923,48,616,9.1,307,4.5,5,13.6,7,7
14,Mike Evans,TAM,26,WR,12,12,116,66,1096,53,865,13.1,231,3.5,3,22,7,6
15,Darren Waller,OAK,27,TE,12,12,87,66,807,36,411,6.2,396,6,7,9.4,3,3.4
16,Leonard Fournette,JAX,24,RB,12,12,81,65,444,21,-14,-0.2,458,7,5,13,5,6.2
17,Jarvis Landry,CLE,27,WR,12,12,108,65,919,46,575,8.8,344,5.3,2,32.5,5,4.6
18,Amari Cooper,DAL,25,WR,12,12,92,64,971,45,715,11.2,256,4,3,21.3,4,4.3
19,Julio Jones,ATL,30,WR,11,11,101,64,950,50,725,11.3,225,3.5,2,32,1,1
20,Alvin Kamara,NOR,24,RB,10,7,76,64,444,23,-4,-0.1,448,7,9,7.1,3,3.9
21,Robert Woods,LAR,27,WR,11,11,98,64,835,37,385,6,450,7,2,32,3,3.1
22,Tyler Lockett,SEA,27,WR,12,12,81,63,831,42,602,9.6,229,3.6,0,,2,2.5
23,John Brown,BUF,29,WR,12,12,93,61,882,47,713,11.7,169,2.8,3,20.3,4,4.3
24,Larry Fitzgerald,ARI,36,WR,12,12,83,61,649,32,410,6.7,239,3.9,0,,0,0
25,Marvin Jones,DET,29,WR,12,10,84,59,741,39,639,10.8,102,1.7,2,29.5,2,2.4
26,DJ Chark,JAX,23,WR,12,11,96,58,881,37,574,9.9,307,5.3,4,14.5,3,3.1
27,Calvin Ridley,ATL,25,WR,12,9,88,58,790,43,664,11.4,126,2.2,2,29,3,3.4
28,Odell Beckham,CLE,27,WR,12,12,103,57,805,32,516,9.1,289,5.1,2,28.5,6,5.8
29,Jamison Crowder,NYJ,26,WR,12,8,86,57,588,28,340,6,248,4.4,1,57,5,5.8
30,James White,NWE,27,rb,11,1,76,57,512,26,107,1.9,405,7.1,2,28.5,0,0
31,Austin Hooper,ATL,25,TE,9,8,67,56,608,32,344,6.1,264,4.7,5,11.2,0,0
32,Cole Beasley,BUF,30,WR,12,8,81,55,635,29,356,6.5,279,5.1,3,18.3,3,3.7
33,Le'Veon Bell,NYJ,27,RB,12,12,67,55,403,19,32,0.6,371,6.7,10,5.5,2,3
34,Tarik Cohen,CHI,24,RB,12,8,74,54,306,14,31,0.6,275,5.1,4,13.5,6,8.1
35,George Kittle,SFO,26,TE,10,10,67,54,687,33,343,6.4,344,6.4,5,10.8,0,0
36,Courtland Sutton,DEN,24,WR,12,10,89,54,906,39,661,12.2,245,4.5,6,9,2,2.2
37,Mark Andrews,BAL,23,te,12,3,79,53,693,36,461,8.7,232,4.4,3,17.7,5,6.3
38,DeVante Parker,MIA,26,WR,12,10,93,53,854,42,637,12,217,4.1,2,26.5,4,4.3
39,Davante Adams,GNB,27,WR,8,8,79,52,644,37,393,7.6,251,4.8,2,26,3,3.8
40,Emmanuel Sanders,2TM,32,,13,12,74,51,617,33,446,8.7,171,3.4,2,25.5,0,0
