Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Kyler Murray,ARI,22,QB,3,3,0-2-1,84,137,61.3,830,4,2.9,3,2.2,54,6.1,5.7,9.9,276.7,79,51.1,16,99,4.78,4.42,10.5,1,0
2,Andy Dalton,CIN,32,QB,3,3,0-3-0,81,129,62.8,978,5,3.9,3,2.3,66,7.6,7.3,12.1,326,89.2,31.3,11,53,6.61,6.36,7.9,,
3,Case Keenum,WAS,31,QB,3,3,0-3-0,86,124,69.4,933,7,5.6,3,2.4,69,7.5,7.6,10.8,311,100,51.1,6,68,6.65,6.69,4.6,,
4,Matt Ryan,ATL,34,QB,3,3,1/2/00,89,123,72.4,928,8,6.5,6,4.9,54,7.5,6.7,10.4,309.3,95.2,66,5,42,6.92,6.06,3.9,1,1
5,Carson Wentz,PHI,27,QB,3,3,1/2/00,72,118,61,803,6,5.1,2,1.7,53,6.8,7.1,11.2,267.7,91.2,72.7,7,31,6.18,6.42,5.6,,
6,Philip Rivers,LAC,38,QB,3,3,1/2/00,77,116,66.4,944,5,4.3,2,1.7,55,8.1,8.2,12.3,314.7,98.5,58.3,10,54,7.06,7.14,7.9,0,1
7,Patrick Mahomes,KAN,24,QB,3,3,3-0-0,82,114,71.9,1195,10,8.8,0,0,83,10.5,12.2,14.6,398.3,134.9,91,3,18,10.06,11.77,2.6,,
8,Joe Flacco,DEN,34,QB,3,3,0-3-0,76,110,69.1,773,2,1.8,2,1.8,53,7,6.6,10.2,257.7,87.4,57.8,11,81,5.72,5.31,9.1,,
9,Baker Mayfield,CLE,24,QB,3,3,1/2/00,62,109,56.9,805,3,2.8,5,4.6,89,7.4,5.9,13,268.3,70.3,34.8,11,81,6.03,4.66,9.2,,
10,Matthew Stafford,DET,31,QB,3,3,2-0-1,67,107,62.6,831,6,5.6,2,1.9,47,7.8,8,12.4,277,97.5,67.7,3,24,7.34,7.61,2.7,2,1
11,Tom Brady,NWE,42,QB,3,3,3-0-0,72,106,67.9,911,7,6.6,0,0,58,8.6,9.9,12.7,303.7,116.5,87.9,3,16,8.21,9.5,2.8,,
12,Jared Goff,LAR,25,QB,3,3,3-0-0,66,105,62.9,738,4,3.8,3,2.9,66,7,6.5,11.2,246,84.5,37.8,6,35,6.33,5.84,5.4,1,1
13,Russell Wilson,SEA,31,QB,3,3,2/1/00,75,105,71.4,901,7,6.7,0,0,54,8.6,9.9,12,300.3,119.6,77.5,8,61,7.43,8.67,7.1,1,1
14,Josh Allen,BUF,23,QB,3,3,3-0-0,66,103,64.1,750,3,2.9,3,2.9,51,7.3,6.6,11.4,250,83.4,50.6,5,30,6.67,5.97,4.6,2,2
15,Mitchell Trubisky,CHI,25,QB,3,3,2/1/00,67,103,65,579,3,2.9,2,1.9,36,5.6,5.3,8.6,193,81.3,29.6,8,43,4.83,4.56,7.2,1,1
16,Lamar Jackson,BAL,22,QB,3,3,2/1/00,63,100,63,863,7,7,0,0,83,8.6,10,13.7,287.7,113.9,83.3,6,33,7.83,9.15,5.7,,
17,Derek Carr,OAK,28,QB,3,3,1/2/00,72,98,73.5,699,4,4.1,3,3.1,43,7.1,6.6,9.7,233,93.9,45.1,7,48,6.2,5.68,6.7,,
18,Jameis Winston,TAM,25,QB,3,3,1/2/00,59,98,60.2,782,5,5.1,4,4.1,55,8,7.2,13.3,260.7,85.5,37.7,10,64,6.65,5.91,9.3,,
19,Dak Prescott,DAL,26,QB,3,3,3-0-0,70,94,74.5,920,9,9.6,2,2.1,62,9.8,10.7,13.1,306.7,128,94,2,13,9.45,10.39,2.1,,
20,Aaron Rodgers,GNB,36,QB,3,3,3-0-0,57,93,61.3,647,4,4.3,0,0,47,7,7.8,11.4,215.7,96.5,46,7,55,5.92,6.72,7,,
21,Deshaun Watson,HOU,24,QB,3,3,2/1/00,61,93,65.6,778,6,6.5,1,1.1,54,8.4,9.2,12.8,259.3,108.6,79,12,70,6.74,7.46,11.4,,
22,Jacoby Brissett,IND,27,QB,3,3,2/1/00,66,92,71.7,646,7,7.6,1,1.1,35,7,8.1,9.8,215.3,112,63.4,6,52,6.06,7.03,6.1,1,1
23,Marcus Mariota,TEN,26,QB,3,3,1/2/00,56,92,60.9,706,4,4.3,0,0,75,7.7,8.5,12.6,235.3,99.3,38.2,17,122,5.36,6.09,15.6,,
24,Eli Manning,NYG,38,QB,2,2,0-2-0,56,89,62.9,556,2,2.2,2,2.2,43,6.2,5.7,9.9,278,78.7,30,2,13,5.97,5.42,2.2,,
25,Cam Newton,CAR,30,QB,2,2,0-2-0,50,89,56.2,572,0,0,1,1.1,44,6.4,5.9,11.4,286,71,23.1,6,43,5.57,5.09,6.3,,
26,Gardner Minshew,JAX,23,QB,3,2,1/1/00,65,88,73.9,692,5,5.7,1,1.1,69,7.9,8.5,10.6,230.7,110.6,,5,38,7.03,7.62,5.4,,
27,Jimmy Garoppolo,SFO,28,QB,3,3,3-0-0,58,84,69,739,5,6,4,4.8,39,8.8,7.8,12.7,246.3,96.3,52.4,2,17,8.4,7.47,2.3,1,1
28,Kirk Cousins,MIN,31,QB,3,3,2/1/00,37,63,58.7,502,3,4.8,2,3.2,61,8,7.5,13.6,167.3,86.9,31.5,2,8,7.6,7.14,3.1,,
29,Ben Roethlisberger,PIT,37,QB,2,2,0-2-0,35,62,56.5,351,0,0,1,1.6,45,5.7,4.9,10,175.5,66,20.8,2,7,5.38,4.67,3.1,,
30,Josh Rosen,MIA,22,qb,3,1,0-1-0,26,60,43.3,302,0,0,2,3.3,40,5,3.5,11.6,100.7,45.3,31,7,45,3.84,2.49,10.4,,
31,Teddy Bridgewater,NOR,27,qb,2,1,1-0-0,36,57,63.2,342,2,3.5,0,0,29,6,6.7,9.5,171,91.4,29.8,2,16,5.53,6.2,3.4,,
