Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas,NOR,26,WR,8,8,89,73,875,45,565,7.7,310,4.2,3,24.3,4,4.5
2,DeAndre Hopkins,HOU,27,WR,8,8,81,60,617,40,413,6.9,204,3.4,8,7.5,3,3.7
3,Cooper Kupp,LAR,26,WR,8,7,87,58,792,32,388,6.7,404,7,6,9.7,1,1.1
4,Julian Edelman,NWE,33,WR,8,7,79,53,574,26,377,7.1,197,3.7,2,26.5,6,7.6
5,Austin Hooper,ATL,25,TE,8,7,62,52,591,30,338,6.5,253,4.9,5,10.4,0,0
6,Keenan Allen,LAC,27,WR,8,8,80,51,617,32,471,9.2,146,2.9,3,17,5,6.3
7,Tyler Boyd,CIN,25,WR,8,8,83,51,536,25,300,5.9,236,4.6,2,25.5,2,2.4
8,Austin Ekeler,LAC,24,RB,8,5,56,51,507,23,18,0.4,489,9.6,10,5.1,0,0
9,Julio Jones,ATL,30,WR,8,8,74,50,712,39,540,10.8,172,3.4,2,25,1,1.4
10,Chris Godwin,TAM,23,WR,7,7,63,47,705,41,449,9.6,256,5.4,2,23.5,1,1.6
11,Tyler Lockett,SEA,27,WR,8,8,54,46,615,30,452,9.8,163,3.5,0,,2,3.7
12,Allen Robinson,CHI,26,WR,7,6,66,46,526,29,423,9.2,103,2.2,4,11.5,2,3
13,Darren Waller,OAK,27,TE,7,7,58,46,496,25,238,5.2,258,5.6,3,15.3,3,5.2
14,Travis Kelce,KAN,30,TE,8,8,65,42,604,32,396,9.4,208,5,4,10.5,5,7.7
15,James White,NWE,27,,7,0,52,42,358,19,64,1.5,294,7,2,21,0,0
16,George Kittle,SFO,26,TE,7,7,49,40,462,25,229,5.7,233,5.8,4,10,0,0
17,DJ Chark,JAX,23,WR,8,7,61,39,660,27,438,11.2,222,5.7,1,39,2,3.3
18,Christian McCaffrey,CAR,23,RB,7,7,49,39,343,19,12,0.3,331,8.5,4,9.8,1,2
19,Courtland Sutton,DEN,24,WR,8,6,60,39,636,29,431,11.1,205,5.3,5,7.8,2,3.3
20,John Brown,BUF,29,WR,7,7,53,38,527,30,428,11.3,99,2.6,2,19,1,1.9
21,Amari Cooper,DAL,25,WR,7,7,50,38,621,25,450,11.8,171,4.5,3,12.7,4,8
22,Evan Engram,NYG,25,TE,7,5,60,38,419,20,185,4.9,234,6.2,2,19,3,5
23,Mike Evans,TAM,26,WR,7,7,67,38,662,28,563,14.8,99,2.6,0,,3,4.5
24,Larry Fitzgerald,ARI,36,WR,8,8,59,38,447,20,297,7.8,150,3.9,0,,0,0
25,D.J. Moore,CAR,22,WR,7,7,58,38,463,25,300,7.9,163,4.3,0,,2,3.4
26,Robert Woods,LAR,27,WR,8,8,60,38,471,23,221,5.8,250,6.6,2,19,2,3.3
27,Stefon Diggs,MIN,26,WR,8,8,49,37,706,23,480,13,226,6.1,2,18.5,4,8.2
28,Zach Ertz,PHI,29,TE,8,8,64,37,424,20,331,8.9,93,2.5,0,,2,3.1
29,Mark Andrews,BAL,23,te,7,2,55,36,449,22,309,8.6,140,3.9,3,12,5,9.1
30,Jamison Crowder,NYJ,26,WR,7,4,50,35,322,14,172,4.9,150,4.3,1,35,3,6
31,Leonard Fournette,JAX,24,RB,8,8,45,35,263,16,4,0.1,259,7.4,0,,2,4.4
32,Devonta Freeman,ATL,27,RB,8,8,40,35,272,9,20,0.6,252,7.2,0,,1,2.5
33,Mohamed Sanu,2TM,30,,8,6,47,35,336,18,210,6,126,3.6,2,17.5,4,8.5
34,Odell Beckham,CLE,27,WR,7,7,61,34,488,18,311,9.1,177,5.2,2,17,4,6.6
35,Will Fuller,HOU,25,WR,7,7,49,34,450,18,274,8.1,176,5.2,1,34,5,10.2
36,Aaron Jones,GNB,25,RB,8,8,42,34,355,14,44,1.3,311,9.1,9,3.8,1,2.4
37,Marvin Jones,DET,29,WR,7,6,47,34,409,21,346,10.2,63,1.9,1,34,1,2.1
38,Emmanuel Sanders,2TM,32,,8,8,49,34,392,20,274,8.1,118,3.5,2,17,0,0
39,Cole Beasley,BUF,30,WR,7,4,53,33,324,17,172,5.2,152,4.6,2,16.5,2,3.8
40,Alvin Kamara,NOR,24,RB,6,6,39,33,276,12,-13,-0.4,289,8.8,7,4.7,2,5.1
41,Calvin Ridley,ATL,25,WR,8,5,51,33,443,25,370,11.2,73,2.2,2,16.5,3,5.9
42,Le'Veon Bell,NYJ,27,RB,7,7,42,32,187,9,-42,-1.3,229,7.2,9,3.6,1,2.4
43,Tarik Cohen,CHI,24,RB,7,5,46,32,184,8,12,0.4,172,5.4,4,8,4,8.7
44,T.Y. Hilton,IND,30,WR,6,6,46,32,360,17,225,7,135,4.2,2,16,3,6.5
45,Christian Kirk,ARI,23,WR,5,5,48,32,321,15,184,5.8,137,4.3,1,32,2,4.2
46,Dede Westbrook,JAX,26,WR,8,7,55,32,383,18,180,5.6,203,6.3,3,10.7,2,3.6
47,Kenny Golladay,DET,26,WR,7,7,55,31,508,27,389,12.5,119,3.8,0,,4,7.3
48,Alshon Jeffery,PHI,29,WR,7,7,47,30,317,22,225,7.5,92,3.1,0,,0,0
49,David Johnson,ARI,28,RB,7,7,41,30,315,14,116,3.9,199,6.6,2,15,2,4.9
50,Jarvis Landry,CLE,27,WR,7,7,54,30,504,20,306,10.2,198,6.6,1,30,3,5.6
51,JuJu Smith-Schuster,PIT,23,WR,7,7,46,30,443,16,268,8.9,175,5.8,0,,0,0
52,Nelson Agholor,PHI,26,WR,8,8,46,29,261,12,150,5.2,111,3.8,3,9.7,3,6.5
53,James Conner,PIT,24,RB,7,7,31,29,236,13,-35,-1.2,271,9.3,8,3.6,0,0
54,Dalvin Cook,MIN,24,RB,8,8,34,29,293,13,-35,-1.2,328,11.3,3,9.7,5,14.7
55,Danny Amendola,DET,34,wr,6,3,39,28,347,18,202,7.2,145,5.2,1,28,0,0
56,Adam Humphries,TEN,26,wr,8,3,37,28,253,14,167,6,86,3.1,0,,1,2.7
57,Terry McLaurin,WAS,23,WR,7,7,46,28,458,24,370,13.2,88,3.1,1,28,3,6.5
58,Sammy Watkins,KAN,26,WR,6,6,46,28,410,15,183,6.5,227,8.1,0,,2,4.3
59,Brandin Cooks,LAR,26,WR,8,8,45,27,402,20,290,10.7,112,4.1,0,,3,6.7
60,Michael Gallup,DAL,23,WR,5,4,40,27,421,18,275,10.2,146,5.4,3,9,6,15
61,Curtis Samuel,CAR,23,WR,7,7,54,27,343,17,245,9.1,98,3.6,1,27,3,5.6
62,Auden Tate,CIN,22,WR,7,6,54,27,391,18,317,11.7,74,2.7,2,13.5,3,5.6
63,Adam Thielen,MIN,29,WR,7,7,40,27,391,17,277,10.3,114,4.2,2,13.5,0,0
64,Chris Thompson,WAS,29,,6,0,38,27,276,9,34,1.3,242,9,1,27,2,5.3
65,Preston Williams,MIA,22,WR,7,7,51,27,356,19,283,10.5,73,2.7,2,13.5,4,7.8
66,Gerald Everett,LAR,25,te,8,2,44,26,297,17,145,5.6,152,5.8,8,3.3,0,0
67,Royce Freeman,DEN,23,,8,0,33,26,182,7,9,0.3,173,6.7,4,6.5,2,6.1
68,Mike Williams,LAC,25,WR,7,7,50,26,419,21,348,13.4,71,2.7,3,8.7,3,6
69,Jason Witten,DAL,37,TE,7,7,31,26,263,15,187,7.2,76,2.9,0,,1,3.2
70,Davante Adams,GNB,27,WR,4,4,36,25,378,20,228,9.1,150,6,1,25,0,0
71,Alex Erickson,CIN,27,,8,0,36,25,343,16,183,7.3,160,6.4,1,25,2,5.6
72,Diontae Johnson,PIT,23,WR,7,5,38,25,296,10,157,6.3,139,5.6,3,8.3,2,5.3
73,Phillip Lindsay,DEN,25,RB,8,8,32,25,160,8,-17,-0.7,177,7.1,0,,3,9.4
74,Sterling Shepard,NYG,26,WR,4,4,34,25,267,14,144,5.8,123,4.9,4,6.3,0,0
75,Corey Davis,TEN,24,WR,8,5,40,24,326,16,207,8.6,119,5,3,8,1,2.5
76,Ezekiel Elliott,DAL,24,RB,7,7,30,24,176,8,31,1.3,145,6,3,8,2,6.7
77,Greg Olsen,CAR,34,TE,7,7,40,24,291,18,201,8.4,90,3.8,1,24,2,5
78,DeVante Parker,MIA,26,WR,7,6,46,24,343,18,278,11.6,65,2.7,0,,3,6.5
79,Will Dissly,SEA,23,TE,6,6,27,23,262,14,192,8.3,70,3,0,,0,0
80,Tyler Eifert,CIN,29,te,8,2,33,23,192,12,138,6,54,2.3,0,,2,6.1
81,Darren Fells,HOU,33,TE,8,8,28,23,244,14,131,5.7,113,4.9,2,11.5,1,3.6
82,D.K. Metcalf,SEA,22,WR,8,7,45,23,402,17,310,13.5,92,4,2,11.5,3,6.7
83,Latavius Murray,NOR,29,rb,8,3,28,23,153,5,-31,-1.3,184,8,5,4.6,2,7.1
84,Trey Quinn,WAS,24,wr,8,3,38,23,180,10,126,5.5,54,2.3,0,,0,0
85,Paul Richardson,WAS,27,WR,8,6,35,23,197,10,157,6.8,40,1.7,0,,2,5.7
86,Golden Tate,NYG,31,WR,4,4,36,23,280,13,149,6.5,131,5.7,2,11.5,1,2.8
87,Saquon Barkley,NYG,22,RB,5,5,33,22,161,7,18,0.8,143,6.5,5,4.4,3,9.1
88,A.J. Brown,TEN,22,WR,8,5,34,22,348,14,210,9.5,138,6.3,4,5.5,1,2.9
89,Chris Carson,SEA,25,RB,8,8,27,22,149,6,-43,-2,192,8.7,6,3.7,2,7.4
90,Kenyan Drake,MIA,25,rb,6,2,33,22,174,6,7,0.3,167,7.6,1,22,3,9.1
91,Hunter Henry,LAC,25,TE,4,4,28,22,304,17,229,10.4,75,3.4,0,,1,3.6
92,Nyheim Hines,IND,23,rb,7,1,26,22,167,8,7,0.3,160,7.3,2,11,0,0
93,Demarcus Robinson,KAN,25,WR,8,6,38,22,318,12,259,11.8,59,2.7,3,7.3,0,0
94,Marquez Valdes-Scantling,GNB,25,WR,8,7,39,22,420,12,293,13.3,127,5.8,0,,1,2.6
95,Robby Anderson,NYJ,26,WR,7,6,43,21,309,10,207,9.9,102,4.9,1,21,0,0
96,Marquise Brown,BAL,22,WR,5,4,39,21,326,12,195,9.3,131,6.2,2,10.5,1,2.6
97,Nick Chubb,CLE,24,RB,7,7,27,21,135,7,-26,-1.2,161,7.7,5,4.2,2,7.4
98,Chris Conley,JAX,27,WR,8,6,39,21,429,17,258,12.3,171,8.1,3,7,4,10.3
99,Phillip Dorsett,NWE,26,wr,7,2,33,21,286,12,230,11,56,2.7,0,,0,0
100,Jack Doyle,IND,29,TE,7,7,30,21,210,14,80,3.8,130,6.2,0,,1,3.3
101,Jimmy Graham,GNB,33,te,8,3,33,21,234,14,139,6.6,95,4.5,1,21,1,3
102,Delanie Walker,TEN,35,TE,7,4,31,21,215,11,158,7.5,57,2.7,0,,2,6.5
103,Noah Fant,DEN,22,TE,8,4,32,20,185,10,96,4.8,89,4.5,0,,5,15.6
104,Ted Ginn,NOR,34,WR,8,5,32,20,296,12,271,13.6,25,1.3,0,,4,12.5
105,Josh Gordon,NWE,28,WR,6,6,36,20,287,10,164,8.2,123,6.2,4,5,2,5.6
106,Mecole Hardman,KAN,21,wr,8,3,32,20,374,14,159,8,215,10.8,2,10,1,3.1
107,Tyrell Williams,OAK,27,WR,5,4,30,20,307,16,229,11.5,78,3.9,0,,3,10
108,Randall Cobb,DAL,29,wr,6,3,30,19,239,13,134,7.1,105,5.5,1,19,4,13.3
109,T.J. Hockenson,DET,22,TE,7,5,31,19,240,11,137,7.2,103,5.4,0,,2,6.5
110,LeSean McCoy,KAN,31,RB,8,5,21,19,129,4,-50,-2.6,179,9.4,0,,0,0
111,Joe Mixon,CIN,23,RB,8,8,25,19,110,7,-25,-1.3,135,7.1,1,19,0,0
112,Miles Sanders,PHI,22,RB,8,4,24,19,274,9,116,6.1,158,8.3,0,,0,0
113,Jamaal Williams,GNB,24,rb,7,1,22,19,127,8,-11,-0.6,138,7.3,3,6.3,0,0
114,Geronimo Allison,GNB,25,WR,8,4,32,18,184,9,127,7.1,57,3.2,0,,3,9.4
115,Giovani Bernard,CIN,28,,8,0,25,18,126,5,-15,-0.8,141,7.8,2,9,0,0
116,Bennie Fowler,NYG,28,wr,6,2,27,18,155,9,127,7.1,28,1.6,1,18,2,7.4
117,Tyler Higbee,LAR,26,TE,7,7,23,18,170,9,68,3.8,102,5.7,2,9,1,4.3
118,Hunter Renfrow,OAK,24,wr,7,1,30,18,203,11,74,4.1,129,7.2,3,6,1,3.3
119,Deebo Samuel,SFO,23,wr,6,3,25,18,187,8,50,2.8,137,7.6,1,18,2,8
120,Kenny Stills,HOU,27,wr,6,1,24,18,315,14,224,12.4,91,5.1,0,,2,8.3
121,Jordan Akins,HOU,27,TE,8,4,25,17,224,10,91,5.4,133,7.8,2,8.5,3,12
122,Damiere Byrd,ARI,26,wr,6,3,27,17,178,7,114,6.7,64,3.8,1,17,1,3.7
123,Dallas Goedert,PHI,24,te,7,3,27,17,182,10,62,3.6,120,7.1,1,17,3,11.1
124,Duke Johnson,HOU,26,rb,8,1,27,17,160,9,29,1.7,131,7.7,8,2.1,0,0
125,KeeSean Johnson,ARI,23,wr,7,3,33,17,151,8,111,6.5,40,2.4,0,,1,3
126,Vance McDonald,PIT,29,TE,6,6,21,17,146,7,54,3.2,92,5.4,0,,1,4.8
127,Dare Ogunbowale,TAM,25,,7,0,24,17,133,4,37,2.2,96,5.6,1,17,2,8.3
128,Kyle Rudolph,MIN,30,TE,8,8,20,17,147,8,35,2.1,112,6.6,1,17,0,0
129,Demaryius Thomas,NYJ,32,WR,5,4,29,17,213,11,140,8.2,73,4.3,0,,4,13.8
130,Eric Ebron,IND,26,te,7,1,29,16,232,12,126,7.9,106,6.6,0,,4,13.8
131,Tyreek Hill,KAN,25,WR,4,4,26,16,246,10,177,11.1,69,4.3,2,8,0,0
132,Anthony Miller,CHI,25,wr,7,1,27,16,211,12,135,8.4,76,4.8,0,,2,7.4
133,John Ross,CIN,25,WR,4,4,32,16,328,12,173,10.8,155,9.7,3,5.3,4,12.5
134,Darius Slayton,NYG,22,wr,6,3,27,16,267,12,235,14.7,32,2,1,16,1,3.7
135,Cameron Brate,TAM,28,TE,7,3,20,15,151,10,105,7,46,3.1,1,15,1,5
136,Rex Burkhead,NWE,29,rb,5,1,19,15,126,5,46,3.1,80,5.3,1,15,0,0
137,Jared Cook,NOR,32,TE,6,4,27,15,168,10,115,7.7,53,3.5,1,15,3,11.1
138,Mike Gesicki,MIA,24,te,7,1,25,15,153,4,104,6.9,49,3.3,0,,0,0
139,Todd Gurley,LAR,25,RB,7,7,24,15,81,3,12,0.8,69,4.6,0,,3,12.5
140,Josh Hill,NOR,29,TE,8,5,21,15,160,8,57,3.8,103,6.9,0,,1,4.8
141,Olabisi Johnson,MIN,22,,8,0,19,15,161,8,123,8.2,38,2.5,0,,0,0
142,Dion Lewis,TEN,29,,8,0,20,15,63,2,-8,-0.5,71,4.7,2,7.5,3,15
143,David Montgomery,CHI,22,RB,7,4,20,15,97,4,17,1.1,80,5.3,2,7.5,1,5
144,Jonnu Smith,TEN,24,TE,8,7,18,15,239,8,84,5.6,155,10.3,4,3.8,0,0
145,Irv Smith Jr.,MIN,21,TE,8,5,17,15,174,9,99,6.6,75,5,0,,0,0
146,Willie Snead,BAL,27,WR,7,5,22,15,223,11,138,9.2,85,5.7,1,15,1,4.5
147,Damien Williams,KAN,27,rb,6,3,19,15,115,6,-6,-0.4,121,8.1,2,7.5,2,10.5
148,Jaron Brown,SEA,29,WR,8,4,24,14,205,10,147,10.5,58,4.1,0,,1,4.2
149,Trey Burton,CHI,28,TE,6,5,22,14,84,5,48,3.4,36,2.6,0,,3,13.6
150,Taylor Gabriel,CHI,28,WR,5,4,22,14,169,10,130,9.3,39,2.8,0,,1,4.5
151,Hayden Hurst,BAL,26,te,7,2,18,14,141,8,86,6.1,55,3.9,0,,0,0
152,Jakobi Meyers,NWE,23,,7,0,17,14,172,8,126,9,46,3.3,2,7,0,0
153,James O'Shaughnessy,JAX,27,TE,5,5,20,14,153,7,69,4.9,84,6,2,7,0,0
154,Zach Pascal,IND,25,WR,7,5,21,14,245,11,144,10.3,101,7.2,1,14,1,4.8
155,Jarius Wright,CAR,30,wr,7,3,25,14,150,8,92,6.6,58,4.1,1,14,4,16
156,Keke Coutee,HOU,22,wr,6,3,22,13,154,6,69,5.3,85,6.5,1,13,1,4.5
157,Rhett Ellison,NYG,31,TE,8,6,20,13,108,3,62,4.8,46,3.5,2,6.5,1,5
158,Ryan Griffin,NYJ,29,TE,7,7,16,13,112,8,47,3.6,65,5,2,6.5,0,0
159,O.J. Howard,TAM,25,TE,6,6,18,13,176,9,94,7.2,82,6.3,1,13,3,16.7
160,Foster Moreau,OAK,22,TE,7,4,16,13,131,9,66,5.1,65,5,2,6.5,0,0
161,Jaylen Samuels,PIT,23,,5,0,15,13,83,7,-16,-1.2,99,7.6,1,13,2,13.3
162,Jeremy Sprinkle,WAS,25,TE,8,8,19,13,124,6,67,5.2,57,4.4,0,,2,10.5
163,Geoff Swaim,JAX,26,te,6,2,17,13,65,1,19,1.5,46,3.5,0,,1,5.9
164,Nick Boyle,BAL,26,TE,7,6,19,12,145,6,51,4.3,94,7.8,0,,0,0
