Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas,NOR,26,WR,9,9,103,86,1027,52,668,7.8,359,4.2,3,28.7,4,3.9
2,DeAndre Hopkins,HOU,27,WR,9,9,92,68,665,42,446,6.6,219,3.2,8,8.5,3,3.3
3,Julian Edelman,NWE,33,WR,9,8,90,63,663,31,433,6.9,230,3.7,3,21,6,6.7
4,Keenan Allen,LAC,27,WR,10,10,95,62,725,37,548,8.8,177,2.9,3,20.7,5,5.3
5,Tyler Lockett,SEA,27,WR,10,10,76,62,793,41,564,9.1,229,3.7,0,,2,2.6
6,Chris Godwin,TAM,23,WR,9,9,84,60,840,44,519,8.7,321,5.4,4,15,1,1.2
7,Cooper Kupp,LAR,26,WR,9,8,91,58,792,32,388,6.7,404,7,6,9.7,2,2.2
8,Tyler Boyd,CIN,25,WR,9,9,91,57,598,27,336,5.9,262,4.6,2,28.5,2,2.2
9,Austin Ekeler,LAC,24,RB,10,6,62,57,559,26,43,0.8,516,9.1,10,5.7,0,0
10,Austin Hooper,ATL,25,TE,9,8,67,56,608,32,344,6.1,264,4.7,5,11.2,0,0
11,Travis Kelce,KAN,30,TE,10,10,81,56,741,40,482,8.6,259,4.6,4,14,5,6.2
12,Mike Evans,TAM,26,WR,9,9,89,54,924,44,762,14.1,162,3,2,27,3,3.4
13,D.J. Moore,CAR,22,WR,9,9,79,54,684,36,447,8.3,237,4.4,2,27,2,2.5
14,Amari Cooper,DAL,25,WR,9,9,71,53,848,36,628,11.8,220,4.2,3,17.7,4,5.6
15,Julio Jones,ATL,30,WR,9,9,83,53,791,42,582,11,209,3.9,2,26.5,1,1.2
16,Allen Robinson,CHI,26,WR,9,8,80,53,618,33,485,9.2,133,2.5,4,13.3,3,3.8
17,Darren Waller,OAK,27,TE,9,9,65,51,588,28,293,5.7,295,5.8,3,17,3,4.6
18,Larry Fitzgerald,ARI,36,WR,10,10,71,50,556,26,361,7.2,195,3.9,0,,0,0
19,Jamison Crowder,NYJ,26,WR,9,6,65,48,486,23,269,5.6,217,4.5,1,48,3,4.6
20,Christian McCaffrey,CAR,23,RB,9,9,59,48,396,25,8,0.2,388,8.1,4,12,1,1.7
21,John Brown,BUF,29,WR,9,9,71,47,680,38,561,11.9,119,2.5,2,23.5,3,4.2
22,Marvin Jones,DET,29,WR,9,8,63,47,612,32,533,11.3,79,1.7,1,47,1,1.6
23,Zach Ertz,PHI,29,TE,9,9,75,46,527,28,384,8.3,143,3.1,1,46,3,4
24,George Kittle,SFO,26,TE,8,8,57,46,541,28,260,5.7,281,6.1,5,9.2,0,0
25,Jarvis Landry,CLE,27,WR,9,9,77,45,652,30,362,8,290,6.4,2,22.5,5,6.5
26,Mohamed Sanu,2TM,30,,9,7,61,45,417,25,246,5.5,171,3.8,2,22.5,4,6.6
27,Robert Woods,LAR,27,WR,9,9,71,45,566,26,290,6.4,276,6.1,2,22.5,2,2.8
28,Mark Andrews,BAL,23,te,9,3,66,44,523,29,370,8.4,153,3.5,3,14.7,5,7.6
