Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Jamison Crowder,NYJ,26,WR,1,1,17,14,99,6,32,2.3,67,4.8,1,14,1,5.9
2,Evan Engram,NYG,25,,1,0,14,11,116,8,59,5.4,57,5.2,1,11,0,0
3,Christian McCaffrey,CAR,23,RB,1,1,11,10,81,3,29,2.9,52,5.2,1,10,0,0
4,Michael Thomas,NOR,26,WR,1,1,13,10,123,6,95,9.5,28,2.8,0,,1,7.7
5,Austin Hooper,ATL,25,TE,1,1,9,9,77,3,45,5,32,3.6,0,,0,0
6,Sammy Watkins,KAN,26,WR,1,1,11,9,198,5,57,6.3,141,15.7,0,,0,0
7,Keenan Allen,LAC,27,WR,1,1,10,8,123,5,101,12.6,22,2.8,0,,1,10
8,Mark Andrews,BAL,23,,1,0,8,8,108,6,74,9.3,34,4.3,0,,0,0
9,Tyler Boyd,CIN,25,WR,1,1,11,8,60,3,50,6.3,10,1.3,0,,0,0
10,Tarik Cohen,CHI,24,RB,1,1,10,8,49,2,23,2.9,26,3.3,1,8,1,10
11,Larry Fitzgerald,ARI,36,WR,1,1,13,8,113,3,100,12.5,13,1.6,0,,0,0
12,T.Y. Hilton,IND,30,WR,1,1,9,8,87,3,43,5.4,44,5.5,0,,0,0
13,DeAndre Hopkins,HOU,27,WR,1,1,13,8,111,6,86,10.8,25,3.1,0,,3,23.1
14,DeSean Jackson,PHI,33,WR,1,1,9,8,154,6,139,17.4,15,1.9,1,8,1,11.1
15,George Kittle,SFO,26,TE,1,1,10,8,54,4,22,2.8,32,4,0,,0,0
16,Robert Woods,LAR,27,WR,1,1,13,8,70,3,26,3.3,44,5.5,1,8,1,7.7
17,Danny Amendola,DET,34,,1,0,13,7,104,5,61,8.7,43,6.1,0,,0,0
18,Odell Beckham,CLE,27,WR,1,1,11,7,71,3,56,8,15,2.1,1,7,0,0
19,John Brown,BUF,29,WR,1,1,10,7,123,7,83,11.9,40,5.7,0,,0,0
20,Michael Gallup,DAL,23,WR,1,1,7,7,158,5,82,11.7,76,10.9,2,3.5,0,0
21,Ted Ginn,NOR,34,WR,1,1,7,7,101,5,89,12.7,12,1.7,0,,0,0
22,Alvin Kamara,NOR,24,RB,1,1,8,7,72,3,8,1.1,64,9.1,2,3.5,0,0
23,Cooper Kupp,LAR,26,WR,1,1,10,7,46,3,24,3.4,22,3.1,0,,0,0
24,D.J. Moore,CAR,22,WR,1,1,10,7,76,5,48,6.9,28,4,0,,0,0
25,Allen Robinson,CHI,26,,1,0,13,7,102,5,79,11.3,23,3.3,2,3.5,0,0
26,John Ross,CIN,25,WR,1,1,12,7,158,6,100,14.3,58,8.3,2,3.5,2,16.7
27,Courtland Sutton,DEN,24,,1,0,8,7,120,5,77,11,43,6.1,1,7,0,0
28,Chris Thompson,WAS,29,,1,0,10,7,68,2,24,3.4,44,6.3,0,,1,10
29,Darren Waller,OAK,27,TE,1,1,8,7,70,3,39,5.6,31,4.4,0,,0,0
30,Le'Veon Bell,NYJ,27,RB,1,1,9,6,32,4,3,0.5,29,4.8,0,,0,0
31,Chris Carson,SEA,25,RB,1,1,7,6,34,1,-35,-5.8,69,11.5,4,1.5,1,14.3
32,Chris Conley,JAX,27,WR,1,1,7,6,97,5,69,11.5,28,4.7,0,,0,0
33,Amari Cooper,DAL,25,WR,1,1,9,6,106,5,84,14,22,3.7,0,,2,22.2
34,Mike Davis,CHI,26,RB,1,1,7,6,17,1,-8,-1.3,25,4.2,0,,0,0
35,Julian Edelman,NWE,33,WR,1,1,11,6,83,4,46,7.7,37,6.2,0,,1,9.1
36,Austin Ekeler,LAC,24,RB,1,1,7,6,96,3,-15,-2.5,111,18.5,1,6,0,0
37,T.J. Hockenson,DET,22,TE,1,1,9,6,131,4,75,12.5,56,9.3,0,,0,0
38,David Johnson,ARI,28,RB,1,1,7,6,55,2,43,7.2,12,2,0,,1,14.3
39,Julio Jones,ATL,30,WR,1,1,11,6,31,4,20,3.3,11,1.8,1,6,0,0
40,Sterling Shepard,NYG,26,WR,1,1,7,6,42,3,11,1.8,31,5.2,1,6,0,0
41,JuJu Smith-Schuster,PIT,23,WR,1,1,8,6,78,4,52,8.7,26,4.3,0,,0,0
42,Ryan Switzer,PIT,25,,1,0,6,6,29,2,12,2,17,2.8,0,,0,0
43,Damien Williams,KAN,27,RB,1,1,6,6,39,3,-15,-2.5,54,9,2,3,0,0
44,Tyrell Williams,OAK,27,WR,1,1,7,6,105,5,80,13.3,25,4.2,0,,0,0
45,Cole Beasley,BUF,30,WR,1,1,9,5,40,2,19,3.8,21,4.2,0,,2,22.2
46,Rex Burkhead,NWE,29,,1,0,8,5,41,2,10,2,31,6.2,0,,0,0
47,Tyler Eifert,CIN,29,,1,0,5,5,27,2,23,4.6,4,0.8,0,,0,0
48,Zach Ertz,PHI,29,TE,1,1,7,5,54,3,33,6.6,21,4.2,0,,0,0
