,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry*,TEN,25,RB,14,14,271,1329,61,413,1.5,916,3.4,24,11.3
2,Chris Carson,SEA,25,RB,14,14,270,1190,73,468,1.7,722,2.7,27,10
3,Nick Chubb*,CLE,24,RB,14,14,270,1408,59,578,2.1,830,3.1,32,8.4
4,Ezekiel Elliott*,DAL,24,RB,14,14,270,1188,69,587,2.2,601,2.2,21,12.9
5,Christian McCaffrey*,CAR,23,RB,14,14,265,1307,51,822,3.1,485,1.8,15,17.7
6,Dalvin Cook*,MIN,24,RB,14,14,250,1135,60,525,2.1,610,2.4,20,12.5
7,Leonard Fournette,JAX,24,RB,14,14,250,1081,52,322,1.3,759,3,16,15.6
8,Josh Jacobs,OAK,21,RB,13,13,242,1150,53,464,1.9,686,2.8,26,9.3
9,Joe Mixon,CIN,23,RB,14,13,231,925,49,444,1.9,481,2.1,18,12.8
10,Carlos Hyde,HOU,29,RB,14,12,224,1030,52,511,2.3,519,2.3,22,10.2
11,Marlon Mack,IND,23,RB,12,10,216,919,57,497,2.3,422,2,12,18
12,Sony Michel,NWE,24,RB,14,12,208,742,46,439,2.1,303,1.5,9,23.1
13,David Montgomery,CHI,22,RB,14,7,206,719,39,391,1.9,328,1.6,20,10.3
14,Le'Veon Bell,NYJ,27,RB,13,13,204,676,28,262,1.3,414,2,13,15.7
15,Mark Ingram*,BAL,30,RB,14,14,194,963,50,475,2.4,488,2.5,18,10.8
16,Todd Gurley,LAR,25,RB,13,13,188,741,45,410,2.2,331,1.8,19,9.9
17,Aaron Jones,GNB,25,RB,14,14,188,830,44,474,2.5,356,1.9,26,7.2
18,Phillip Lindsay,DEN,25,RB,14,14,187,849,33,508,2.7,341,1.8,20,9.4
19,Adrian Peterson,WAS,34,RB,13,13,183,784,36,314,1.7,470,2.6,7,26.1
20,Saquon Barkley,NYG,22,RB,11,11,178,722,36,361,2,361,2,14,12.7
21,Frank Gore,BUF,36,RB,14,7,160,573,29,246,1.5,327,2,7,22.9
22,Lamar Jackson*,BAL,22,QB,14,14,159,1103,64,790,5,313,2,3,53
23,Devonta Freeman,ATL,27,RB,12,12,153,545,25,290,1.9,255,1.7,11,13.9
24,Alvin Kamara,NOR,24,RB,12,8,152,678,26,308,2,370,2.4,25,6.1
25,Miles Sanders,PHI,22,RB,14,9,150,687,24,394,2.6,293,2,14,10.7
26,Ronald Jones,TAM,22,RB,14,7,147,541,27,229,1.6,312,2.1,23,6.4
27,Peyton Barber,TAM,25,RB,14,7,143,447,23,187,1.3,260,1.8,8,17.9
28,Melvin Gordon,LAC,26,RB,10,9,139,551,32,269,1.9,282,2,6,23.2
29,Devin Singletary,BUF,22,RB,11,7,136,729,35,392,2.9,337,2.5,19,7.2
30,Kenyan Drake,2TM,25,,12,8,134,591,37,329,2.5,262,2,9,14.9
31,Tevin Coleman,SFO,26,RB,12,9,127,500,24,315,2.5,185,1.5,5,25.4
32,Latavius Murray,NOR,29,RB,14,7,122,562,34,350,2.9,212,1.7,10,12.2
33,Royce Freeman,DEN,23,,14,0,121,472,20,233,1.9,239,2,7,17.3
34,Matt Breida,SFO,24,rb,11,5,119,607,23,398,3.3,209,1.8,5,23.8
35,Austin Ekeler,LAC,24,RB,14,7,119,500,28,187,1.6,313,2.6,11,10.8
36,Jordan Howard,PHI,25,rb,9,4,119,525,28,242,2,283,2.4,4,29.8
37,Raheem Mostert,SFO,27,,14,0,116,662,26,409,3.5,253,2.2,8,14.5
38,James Conner,PIT,24,RB,9,9,110,432,24,194,1.8,238,2.2,5,22
39,Josh Allen,BUF,23,QB,14,14,102,467,38,228,2.2,239,2.3,5,20.4
40,LeSean McCoy,KAN,31,RB,13,9,101,465,24,262,2.6,203,2,5,20.2
41,Jamaal Williams,GNB,24,rb,13,2,101,427,21,251,2.5,176,1.7,5,20.2
42,Gus Edwards,BAL,24,,14,0,100,515,34,261,2.6,254,2.5,5,20
43,Alexander Mattison,MIN,21,,13,0,100,462,19,267,2.7,195,2,11,9.1
44,David Johnson,ARI,28,RB,12,8,92,342,20,175,1.9,167,1.8,6,15.3
45,Kerryon Johnson,DET,22,rb,6,6,92,308,16,122,1.3,186,2,6,15.3
46,Kyler Murray,ARI,22,QB,14,14,85,504,25,408,4.8,96,1.1,4,21.3
47,Benny Snell,PIT,21,rb,11,1,83,321,15,84,1,237,2.9,6,13.8
48,Damien Williams,KAN,27,rb,9,5,83,309,13,92,1.1,217,2.6,5,16.6
49,Duke Johnson,HOU,26,rb,14,2,77,394,16,160,2.1,234,3,8,9.6
50,Deshaun Watson*,HOU,24,QB,14,14,75,376,26,318,4.2,58,0.8,3,25
51,Kalen Ballage,MIA,24,rb,12,6,74,135,10,47,0.6,88,1.2,1,74
