Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas,NOR,26,WR,5,5,55,45,543,26,384,8.5,159,3.5,3,15,2,3.6
2,Cooper Kupp,LAR,26,WR,5,4,63,41,505,23,268,6.5,237,5.8,4,10.3,1,1.6
3,Austin Ekeler,LAC,24,RB,5,5,41,39,356,17,-26,-0.7,382,9.8,6,6.5,0,0
4,Keenan Allen,LAC,27,WR,5,5,53,38,470,24,340,8.9,130,3.4,3,12.7,3,5.7
5,Tyler Boyd,CIN,25,WR,5,5,53,37,406,20,240,6.5,166,4.5,2,18.5,0,0
6,Darren Waller,OAK,27,TE,5,5,42,37,359,17,156,4.2,203,5.5,2,18.5,2,4.8
7,Austin Hooper,ATL,25,TE,5,4,42,34,363,17,200,5.9,163,4.8,4,8.5,0,0
8,Evan Engram,NYG,25,TE,5,4,48,33,373,18,154,4.7,219,6.6,2,16.5,1,2.1
9,Chris Godwin,TAM,23,WR,5,5,43,33,511,30,328,9.9,183,5.5,2,16.5,1,2.3
10,Amari Cooper,DAL,25,WR,5,5,43,32,512,21,358,11.2,154,4.8,3,10.7,4,9.3
11,DeAndre Hopkins,HOU,27,WR,5,5,44,31,347,18,236,7.6,111,3.6,4,7.8,2,4.5
12,Christian McCaffrey,CAR,23,RB,5,5,40,31,279,17,13,0.4,266,8.6,3,10.3,0,0
13,Allen Robinson,CHI,26,WR,5,4,42,31,377,22,320,10.3,57,1.8,2,15.5,1,2.4
14,Robert Woods,LAR,27,WR,5,5,47,31,355,18,194,6.3,161,5.2,1,31,1,2.1
15,Tyler Lockett,SEA,27,WR,5,5,36,30,379,18,278,9.3,101,3.4,0,,2,5.6
16,Julian Edelman,NWE,33,WR,5,5,41,29,336,15,211,7.3,125,4.3,2,14.5,4,9.8
17,Zach Ertz,PHI,29,TE,5,5,45,29,312,15,237,8.2,75,2.6,0,,1,2.2
18,Larry Fitzgerald,ARI,36,WR,5,5,44,29,358,15,227,7.8,131,4.5,0,,0,0
19,Mohamed Sanu,ATL,30,WR,5,4,36,29,281,15,167,5.8,114,3.9,2,14.5,1,2.8
20,Mark Andrews,BAL,23,te,5,1,39,28,311,17,217,7.8,94,3.4,3,9.3,2,5.1
21,John Brown,BUF,29,WR,5,5,39,28,390,23,305,10.9,85,3,1,28,1,2.6
22,Will Fuller,HOU,25,WR,5,5,39,28,400,16,264,9.4,136,4.9,1,28,2,5.1
23,Travis Kelce,KAN,30,TE,5,5,43,28,439,22,306,10.9,133,4.8,0,,3,7
