Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas*,NOR,26,WR,15,14,176,145,1688,88,1115,7.7,573,4,5,29,5,2.8
2,Christian McCaffrey*,CAR,23,RB,15,15,132,109,933,56,-20,-0.2,953,8.7,12,9.1,6,4.5
3,DeAndre Hopkins*,HOU,27,WR,15,15,150,104,1165,68,768,7.4,397,3.8,9,11.6,4,2.7
4,Julian Edelman,NWE,33,WR,15,13,146,97,1091,53,763,7.9,328,3.4,4,24.3,12,8.2
5,Keenan Allen*,LAC,27,WR,15,15,139,95,1117,58,772,8.1,345,3.6,4,23.8,7,5
6,Travis Kelce*,KAN,30,TE,15,15,131,94,1205,64,811,8.6,394,4.2,5,18.8,7,5.3
7,Julio Jones*,ATL,30,WR,14,14,144,92,1316,72,969,10.5,347,3.8,6,15.3,4,2.8
8,Allen Robinson,CHI,26,WR,15,14,142,89,1076,57,808,9.1,268,3,5,17.8,7,4.9
9,Zach Ertz*,PHI,29,TE,15,15,135,88,916,50,651,7.4,265,3,5,17.6,5,3.7
10,Cooper Kupp,LAR,26,WR,15,13,124,87,1062,45,556,6.4,506,5.8,7,12.4,3,2.4
11,D.J. Moore,CAR,22,WR,15,15,135,87,1175,63,779,9,396,4.6,6,14.5,4,3
12,Chris Godwin*,TAM,23,WR,14,14,121,86,1333,63,759,8.8,574,6.7,8,10.8,1,0.8
13,Tyler Boyd,CIN,25,WR,15,14,141,85,987,47,547,6.4,440,5.2,3,28.3,4,2.8
14,Darren Waller,OAK,27,TE,15,15,107,84,1038,50,559,6.7,479,5.7,8,10.5,4,3.7
15,Austin Ekeler,LAC,24,RB,15,8,97,83,950,40,54,0.7,896,10.8,12,6.9,1,1
16,Robert Woods,LAR,27,WR,14,14,127,83,1067,51,518,6.2,549,6.6,3,27.7,4,3.1
17,Jarvis Landry*,CLE,27,WR,15,15,132,81,1092,53,667,8.2,425,5.2,4,20.3,5,3.8
18,Alvin Kamara,NOR,24,RB,13,9,94,79,515,27,-17,-0.2,532,6.7,10,7.9,4,4.3
19,George Kittle*,SFO,26,TE,13,13,100,78,967,48,416,5.3,551,7.1,7,11.1,2,2
20,Davante Adams,GNB,27,WR,11,11,114,76,904,49,532,7,372,4.9,3,25.3,7,6.1
21,Leonard Fournette,JAX,24,RB,15,15,100,76,522,23,-28,-0.4,550,7.2,8,9.5,6,6
22,Tyler Lockett,SEA,27,WR,15,15,103,76,1006,49,719,9.5,287,3.8,0,,2,1.9
23,Amari Cooper,DAL,25,WR,15,15,114,75,1097,51,833,11.1,264,3.5,3,25,5,4.4
24,John Brown,BUF,29,WR,15,15,115,72,1060,53,855,11.9,205,2.8,4,18,5,4.3
25,Odell Beckham,CLE,27,WR,15,15,127,71,954,41,622,8.8,332,4.7,2,35.5,7,5.5
26,Larry Fitzgerald,ARI,36,WR,15,15,102,71,759,39,437,6.2,322,4.5,0,,0,0
27,Tarik Cohen,CHI,24,RB,15,10,94,70,412,17,36,0.5,376,5.4,4,17.5,9,9.6
28,Jamison Crowder,NYJ,26,WR,15,11,112,70,767,37,436,6.2,331,4.7,3,23.3,8,7.1
29,DJ Chark,JAX,23,WR,14,13,113,69,974,41,643,9.3,331,4.8,5,13.8,3,2.7
30,James White,NWE,27,rb,14,1,92,69,612,29,116,1.7,496,7.2,3,23,2,2.2
31,Austin Hooper,ATL,25,TE,12,9,88,68,742,38,420,6.2,322,4.7,5,13.6,1,1.1
32,Courtland Sutton,DEN,24,WR,15,13,116,68,1060,47,720,10.6,340,5,11,6.2,4,3.4
33,Cole Beasley,BUF,30,WR,15,10,106,67,778,37,448,6.7,330,4.9,4,16.8,6,5.7
34,Mike Evans*,TAM,26,WR,13,13,118,67,1157,54,901,13.4,256,3.8,3,22.3,7,5.9
35,Mark Andrews*,BAL,23,te,15,4,98,64,852,44,561,8.8,291,4.5,3,21.3,7,7.1
36,DeVante Parker,MIA,26,WR,15,13,117,64,1065,52,834,13,231,3.6,2,32,6,5.1
