Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
1,Andy Dalton,CIN,32,QB,8,8,204,338,2252,103,1162,5.7,3.4,6.8,1090,5.3,16,4.7,60,17.8,124,28,15,6,7.2
2,Jared Goff,LAR,25,QB,8,8,192,314,2367,110,1220,6.4,3.9,8.2,1147,6,15,4.8,71,22.6,108,29,26,3,3.7
3,Tom Brady,NWE,42,QB,8,8,200,309,2251,104,1271,6.4,4.1,7.2,980,4.9,14,4.5,54,17.5,100,36,14,0,
4,Philip Rivers,LAC,38,QB,8,8,202,305,2315,118,1315,6.5,4.3,8.8,1000,5,14,4.6,44,14.4,67,26,26,4,6.8
5,Kyler Murray,ARI,22,QB,8,8,186,292,1988,94,1106,5.9,3.8,7.3,882,4.7,12,4.1,52,17.8,82,32,9,17,8.6
6,Matt Ryan,ATL,34,QB,7,7,202,285,2170,107,1355,6.7,4.8,8.5,815,4,9,3.2,37,13,88,32,23,9,6.9
7,Aaron Rodgers,GNB,36,QB,8,8,185,283,2324,101,1215,6.6,4.3,8.3,1109,6,7,2.5,48,17,78,35,25,13,8.4
8,Deshaun Watson,HOU,24,QB,8,8,190,274,2231,113,1238,6.5,4.5,9,993,5.2,17,6.2,39,14.2,83,24,21,21,8
9,Carson Wentz,PHI,27,QB,8,8,164,264,1821,87,1096,6.7,4.2,8.7,725,4.4,13,4.9,49,18.6,83,31,16,12,7.3
10,Jameis Winston,TAM,25,QB,7,7,153,263,2072,105,1348,8.8,5.1,10.6,724,4.7,14,5.3,51,19.4,94,40,26,16,5.7
11,Joe Flacco,DEN,34,QB,8,8,171,262,1822,86,912,5.3,3.5,6.7,910,5.3,15,5.7,43,16.4,76,41,14,5,4.2
12,Gardner Minshew,JAX,23,QB,8,7,161,260,1976,90,996,6.2,3.8,7.4,980,6.1,13,5,40,15.4,92,40,16,26,7.9
13,Matthew Stafford,DET,31,QB,7,7,161,250,2093,101,1340,8.3,5.4,10.5,753,4.7,10,4,47,18.8,80,17,16,8,6.3
14,Russell Wilson,SEA,31,QB,8,8,171,250,2127,97,1333,7.8,5.3,9.7,794,4.6,10,4,47,18.8,103,36,24,22,7.7
15,Patrick Mahomes,KAN,24,QB,7,7,157,241,2180,87,1079,6.9,4.5,9.9,1101,7,12,5,48,19.9,66,21,18,8,10.1
16,Dak Prescott,DAL,26,QB,7,7,168,238,2123,96,1336,8,5.6,9.5,787,4.7,18,7.6,24,10.1,57,15,23,9,7.2
17,Jacoby Brissett,IND,27,QB,7,7,149,231,1590,80,736,4.9,3.2,7.1,854,5.7,11,4.8,31,13.4,67,20,23,19,5.3
18,Baker Mayfield,CLE,24,QB,7,7,132,229,1690,72,876,6.6,3.8,8.3,814,6.2,16,7,39,17,74,36,5,5,10.4
19,Josh Allen,BUF,23,QB,7,7,134,223,1493,75,821,6.1,3.7,9,672,5,14,6.3,40,17.9,89,25,24,26,6.4
20,Derek Carr,OAK,28,QB,7,7,158,219,1695,82,810,5.1,3.7,6.8,885,5.6,11,5,23,10.5,50,17,4,5,6.2
21,Daniel Jones,NYG,22,QB,7,6,135,216,1466,68,759,5.6,3.5,8.3,707,5.2,10,4.6,34,15.7,72,28,32,14,8.7
22,Kirk Cousins,MIN,31,QB,8,8,155,215,1997,83,1006,6.5,4.7,8.2,991,6.4,10,4.7,24,11.2,64,30,12,7,5.7
23,Lamar Jackson,BAL,22,QB,7,7,136,215,1650,78,954,7,4.4,9.5,696,5.1,8,3.7,41,19.1,76,20,4,24,11.4
24,Teddy Bridgewater,NOR,27,QB,7,5,132,195,1370,66,639,4.8,3.3,6.2,731,5.5,17,8.7,22,11.3,46,22,9,12,3.3
25,Mitchell Trubisky,CHI,25,QB,6,6,126,195,1092,58,578,4.6,3,7,514,4.1,10,5.1,31,15.9,62,25,11,4,5.5
26,Jimmy Garoppolo,SFO,28,QB,7,7,132,189,1489,79,698,5.3,3.7,6.5,791,6,8,4.2,27,14.3,80,12,13,4,7
27,Case Keenum,WAS,31,QB,7,7,126,188,1343,68,716,5.7,3.8,6.9,627,5,9,4.8,30,16,49,31,19,2,7
28,Kyle Allen,CAR,23,QB,5,5,99,159,1059,59,517,5.2,3.3,8.2,542,5.5,9,5.7,28,17.6,58,13,7,2,2.5
29,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,49,597,6.4,3.8,7,582,6.2,11,6.9,32,20.1,57,24,10,13,6.7
30,Ryan Fitzpatrick,MIA,37,QB,6,4,83,139,907,45,624,7.5,4.5,10.2,283,3.4,8,5.8,31,22.3,48,23,20,9,7
31,Sam Darnold,NYJ,22,QB,4,4,83,135,817,40,401,4.8,3,8.3,416,5,5,3.7,29,21.5,55,19,9,1,3
32,Mason Rudolph,PIT,24,QB,5,4,83,130,897,39,390,4.7,3,8.2,507,6.1,4,3.1,28,21.5,53,13,10,5,4.4
33,Josh Rosen,MIA,22,qb,5,3,58,109,567,26,246,4.2,2.3,8,321,5.5,9,8.3,24,22,28,17,15,3,4.3
34,Drew Brees,NOR,40,qb,3,3,69,91,781,41,402,5.8,4.4,6.3,379,5.5,3,3.3,13,14.3,25,11,6,0,
35,Eli Manning,NYG,38,qb,2,2,56,89,556,29,323,5.8,3.6,7.2,233,4.2,2,2.2,17,19.1,26,9,5,1,6
36,Cam Newton,CAR,30,qb,2,2,50,89,572,29,350,7,3.9,8.7,222,4.4,3,3.4,26,29.2,43,12,5,1,3
37,Ryan Tannehill,TEN,31,qb,4,2,57,78,649,33,400,7,5.1,8.9,249,4.4,0,0,7,9,32,8,5,2,6
38,Luke Falk,NYJ,25,qb,3,2,47,73,416,15,152,3.2,2.1,5.4,264,5.6,4,5.5,11,15.1,33,12,9,0,
39,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,14,158,4.5,2.5,9.3,193,5.5,7,11.3,12,19.4,17,14,2,1,7
40,Chase Daniel,CHI,33,qb,2,1,44,60,426,22,291,6.6,4.9,6.8,135,3.1,4,6.7,8,13.3,12,6,5,1,2
41,Matt Schaub,ATL,38,qb,3,1,45,58,525,28,281,6.2,4.8,7.1,244,5.4,0,0,7,12.1,16,1,6,0,
42,Matt Moore,KAN,35,qb,3,1,34,56,384,20,151,4.4,2.7,6.1,233,6.9,3,5.4,10,17.9,14,5,7,1,3
43,Devlin Hodges,PIT,23,qb,2,1,22,29,200,11,57,2.6,2,4.8,143,6.5,1,3.4,6,20.7,9,2,0,2,11.5
44,Colt McCoy,WAS,33,qb,1,1,18,27,122,5,88,4.9,3.3,6.6,34,1.9,0,0,6,22.2,7,3,2,2,7
45,Dwayne Haskins,WAS,22,,2,0,12,22,140,6,38,3.2,1.7,7,102,8.5,1,4.5,2,9.1,4,1,2,2,11.5
46,Matt Barkley,BUF,29,,1,0,9,16,127,5,73,8.1,4.6,8.2,54,6,1,6.3,4,25,10,1,0,0,
47,Nick Foles,JAX,30,qb,1,1,5,8,75,3,50,10,6.3,8.6,25,5,0,0,2,25,1,1,1,0,
48,Robert Griffin,BAL,29,,1,0,6,6,55,5,38,6.3,6.3,6.3,17,2.8,0,0,0,0,4,0,0,0,
49,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,,-8,-2.7,-1.3,6.8,11,3.7,0,0,2,33.3,4,1,1,0,
50,Josh McCown,PHI,40,,3,0,3,5,24,2,9,3,1.8,4.4,15,5,1,20,0,0,0,0,0,0,
51,Jaylen Samuels,PIT,23,,5,0,4,5,35,2,-15,-3.8,-3,-2.2,50,12.5,0,0,1,20,3,0,1,0,
52,Jarrett Stidham,NWE,23,,3,0,2,4,14,1,9,4.5,2.3,5.3,5,2.5,0,0,2,50,2,0,0,0,
53,Mike Glennon,OAK,30,,1,0,2,3,36,2,28,14,9.3,16,8,4,0,0,1,33.3,0,0,0,0,
54,Odell Beckham,CLE,27,WR,7,7,1,2,20,1,15,15,7.5,32.5,5,5,0,0,0,0,0,0,0,0,
55,Julian Edelman,NWE,33,WR,8,7,1,1,32,1,-6,-6,-6,-6,38,38,0,0,0,0,0,0,0,0,
56,Jake Elliott,PHI,24,K,8,0,0,1,0,,0,,0,6,0,,0,0,0,0,0,0,0,0,
57,Garrett Gilbert,CLE,28,,1,0,0,1,0,,0,,0,4,0,,0,0,0,0,0,0,0,0,
