Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Kyler Murray,ARI,22,QB,1,1,0-0-1,29,54,53.7,308,2,3.7,1,1.9,45,5.7,5.6,10.6,308,75.2,,5,33,4.66,4.58,8.5,,
2,Andy Dalton,CIN,32,QB,1,1,0-1-0,35,51,68.6,418,2,3.9,0,0,55,8.2,9,11.9,418,106.5,,5,23,7.05,7.77,8.9,,
3,Ben Roethlisberger,PIT,37,QB,1,1,0-1-0,27,47,57.4,276,0,0,1,2.1,45,5.9,4.9,10.2,276,65.6,,1,0,5.75,4.81,2.1,,
4,Matt Ryan,ATL,34,QB,1,1,0-1-0,33,46,71.7,304,2,4.3,2,4.3,23,6.6,5.5,9.2,304,85.8,,4,32,5.44,4.44,8,,
5,Matthew Stafford,DET,31,QB,1,1,0-0-1,27,45,60,385,3,6.7,0,0,47,8.6,9.9,14.3,385,110,,3,24,7.52,8.77,6.3,,
6,Mitchell Trubisky,CHI,25,QB,1,1,0-1-0,26,45,57.8,228,0,0,1,2.2,27,5.1,4.1,8.8,228,62.1,,5,20,4.16,3.26,10,,
7,Case Keenum,WAS,31,QB,1,1,0-1-0,30,44,68.2,380,3,6.8,0,0,69,8.6,10,12.7,380,117.6,,1,10,8.22,9.56,2.2,,
8,Eli Manning,NYG,38,QB,1,1,0-1-0,30,44,68.2,306,1,2.3,0,0,43,7,7.4,10.2,306,95.5,,1,4,6.71,7.16,2.2,,
9,Drew Brees,NOR,40,QB,1,1,1-0-0,32,43,74.4,370,2,4.7,1,2.3,41,8.6,8.5,11.6,370,105.8,,1,8,8.23,8.11,2.3,,
10,Sam Darnold,NYJ,22,QB,1,1,0-1-0,28,41,68.3,175,1,2.4,0,0,19,4.3,4.8,6.3,175,84.9,,4,20,3.44,3.89,8.9,,
11,Jared Goff,LAR,25,QB,1,1,1-0-0,23,39,59,186,1,2.6,1,2.6,24,4.8,4.1,8.1,186,69,,1,3,4.58,3.95,2.5,,
12,Carson Wentz,PHI,27,QB,1,1,1-0-0,28,39,71.8,313,3,7.7,0,0,53,8,9.6,11.2,313,121,,1,0,7.83,9.33,2.5,,
13,Baker Mayfield,CLE,24,QB,1,1,0-1-0,25,38,65.8,285,1,2.6,3,7.9,35,7.5,4.5,11.4,285,64,,5,41,5.67,3,11.6,,
14,Cam Newton,CAR,30,QB,1,1,0-1-0,25,38,65.8,239,0,0,1,2.6,17,6.3,5.1,9.6,239,72.1,,3,23,5.27,4.17,7.3,,
15,Josh Allen,BUF,23,QB,1,1,1-0-0,24,37,64.9,254,1,2.7,2,5.4,38,6.9,5,10.6,254,71.2,,1,12,6.37,4.53,2.6,,
16,Tom Brady,NWE,42,QB,1,1,1-0-0,24,36,66.7,341,3,8.3,0,0,58,9.5,11.1,14.2,341,124.9,,1,7,9.03,10.65,2.7,,
17,Jameis Winston,TAM,25,QB,1,1,0-1-0,20,36,55.6,194,1,2.8,3,8.3,28,5.4,2.2,9.7,194,45.4,,3,20,4.46,1.51,7.7,,
18,Philip Rivers,LAC,38,QB,1,1,1-0-0,25,34,73.5,333,3,8.8,1,2.9,55,9.8,10.2,13.3,333,121.3,,4,23,8.16,8.55,10.5,,
19,Patrick Mahomes,KAN,24,QB,1,1,1-0-0,25,33,75.8,378,3,9.1,0,0,68,11.5,13.3,15.1,378,143.2,,0,0,11.45,13.27,0,,
20,Dak Prescott,DAL,26,QB,1,1,1-0-0,25,32,78.1,405,4,12.5,0,0,62,12.7,15.2,16.2,405,158.3,,0,0,12.66,15.16,0,,
21,Joe Flacco,DEN,34,QB,1,1,0-1-0,21,31,67.7,268,1,3.2,0,0,53,8.6,9.3,12.8,268,105.3,,3,19,7.32,7.91,8.8,,
22,Aaron Rodgers,GNB,36,QB,1,1,1-0-0,18,30,60,203,1,3.3,0,0,47,6.8,7.4,11.3,203,91.4,,5,37,4.74,5.31,14.3,,
23,Deshaun Watson,HOU,24,QB,1,1,0-1-0,20,30,66.7,268,3,10,1,3.3,54,8.9,9.4,13.4,268,114.3,,6,34,6.5,6.92,16.7,,
24,Ryan Fitzpatrick,MIA,37,QB,1,1,0-1-0,14,29,48.3,185,1,3.4,1,3.4,49,6.4,5.5,13.2,185,66,,2,5,5.81,5,6.5,,
25,Jacoby Brissett,IND,27,QB,1,1,0-1-0,21,27,77.8,190,2,7.4,0,0,25,7,8.5,9,190,120.7,,2,17,5.97,7.34,6.9,,
26,Jimmy Garoppolo,SFO,28,QB,1,1,1-0-0,18,27,66.7,166,1,3.7,1,3.7,39,6.1,5.2,9.2,166,80.2,,1,8,5.64,4.75,3.6,,
27,Derek Carr,OAK,28,QB,1,1,1-0-0,22,26,84.6,259,1,3.8,0,0,43,10,10.7,11.8,259,121,,0,0,9.96,10.73,0,,
28,Gardner Minshew,JAX,23,,1,0,,22,25,88,275,2,8,1,4,69,11,10.8,12.5,275,122.5,,1,3,10.46,10.27,3.8,,
29,Marcus Mariota,TEN,26,QB,1,1,1-0-0,14,24,58.3,248,3,12.5,0,0,75,10.3,12.8,17.7,248,133.3,,4,32,7.71,9.86,14.3,,
30,Lamar Jackson,BAL,22,QB,1,1,1-0-0,17,20,85,324,5,25,0,0,83,16.2,21.2,19.1,324,158.3,,1,1,15.38,20.14,4.8,,
31,Russell Wilson,SEA,31,QB,1,1,1-0-0,14,20,70,195,2,10,0,0,44,9.8,11.8,13.9,195,134.4,,4,35,6.67,8.33,16.7,,
32,Kirk Cousins,MIN,31,QB,1,1,1-0-0,8,10,80,98,1,10,0,0,31,9.8,11.8,12.3,98,140.8,,1,1,8.82,10.64,9.1,,
33,Nick Foles,JAX,30,QB,1,1,0-1-0,5,8,62.5,75,1,12.5,0,0,35,9.4,11.9,15,75,132.8,,0,0,9.38,11.88,0,,
34,Robert Griffin,BAL,29,,1,0,,6,6,100,55,1,16.7,0,0,12,9.2,12.5,9.2,55,144.4,,0,0,9.17,12.5,0,,
35,Daniel Jones,NYG,22,,1,0,,3,4,75,17,0,0,0,0,6,4.3,4.3,5.7,17,82.3,,0,0,4.25,4.25,0,,
36,Josh Rosen,MIA,22,,1,0,,1,3,33.3,5,0,0,1,33.3,5,1.7,-13.3,5,5,2.8,,1,6,-0.25,-11.5,25,,
37,Julian Edelman,NWE,33,WR,1,1,,1,1,100,32,0,0,0,0,32,32,32,32,32,118.7,,0,0,32,32,0,,
38,Matt Moore,KAN,35,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
