Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
1,Andy Dalton,CIN,32,QB,7,7,172,286,1923,88,953,5.5,3.3,6.5,970,5.6,15,5.2,51,17.8,106,25,15,5,7.8
2,Matt Ryan,ATL,34,QB,7,7,202,285,2170,107,1355,6.7,4.8,8.5,815,4,9,3.2,36,12.6,88,33,23,9,6.9
3,Jared Goff,LAR,25,QB,7,7,175,283,1995,97,1050,6,3.7,7.9,945,5.4,13,4.6,63,22.3,100,31,23,3,3.7
4,Philip Rivers,LAC,38,QB,7,7,183,276,2114,110,1168,6.4,4.2,8.7,946,5.2,11,4,42,15.2,63,26,21,4,6.8
5,Tom Brady,NWE,42,QB,7,7,180,273,1992,93,1122,6.2,4.1,7.2,870,4.8,11,4,47,17.2,87,29,14,0,
6,Kyler Murray,ARI,22,QB,7,7,167,259,1768,86,973,5.8,3.8,7.3,795,4.8,11,4.2,43,16.6,72,27,9,17,8.6
7,Aaron Rodgers,GNB,36,QB,7,7,162,250,2019,86,1096,6.8,4.4,8.4,923,5.7,7,2.8,42,16.8,61,36,18,10,7.7
8,Patrick Mahomes,KAN,24,QB,7,7,157,241,2180,87,1079,6.9,4.5,9.9,1101,7,12,5,48,19.9,66,21,18,8,10.1
9,Carson Wentz,PHI,27,QB,7,7,147,240,1649,78,1042,7.1,4.3,9.1,607,4.1,13,5.4,46,19.2,74,28,14,9,6.9
10,Dak Prescott,DAL,26,QB,7,7,168,238,2123,96,1336,8,5.6,9.5,787,4.7,18,7.6,24,10.1,57,15,23,9,7.2
11,Deshaun Watson,HOU,24,QB,7,7,163,235,1952,96,1062,6.5,4.5,9.3,890,5.5,13,5.5,36,15.3,77,23,20,19,7.9
12,Joe Flacco,DEN,34,QB,7,7,151,230,1648,78,841,5.6,3.7,6.9,807,5.3,11,4.8,39,17,66,38,13,4,3
13,Russell Wilson,SEA,31,QB,7,7,157,230,1945,88,1219,7.8,5.3,9.6,726,4.6,8,3.5,45,19.6,96,37,22,20,8.2
14,Gardner Minshew,JAX,23,QB,7,6,139,226,1697,77,867,6.2,3.8,7.6,830,6,10,4.4,36,15.9,76,37,13,22,7.9
15,Jameis Winston,TAM,25,QB,6,6,132,220,1771,88,1118,8.5,5.1,10.6,653,4.9,11,5,43,19.5,73,39,25,10,4
16,Matthew Stafford,DET,31,QB,6,6,136,218,1751,88,1094,8,5,10.3,657,4.8,9,4.1,42,19.3,73,14,14,8,6.3
17,Lamar Jackson,BAL,22,QB,7,7,136,215,1650,78,954,7,4.4,9.5,696,5.1,8,3.7,41,19.1,76,21,4,24,11.4
18,Jacoby Brissett,IND,27,QB,6,6,134,206,1388,71,624,4.7,3,6.9,764,5.7,11,5.3,27,13.1,57,17,20,14,4.9
19,Baker Mayfield,CLE,24,QB,6,6,112,198,1496,63,763,6.8,3.9,8.4,733,6.5,15,7.6,32,16.2,59,33,5,4,8.5
20,Teddy Bridgewater,NOR,27,QB,6,5,132,195,1370,66,639,4.8,3.3,6.2,731,5.5,17,8.7,22,11.3,46,22,9,12,3.3
21,Josh Allen,BUF,23,QB,6,6,118,189,1324,66,731,6.2,3.9,8.9,593,5,12,6.3,29,15.3,78,22,19,21,6.4
22,Derek Carr,OAK,28,QB,6,6,140,189,1410,72,708,5.1,3.7,6.5,702,5,9,4.8,20,10.6,46,14,4,5,6.2
23,Kirk Cousins,MIN,31,QB,7,7,132,189,1711,74,909,6.9,4.8,8.8,802,6.1,9,4.8,24,12.7,56,26,12,6,6.3
24,Daniel Jones,NYG,22,QB,6,5,107,175,1144,53,574,5.4,3.3,8.5,570,5.3,8,4.6,31,17.7,67,27,28,13,8.7
25,Case Keenum,WAS,31,QB,6,6,114,172,1213,59,628,5.5,3.7,6.9,585,5.1,9,5.2,29,16.9,41,29,18,2,7
26,Jimmy Garoppolo,SFO,28,QB,6,6,114,167,1314,67,618,5.4,3.7,6.7,696,6.1,8,4.8,25,15,73,10,12,4,7
27,Mitchell Trubisky,CHI,25,QB,5,5,103,160,839,49,413,4,2.6,6.7,426,4.1,10,6.3,26,16.3,59,24,10,2,5
28,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,49,597,6.4,3.8,7,582,6.2,11,6.9,32,20.1,57,24,10,13,6.7
29,Kyle Allen,CAR,23,QB,4,4,80,122,901,51,443,5.5,3.6,8,458,5.7,6,4.9,18,14.8,54,10,5,2,2.5
30,Josh Rosen,MIA,22,QB,5,3,58,109,567,26,246,4.2,2.3,8,321,5.5,9,8.3,24,22,28,17,15,3,4.3
31,Sam Darnold,NYJ,22,QB,3,3,62,105,599,29,288,4.6,2.7,8.4,311,5,4,3.8,25,23.8,42,15,5,1,3
32,Ryan Fitzpatrick,MIA,37,QB,5,3,62,105,717,34,495,8,4.7,10.6,222,3.6,5,4.8,23,21.9,34,17,14,6,7.5
33,Mason Rudolph,PIT,24,QB,4,3,63,94,646,27,239,3.8,2.5,6.6,407,6.5,3,3.2,21,22.3,31,11,5,5,4.4
34,Eli Manning,NYG,38,qb,2,2,56,89,556,29,323,5.8,3.6,7.2,233,4.2,2,2.2,17,19.1,26,9,5,1,6
35,Cam Newton,CAR,30,qb,2,2,50,89,572,29,350,7,3.9,8.7,222,4.4,3,3.4,26,29.2,43,13,5,1,3
36,Luke Falk,NYJ,25,qb,3,2,47,73,416,15,152,3.2,2.1,5.4,264,5.6,4,5.5,11,15.1,33,12,9,0,
37,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,14,158,4.5,2.5,9.3,193,5.5,7,11.3,12,19.4,17,14,2,1,7
38,Chase Daniel,CHI,33,qb,2,1,44,60,426,22,291,6.6,4.9,6.8,135,3.1,4,6.7,8,13.3,12,6,5,1,2
39,Drew Brees,NOR,40,qb,2,2,35,48,408,21,267,7.6,5.6,7.3,141,4,2,4.2,6,12.5,7,5,3,0,
40,Ryan Tannehill,TEN,31,qb,3,1,36,45,456,22,283,7.9,6.3,8,173,4.8,0,0,3,6.7,13,7,4,2,6
41,Devlin Hodges,PIT,23,qb,2,1,22,29,200,11,57,2.6,2,4.8,143,6.5,1,3.4,6,20.7,9,2,0,2,11.5
42,Colt McCoy,WAS,33,qb,1,1,18,27,122,5,88,4.9,3.3,6.6,34,1.9,0,0,6,22.2,7,3,2,2,7
43,Matt Moore,KAN,35,,2,0,10,20,117,4,51,5.1,2.6,7.2,66,6.6,1,5,5,25,7,2,2,0,
44,Dwayne Haskins,WAS,22,,1,0,9,17,107,5,35,3.9,2.1,7.8,72,8,1,5.9,1,5.9,2,0,2,2,11.5
45,Matt Barkley,BUF,29,,1,0,9,16,127,5,73,8.1,4.6,8.2,54,6,1,6.3,4,25,10,1,0,0,
46,Nick Foles,JAX,30,qb,1,1,5,8,75,3,50,10,6.3,8.6,25,5,0,0,2,25,1,1,1,0,
47,Robert Griffin,BAL,29,,1,0,6,6,55,5,38,6.3,6.3,6.3,17,2.8,0,0,0,0,4,0,0,0,
48,Matt Schaub,ATL,38,,2,0,6,6,65,4,57,9.5,9.5,9.5,8,1.3,0,0,0,0,0,0,1,0,
49,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,,-8,-2.7,-1.3,6.8,11,3.7,0,0,2,33.3,4,1,1,0,
50,Josh McCown,PHI,40,,3,0,3,5,24,2,9,3,1.8,4.4,15,5,1,20,0,0,0,0,0,0,
51,Jaylen Samuels,PIT,23,,5,0,4,5,35,2,-15,-3.8,-3,-2.2,50,12.5,0,0,1,20,3,0,1,0,
52,Jarrett Stidham,NWE,23,,3,0,2,4,14,1,9,4.5,2.3,5.3,5,2.5,0,0,2,50,2,0,0,0,
53,Mike Glennon,OAK,30,,1,0,2,3,36,2,28,14,9.3,16,8,4,0,0,1,33.3,0,0,0,0,
54,Odell Beckham,CLE,27,WR,6,6,1,2,20,1,15,15,7.5,32.5,5,5,0,0,0,0,0,0,0,0,
55,Julian Edelman,NWE,33,WR,7,6,1,1,32,1,-6,-6,-6,-6,38,38,0,0,0,0,0,0,0,0,
56,Jake Elliott,PHI,24,K,7,0,0,1,0,,0,,0,6,0,,0,0,0,0,0,0,0,0,
57,Garrett Gilbert,CLE,28,,1,0,0,1,0,,0,,0,4,0,,0,0,0,0,0,0,0,0,
58,Johnny Hekker,LAR,29,P,7,0,1,1,23,1,3,3,3,3,20,20,0,0,0,0,0,0,0,0,
59,Taysom Hill,NOR,29,qb,7,1,1,1,18,1,15,15,15,15,3,3,0,0,0,0,0,0,0,1,11
60,DeAndre Hopkins,HOU,27,WR,7,7,0,1,0,0,0,,0,9,0,,0,0,0,0,0,0,0,0,
61,Alvin Kamara,NOR,24,RB,6,6,1,1,13,1,11,11,11,11,2,2,0,0,0,0,1,0,0,0,
62,Brett Kern,TEN,33,P,7,0,1,1,11,1,3,3,3,3,8,8,0,0,0,0,0,0,0,0,
63,Christian McCaffrey,CAR,23,RB,6,6,0,1,0,0,0,,0,0,0,,0,0,0,0,1,1,0,0,
64,Zach Pascal,IND,25,WR,6,4,0,1,0,0,0,,0,21,0,,0,0,1,100,0,0,0,0,
65,Dante Pettis,SFO,24,WR,6,4,1,1,16,1,-4,-4,-4,-4,20,20,0,0,0,0,0,0,0,0,
66,Tyrod Taylor,LAC,30,,5,0,1,1,7,1,7,7,7,7,0,0,0,0,0,0,1,0,0,0,
