Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
177,Zay Jones,2TM,24,,13,7,40,22,181,9,106,4.8,75,3.4,0,,1,2.5
178,Keke Coutee,HOU,22,wr,8,4,33,21,247,10,112,5.3,135,6.4,3,7,1,3
179,KeeSean Johnson,ARI,23,wr,10,4,42,21,187,10,144,6.9,43,2,0,,3,7.1
180,Foster Moreau,OAK,22,TE,13,7,25,21,174,14,77,3.7,97,4.6,4,5.3,0,0
181,Jeremy Sprinkle,WAS,25,TE,14,11,31,21,209,11,128,6.1,81,3.9,0,,4,12.9
182,Delanie Walker,TEN,35,te,7,4,31,21,215,11,158,7.5,57,2.7,0,,2,6.5
183,Keelan Cole,JAX,26,wr,14,1,29,20,271,16,178,8.9,93,4.7,0,,0,0
184,Tevin Coleman,SFO,26,RB,12,9,28,20,173,9,-26,-1.3,199,10,0,,2,7.1
185,Josh Jacobs,OAK,21,RB,13,13,27,20,166,8,-17,-0.9,183,9.2,4,5,3,11.1
186,John Ross,CIN,25,wr,6,6,38,20,380,15,196,9.8,184,9.2,3,6.7,5,13.2
187,Matt Breida,SFO,24,rb,11,5,21,19,120,6,-4,-0.2,124,6.5,2,9.5,1,4.8
188,Jakeem Grant,MIA,27,wr,10,2,33,19,164,9,73,3.8,91,4.8,0,,1,3
189,Josh Reynolds,LAR,24,wr,14,2,39,19,294,14,186,9.8,108,5.7,5,3.8,3,7.7
190,Seth Roberts,BAL,28,,14,0,31,19,248,16,186,9.8,62,3.3,0,,0,0
191,Tajae Sharpe,TEN,25,wr,13,6,27,19,247,15,224,11.8,23,1.2,0,,0,0
192,Parris Campbell,IND,22,wr,7,3,24,18,127,6,31,1.7,96,5.3,3,6,1,4.2
193,Rhett Ellison,NYG,31,TE,10,7,28,18,167,4,84,4.7,83,4.6,2,9,2,7.1
194,Derrick Henry*,TEN,25,RB,14,14,24,18,206,4,-23,-1.3,229,12.7,2,9,3,12.5
195,Kyle Juszczyk*,SFO,28,fb/rb,10,10,21,18,167,9,51,2.8,116,6.4,1,18,1,4.8
196,Patrick Laird,MIA,24,rb,13,2,24,18,155,10,32,1.8,123,6.8,2,9,2,8.3
197,C.J. Uzomah,CIN,26,TE,14,14,30,18,180,8,68,3.8,112,6.2,1,18,2,6.7
198,Greg Ward,PHI,24,wr,5,1,28,18,140,10,79,4.4,61,3.4,1,18,0,0
199,Charles Clay,ARI,30,TE,14,9,23,17,221,11,126,7.4,95,5.6,2,8.5,0,0
200,DaeSean Hamilton,DEN,24,wr,14,2,40,17,167,9,82,4.8,85,5,1,17,4,10
201,Cody Latimer,NYG,27,WR,13,9,32,17,244,15,193,11.4,51,3,0,,0,0
202,Kaden Smith,NYG,22,te,7,4,23,17,135,5,74,4.4,61,3.6,1,17,1,4.3
203,Jaron Brown,SEA,29,wr,12,4,26,16,220,10,155,9.7,65,4.1,0,,1,3.8
204,Justin Hardy,ATL,28,wr,14,1,22,16,155,7,93,5.8,62,3.9,0,,2,9.1
205,Taysom Hill,NOR,29,qb,14,3,19,16,168,12,66,4.1,102,6.4,2,8,1,5.3
206,Chester Rogers,IND,25,wr,12,6,28,16,179,11,110,6.9,69,4.3,0,,2,7.1
207,Nick Vannett,2TM,26,,14,7,21,16,148,4,95,5.9,53,3.3,1,16,0,0
208,C.J. Ham,MIN,26,fb,14,6,21,15,137,6,16,1.1,121,8.1,2,7.5,1,4.8
209,Mark Walton,MIA,22,rb,7,4,21,15,89,3,-3,-0.2,92,6.1,1,15,1,4.8
210,Darrel Williams,KAN,24,,12,0,19,15,167,7,-12,-0.8,179,11.9,0,,0,0
211,Kalen Ballage,MIA,24,rb,12,6,24,14,63,4,-24,-1.7,87,6.2,0,,4,16.7
212,Peyton Barber,TAM,25,RB,14,7,20,14,90,3,9,0.6,81,5.8,2,7,1,5
213,Trey Burton,CHI,28,te,8,5,24,14,84,5,48,3.4,36,2.6,0,,2,8.3
214,Ross Dwelley,SFO,24,te,14,6,21,14,66,7,29,2.1,37,2.6,0,,0,0
215,Demetrius Harris,CLE,28,te,13,5,23,14,148,9,80,5.7,68,4.9,3,4.7,3,13
216,Marcus Johnson,IND,25,wr,6,4,25,14,244,10,206,14.7,38,2.7,0,,2,8
217,David Moore,SEA,24,wr,12,1,30,14,250,12,149,10.6,101,7.2,3,4.7,1,3.3
218,James O'Shaughnessy,JAX,27,te,5,5,20,14,153,7,69,4.9,84,6,2,7,0,0
219,Adrian Peterson,WAS,34,RB,13,13,17,14,123,7,-17,-1.2,140,10,6,2.3,1,5.9
220,Tony Pollard,DAL,22,,13,0,18,14,102,4,-24,-1.7,126,9,1,14,1,5.6
221,Boston Scott,PHI,24,rb,9,2,14,14,113,6,-30,-2.1,143,10.2,1,14,0,0
222,Malik Turner,SEA,23,wr,14,2,19,14,222,9,143,10.2,79,5.6,0,,1,5.3
223,Anthony Firkser,TEN,24,te,13,1,21,13,199,9,130,10,69,5.3,0,,1,4.8
224,Jesse James,DET,25,TE,14,9,23,13,125,7,70,5.4,55,4.2,0,,2,8.7
225,Marcedes Lewis,GNB,35,TE,14,10,17,13,142,7,73,5.6,69,5.3,0,,0,0
226,Scott Miller,TAM,22,wr,10,2,26,13,200,5,170,13.1,30,2.3,0,,0,0
227,Raheem Mostert,SFO,27,,14,0,19,13,164,6,30,2.3,134,10.3,1,13,1,5.3
228,Nick O'Leary,2TM,27,,11,5,18,13,109,4,70,5.4,39,3,0,,1,5.6
229,Ricky Seals-Jones,CLE,24,te,12,2,20,13,206,9,115,8.8,91,7,0,,1,5
230,Geoff Swaim,JAX,26,te,6,2,17,13,65,1,19,1.5,46,3.5,0,,1,5.9
231,Logan Thomas,DET,28,te,14,3,22,13,141,9,94,7.2,47,3.6,0,,0,0
232,Ben Watson,NWE,39,TE,8,7,20,13,154,8,75,5.8,79,6.1,2,6.5,2,10
233,Miles Boykin,BAL,23,WR,14,10,19,12,190,10,173,14.4,17,1.4,0,,1,5.3
234,Chase Edmonds,ARI,23,rb,11,2,21,12,105,5,-10,-0.8,115,9.6,2,6,5,23.8
235,Marquise Goodwin,SFO,29,wr,9,6,21,12,186,10,141,11.8,45,3.8,0,,2,9.5
236,Jeff Heuerman,DEN,27,TE,12,10,18,12,101,8,63,5.3,38,3.2,1,12,0,0
237,Matt LaCosse,NWE,27,te,9,6,18,12,123,5,78,6.5,45,3.8,0,,2,11.1
238,Marlon Mack,IND,23,RB,12,10,14,12,76,1,-3,-0.3,79,6.6,0,,0,0
239,Ty Montgomery,NYJ,26,rb,14,2,16,12,89,3,-5,-0.4,94,7.8,1,12,0,0
240,Byron Pringle,KAN,26,,14,0,16,12,170,7,107,8.9,63,5.3,2,6,2,12.5
241,Tre'Quan Smith,NOR,23,wr,9,5,18,12,165,11,97,8.1,68,5.7,3,4,0,0
242,Ian Thomas,CAR,23,te,14,3,22,12,108,7,50,4.2,58,4.8,0,,3,13.6
243,Maxx Williams,ARI,25,TE,14,9,15,12,143,9,65,5.4,78,6.5,3,4,1,6.7
244,Javon Wims,CHI,25,wr,14,4,23,12,137,5,116,9.7,21,1.8,0,,0,0
245,Tavon Austin,DAL,29,,12,0,20,11,171,8,89,8.1,82,7.5,0,,0,0
246,Christian Blake,ATL,23,wr,7,2,22,11,91,5,67,6.1,24,2.2,0,,0,0
247,Keelan Doss,OAK,23,wr,8,2,14,11,133,6,76,6.9,57,5.2,0,,1,7.1
248,Isaiah Ford,MIA,23,,6,0,20,11,122,9,76,6.9,46,4.2,1,11,1,5
249,Wayne Gallman,NYG,25,rb,10,2,15,11,102,4,-2,-0.2,104,9.5,2,5.5,0,0
250,Dontrell Hilliard,CLE,24,,13,0,14,11,88,4,-14,-1.3,102,9.3,0,,1,7.1
251,Jake Kumerow,GNB,27,wr,12,4,18,11,212,8,127,11.5,85,7.7,2,5.5,0,0
252,Sony Michel,NWE,24,RB,14,12,18,11,89,7,0,0,89,8.1,0,,3,16.7
253,Dante Pettis,SFO,24,wr,11,4,24,11,109,7,86,7.8,23,2.1,1,11,3,12.5
254,Ito Smith,ATL,24,,7,0,14,11,87,2,15,1.4,72,6.5,2,5.5,0,0
255,Vyncint Smith,NYJ,23,wr,11,2,23,11,157,7,64,5.8,93,8.5,2,5.5,2,8.7
256,Derek Carrier,OAK,29,te,14,4,16,10,92,4,47,4.7,45,4.5,0,,1,6.3
257,Vernon Davis,WAS,35,te,4,1,19,10,123,4,33,3.3,90,9,2,5,1,5.3
258,Frank Gore,BUF,36,RB,14,7,12,10,84,4,14,1.4,70,7,0,,1,8.3
259,Brian Hill,ATL,24,rb,10,2,14,10,69,4,15,1.5,54,5.4,2,5,1,7.1
260,Mack Hollins,2TM,26,,14,3,23,10,125,7,92,9.2,33,3.3,0,,1,4.3
261,Jordan Howard,PHI,25,rb,9,4,14,10,69,3,0,0,69,6.9,1,10,1,7.1
262,Dontrelle Inman,2TM,30,,5,1,16,10,157,8,122,12.2,35,3.5,0,,1,6.3
263,Alexander Mattison,MIN,21,,13,0,12,10,82,3,8,0.8,74,7.4,0,,0,0
264,Tim Patrick,DEN,26,wr,6,1,23,10,156,9,128,12.8,28,2.8,1,10,1,4.3
265,Cordarrelle Patterson*,CHI,28,wr,14,4,16,10,78,3,15,1.5,63,6.3,2,5,0,0
266,C.J. Prosise,SEA,25,,8,0,12,10,76,3,10,1,66,6.6,0,,0,0
267,Damion Ratley,CLE,24,wr,11,3,18,10,136,9,89,8.9,47,4.7,1,10,0,0
268,T.J. Yeldon,BUF,26,,5,0,11,10,100,5,18,1.8,82,8.2,1,10,0,0
269,Ryquell Armstead,JAX,23,,14,0,15,9,92,5,21,2.3,71,7.9,0,,0,0
270,Brandon Bolden,NWE,29,rb,13,2,11,9,111,6,52,5.8,59,6.6,1,9,1,9.1
271,Jaeden Graham,ATL,24,,14,0,10,9,149,7,76,8.4,73,8.1,1,9,0,0
272,Carlos Hyde,HOU,29,RB,14,12,15,9,32,1,-12,-1.3,44,4.9,2,4.5,1,6.7
273,Andy Isabella,ARI,23,wr,13,1,13,9,189,4,49,5.4,140,15.6,2,4.5,0,0
274,DeSean Jackson,PHI,33,wr,3,3,10,9,159,6,144,16,15,1.7,1,9,1,10
275,Justin Jackson,LAC,24,,6,0,11,9,22,0,-16,-1.8,38,4.2,1,9,0,0
276,Kerryon Johnson,DET,22,rb,6,6,14,9,126,7,17,1.9,109,12.1,2,4.5,2,14.3
277,Adam Shaheen,CHI,25,te,8,2,13,9,74,3,36,4,38,4.2,1,9,0,0
