,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Christian McCaffrey,CAR,23,RB,5,5,105,587,21,312,3,275,2.6,9,11.7
2,Marlon Mack,IND,23,RB,5,4,101,470,31,221,2.2,249,2.5,4,25.3
3,Derrick Henry,TEN,25,RB,5,5,98,388,24,80,0.8,308,3.1,8,12.3
4,Leonard Fournette,JAX,24,RB,5,5,95,512,23,114,1.2,398,4.2,8,11.9
5,Chris Carson,SEA,25,RB,5,5,94,380,25,130,1.4,250,2.7,11,8.5
6,Nick Chubb,CLE,24,RB,5,5,94,485,16,303,3.2,182,1.9,10,9.4
7,Dalvin Cook,MIN,24,RB,5,5,92,542,19,244,2.7,298,3.2,12,7.7
8,Josh Jacobs,OAK,21,RB,5,5,88,430,23,184,2.1,246,2.8,9,9.8
9,Ezekiel Elliott,DAL,24,RB,5,5,85,386,24,199,2.3,187,2.2,2,42.5
10,Aaron Jones,GNB,25,RB,5,5,78,302,21,192,2.5,110,1.4,7,11.1
11,Sony Michel,NWE,24,RB,5,4,78,262,17,177,2.3,85,1.1,3,26
12,Frank Gore,BUF,36,RB,5,4,75,333,17,121,1.6,212,2.8,6,12.5
13,Alvin Kamara,NOR,24,RB,5,5,75,342,18,152,2,190,2.5,20,3.8
14,Mark Ingram,BAL,30,RB,5,5,74,372,21,147,2,225,3,6,12.3
15,Kerryon Johnson,DET,22,RB,4,4,74,251,15,84,1.1,167,2.3,6,12.3
16,Carlos Hyde,HOU,29,RB,5,5,73,310,21,147,2,163,2.2,6,12.2
17,Le'Veon Bell,NYJ,27,RB,4,4,71,206,8,66,0.9,140,2,10,7.1
18,Phillip Lindsay,DEN,25,RB,5,5,69,327,15,196,2.8,131,1.9,12,5.8
19,David Montgomery,CHI,22,RB,5,3,69,225,10,133,1.9,92,1.3,8,8.6
20,Joe Mixon,CIN,23,RB,5,5,66,242,12,110,1.7,132,2,2,33
21,Todd Gurley,LAR,25,RB,5,5,64,270,16,117,1.8,153,2.4,6,10.7
22,David Johnson,ARI,28,RB,5,5,64,264,17,147,2.3,117,1.8,2,32
