Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Keenan Allen,LAC,27,WR,4,4,48,34,452,21,320,9.4,132,3.9,3,11.3,2,4.2
2,Michael Thomas,NOR,26,WR,4,4,42,34,361,17,257,7.6,104,3.1,2,17,1,2.4
3,Darren Waller,OAK,27,TE,4,4,37,33,320,16,137,4.2,183,5.5,2,16.5,1,2.7
4,Cooper Kupp,LAR,26,WR,4,4,46,32,388,17,201,6.3,187,5.8,4,8,0,0
5,Austin Hooper,ATL,25,TE,4,3,33,28,307,14,169,6,138,4.9,4,7,0,0
6,Tyler Boyd,CIN,25,WR,4,4,39,27,283,15,185,6.9,98,3.6,2,13.5,0,0
7,Evan Engram,NYG,25,TE,4,3,37,27,331,16,141,5.2,190,7,2,13.5,1,2.7
8,Chris Godwin,TAM,23,WR,4,4,34,26,386,23,238,9.2,148,5.7,2,13,0,0
9,Tyler Lockett,SEA,27,WR,4,4,32,26,328,15,237,9.1,91,3.5,0,,2,6.3
10,Robert Woods,LAR,27,WR,4,4,38,26,307,16,168,6.5,139,5.3,1,26,1,2.6
11,Davante Adams,GNB,27,WR,4,4,36,25,378,20,228,9.1,150,6,1,25,0,0
12,Christian McCaffrey,CAR,23,RB,4,4,31,25,218,13,20,0.8,198,7.9,3,8.3,0,0
13,Cole Beasley,BUF,30,WR,4,3,36,24,246,11,130,5.4,116,4.8,1,24,2,5.6
14,Austin Ekeler,LAC,24,RB,4,4,25,24,270,11,-12,-0.5,282,11.8,5,4.8,0,0
15,Zach Ertz,PHI,29,TE,4,4,38,24,255,13,183,7.6,72,3,0,,1,2.6
16,DeAndre Hopkins,HOU,27,WR,4,4,36,24,259,13,182,7.6,77,3.2,1,24,2,5.6
17,Travis Kelce,KAN,30,TE,4,4,33,24,369,18,258,10.8,111,4.6,0,,2,6.1
18,Christian Kirk,ARI,23,WR,4,4,37,24,242,13,120,5,122,5.1,1,24,2,5.4
19,Allen Robinson,CHI,26,WR,4,3,34,24,280,16,226,9.4,54,2.3,2,12,1,2.9
20,Mohamed Sanu,ATL,30,WR,4,3,31,24,239,12,146,6.1,93,3.9,1,24,1,3.2
21,Mark Andrews,BAL,23,,4,0,32,23,266,15,194,8.4,72,3.1,3,7.7,1,3.1
22,John Brown,BUF,29,WR,4,4,34,23,315,18,247,10.7,68,3,0,,1,2.9
23,Larry Fitzgerald,ARI,36,WR,4,4,36,23,300,12,192,8.3,108,4.7,0,,0,0
24,Julio Jones,ATL,30,WR,4,4,37,23,317,18,217,9.4,100,4.3,1,23,0,0
25,Emmanuel Sanders,DEN,32,WR,4,4,34,23,298,13,196,8.5,102,4.4,2,11.5,0,0
26,Sammy Watkins,KAN,26,WR,4,4,38,23,365,12,158,6.9,207,9,0,,1,2.6
27,Courtland Sutton,DEN,24,WR,4,3,31,22,309,18,207,9.4,102,4.6,1,22,0,0
28,Odell Beckham,CLE,27,WR,4,4,37,21,308,11,184,8.8,124,5.9,2,10.5,0,0
