,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
75,Benny Snell,PIT,21,,7,0,28,118,7,34,1.2,84,3,3,9.3
76,Dak Prescott,DAL,26,QB,9,9,27,175,13,137,5.1,38,1.4,3,9
77,Aaron Rodgers,GNB,36,QB,10,10,27,109,6,86,3.2,23,0.9,0,
78,Jordan Wilkins,IND,25,rb,9,1,27,165,3,56,2.1,109,4,1,27
79,Kirk Cousins,MIN,31,QB,10,10,25,49,6,43,1.7,6,0.2,0,
80,Jeff Wilson,SFO,24,,6,0,25,78,8,47,1.9,31,1.2,0,
81,Ryan Fitzpatrick,MIA,37,QB,8,6,24,74,7,40,1.7,34,1.4,2,12
82,Justice Hill,BAL,22,,9,0,24,96,4,55,2.3,41,1.7,0,
83,Marcus Mariota,TEN,26,QB,6,6,24,129,5,98,4.1,31,1.3,1,24
84,Darrel Williams,KAN,24,,10,0,24,93,7,56,2.3,37,1.5,1,24
85,Chris Thompson,WAS,29,,6,0,23,79,3,56,2.4,23,1,1,23
86,Teddy Bridgewater,NOR,27,QB,7,5,22,37,4,19,0.9,18,0.8,0,
87,Nyheim Hines,IND,23,rb,9,1,22,66,6,38,1.7,28,1.3,0,
88,Ito Smith,ATL,24,,7,0,22,106,10,68,3.1,38,1.7,2,11
89,Dion Lewis,TEN,29,,10,0,21,77,3,29,1.4,48,2.3,3,7
90,Ryquell Armstead,JAX,23,,9,0,20,59,2,5,0.3,54,2.7,2,10
91,Justin Jackson,LAC,24,,4,0,20,149,5,72,3.6,77,3.9,3,6.7
92,Matthew Stafford,DET,31,QB,8,8,20,66,5,54,2.7,12,0.6,1,20
93,Ryan Tannehill,TEN,31,qb,6,4,19,83,5,64,3.4,19,1,1,19
94,Tra Carson,2TM,27,,3,1,18,48,3,19,1.1,29,1.6,0,
95,Jared Goff,LAR,25,QB,9,9,18,16,3,12,0.7,4,0.2,0,
96,Jalen Richard,OAK,26,,9,0,18,69,5,45,2.5,24,1.3,0,
97,Trey Edmunds,PIT,25,,4,0,17,74,2,44,2.6,30,1.8,0,
98,Patrick Mahomes,KAN,24,QB,8,8,17,82,7,81,4.8,1,0.1,0,
99,Wendell Smallwood,WAS,25,,9,0,17,72,4,46,2.7,26,1.5,0,
100,Darren Sproles,PHI,36,rb,6,1,17,66,3,40,2.4,26,1.5,0,
101,C.J. Anderson,DET,28,,2,0,16,43,1,5,0.3,38,2.4,1,16
102,Bilal Powell,NYJ,31,,7,0,16,54,3,25,1.6,29,1.8,0,
103,Matt Ryan,ATL,34,QB,8,8,16,77,5,70,4.4,7,0.4,0,
104,Boston Scott,PHI,24,,4,0,16,68,4,40,2.5,28,1.8,0,
105,Tom Brady,NWE,42,QB,9,9,14,3,4,2,0.1,1,0.1,0,
106,Andy Dalton,CIN,32,QB,8,8,14,55,7,34,2.4,21,1.5,0,
107,Sam Darnold,NYJ,22,QB,6,6,14,25,3,25,1.8,0,0,0,
108,Baker Mayfield,CLE,24,QB,9,9,14,76,6,68,4.9,8,0.6,0,
109,Mitchell Trubisky,CHI,25,QB,8,8,14,54,4,43,3.1,11,0.8,1,14
110,Kyle Allen,CAR,23,QB,7,7,13,14,1,6,0.5,8,0.6,0,
111,Brandon Bolden,NWE,29,rb,8,1,13,47,3,36,2.8,11,0.8,0,
112,Derek Carr,OAK,28,QB,9,9,13,31,1,31,2.4,0,0,0,
113,Taysom Hill,NOR,29,qb,9,1,13,92,5,64,4.9,28,2.2,1,13
114,Dontrell Hilliard,CLE,24,,8,0,13,49,3,36,2.8,13,1,0,
115,Paul Perkins,DET,25,,4,0,13,29,3,13,1,16,1.2,1,13
116,C.J. Prosise,SEA,25,,6,0,13,41,3,17,1.3,24,1.8,1,13
117,Mason Rudolph,PIT,24,QB,7,6,13,23,3,12,0.9,11,0.8,1,13
118,Joe Flacco,DEN,34,QB,8,8,12,20,4,16,1.3,4,0.3,0,
119,Cordarrelle Patterson,CHI,28,wr,9,3,12,78,2,74,6.2,4,0.3,0,
120,Elijhaa Penny,NYG,26,rb,10,1,12,39,1,17,1.4,22,1.8,1,12
121,Robert Woods,LAR,27,WR,9,9,12,71,3,47,3.9,24,2,3,4
122,Reggie Bonnafon,CAR,23,,9,0,11,95,2,77,7,18,1.6,1,11
123,Mike Davis,CHI,26,rb,7,1,11,25,0,16,1.5,9,0.8,0,
124,Ty Montgomery,NYJ,26,wr,9,1,11,40,1,32,2.9,8,0.7,0,
125,Derrius Guice,WAS,22,rb,1,1,10,18,0,2,0.2,16,1.6,0,
126,Troymaine Pope,LAC,26,,8,0,10,20,0,11,1.1,9,0.9,0,
127,Philip Rivers,LAC,38,QB,10,10,10,24,2,24,2.4,0,0,0,
128,T.J. Yeldon,BUF,26,,5,0,10,45,2,13,1.3,32,3.2,0,
129,Ameer Abdullah,MIN,26,,10,0,7,36,1,28,4,8,1.1,0,
130,Tony Brooks-James,PIT,25,,2,0,7,11,,-7,-1,18,2.6,2,3.5
131,Case Keenum,WAS,31,QB,7,7,7,12,1,12,1.7,0,0,0,
132,Chase Daniel,CHI,33,qb,2,1,6,6,2,2,0.3,4,0.7,0,
133,Julian Edelman,NWE,33,WR,9,8,6,26,2,23,3.8,3,0.5,0,
134,Curtis Samuel,CAR,23,WR,9,8,6,46,3,35,5.8,11,1.8,1,6
135,Steven Sims,WAS,22,,9,0,6,82,1,27,4.5,55,9.2,2,3
136,Brandon Allen,DEN,27,qb,1,1,5,13,1,11,2.2,2,0.4,0,
137,Brandin Cooks,LAR,26,WR,8,8,5,51,3,46,9.2,5,1,0,
138,Jeff Driskel,DET,26,qb,1,1,5,37,3,18,3.6,19,3.8,1,5
139,Ryan Finley,CIN,25,qb,1,1,5,22,2,18,3.6,4,0.8,0,
140,Dwayne Haskins,WAS,22,qb,3,1,5,37,2,28,5.6,9,1.8,0,
141,Devlin Hodges,PIT,23,qb,2,1,5,28,1,27,5.4,1,0.2,0,
142,Alec Ingold,OAK,23,fb,9,3,5,11,5,6,1.2,5,1,0,
143,Cam Newton,CAR,30,qb,2,2,5,-2,0,-2,-0.4,0,0,0,
144,Dare Ogunbowale,TAM,25,,9,0,5,-2,2,-8,-1.6,6,1.2,1,5
145,Deebo Samuel,SFO,23,WR,8,5,5,37,1,32,6.4,5,1,0,
146,Darwin Thompson,KAN,23,,7,0,5,8,1,-3,-0.6,11,2.2,0,
147,Derek Watt,LAC,27,,10,0,5,6,4,4,0.8,2,0.4,0,
148,Alex Armah,CAR,25,fb,9,1,4,9,1,5,1.3,4,1,0,
149,Tavon Austin,DAL,29,,7,0,4,44,2,26,6.5,18,4.5,0,
150,Parris Campbell,IND,22,wr,6,2,4,34,1,24,6,10,2.5,1,4
151,Alex Erickson,CIN,27,wr,9,1,4,28,2,16,4,12,3,0,
152,Robert Griffin,BAL,29,,2,0,4,18,1,12,3,6,1.5,1,4
153,Damien Harris,NWE,22,,2,0,4,12,,8,2,4,1,0,
154,Tyreek Hill,KAN,25,WR,6,6,4,18,1,13,3.3,5,1.3,0,
155,Kareem Hunt,CLE,24,,1,0,4,30,1,8,2,22,5.5,0,
156,D'Ernest Johnson,CLE,23,,9,0,4,21,0,18,4.5,3,0.8,0,
157,Christian Kirk,ARI,23,WR,7,7,4,45,2,32,8,13,3.3,1,4
158,Zach Line,NOR,29,fb,9,2,4,11,2,6,1.5,5,1.3,0,
159,Tyler Lockett,SEA,27,WR,10,10,4,-5,0,-5,-1.3,0,0,0,
160,Isaiah McKenzie,BUF,24,wr,8,2,4,14,1,8,2,6,1.5,0,
161,Jordan Scarlett,CAR,23,,7,0,4,9,,4,1,5,1.3,0,
162,Sterling Shepard,NYG,26,wr,4,4,4,42,2,40,10,2,0.5,0,
163,Tyrod Taylor,LAC,30,,5,0,4,-1,0,-4,-1,3,0.8,0,
164,Dede Westbrook,JAX,26,WR,8,7,4,20,0,13,3.3,7,1.8,0,
165,Odell Beckham,CLE,27,WR,9,9,3,10,1,4,1.3,6,2,1,3
166,Mike Boone,MIN,24,,10,0,3,28,1,22,7.3,6,2,0,
167,Tim Boyle,GNB,25,,1,0,3,-3,,-3,-1,0,0,0,
168,Randall Cobb,DAL,29,wr,8,3,3,11,0,6,2,5,1.7,0,
169,Trevor Davis,2TM,26,,8,4,3,73,2,73,24.3,0,0,0,
170,Stefon Diggs,MIN,26,WR,10,10,3,30,2,28,9.3,2,0.7,0,
171,Patrick DiMarco,BUF,30,fb,9,2,3,7,0,1,0.3,6,2,0,
172,Phillip Dorsett,NWE,26,wr,8,3,3,21,1,18,6,3,1,0,
173,Evan Engram,NYG,25,TE,8,6,3,7,0,6,2,1,0.3,0,
174,Taylor Gabriel,CHI,28,WR,7,5,3,20,1,20,6.7,0,0,0,
175,Ted Ginn,NOR,34,WR,9,6,3,18,2,16,5.3,2,0.7,0,
176,Jakeem Grant,MIA,27,wr,8,1,3,-2,0,-2,-0.7,0,0,0,
177,Mecole Hardman,KAN,21,wr,10,4,3,8,1,7,2.3,1,0.3,0,
178,Brian Hoyer,IND,34,qb,2,1,3,6,0,1,0.3,5,1.7,0,
179,Andy Isabella,ARI,23,wr,9,1,3,16,0,12,4,4,1.3,0,
180,John Kelly,LAR,23,,3,0,3,9,,5,1.7,4,1.3,0,
181,George Kittle,SFO,26,TE,8,8,3,18,1,17,5.7,1,0.3,0,
182,Matt Moore,KAN,35,qb,4,2,3,1,0,0,0,1,0.3,0,
183,Nick Mullens,SFO,24,,1,0,3,-3,,-3,-1,0,0,0,
184,Josh Rosen,MIA,22,qb,6,3,3,13,0,13,4.3,0,0,0,
185,Anthony Sherman,KAN,31,,10,0,3,9,3,9,3,0,0,0,
186,Dwayne Washington,NOR,25,,9,0,3,38,1,2,0.7,36,12,2,1.5
187,Dexter Williams,GNB,22,,3,0,3,2,,2,0.7,0,0,0,
