Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Jared Goff,LAR,25,QB,5,5,3/2/00,140,222,63.1,1649,7,3.2,7,3.2,66,7.4,6.6,11.8,329.8,83,43.8,8,62,6.9,6.14,3.5,1,1
2,Matt Ryan,ATL,34,QB,5,5,1/4/00,156,222,70.3,1655,11,5,7,3.2,54,7.5,7,10.6,331,95.1,60.8,12,89,6.69,6.29,5.1,1,1
3,Andy Dalton,CIN,32,QB,5,5,0-5-0,129,204,63.2,1412,7,3.4,4,2,66,6.9,6.7,10.9,282.4,86.9,29.9,20,122,5.76,5.58,8.9,,
4,Kyler Murray,ARI,22,QB,5,5,1/3/01,126,201,62.7,1324,4,2,4,2,54,6.6,6.1,10.5,264.8,80.1,55.7,21,139,5.34,4.89,9.5,1,1
5,Patrick Mahomes,KAN,24,QB,5,5,4/1/00,128,195,65.6,1831,11,5.6,0,0,83,9.4,10.5,14.3,366.2,114.7,82.9,7,51,8.81,9.9,3.5,1,1
6,Philip Rivers,LAC,38,QB,5,5,2/3/00,133,194,68.6,1465,7,3.6,4,2.1,55,7.6,7.3,11,293,94.1,55.3,11,60,6.85,6.66,5.4,0,1
7,Tom Brady,NWE,42,QB,5,5,5-0-0,118,187,63.1,1409,10,5.3,2,1.1,58,7.5,8.1,11.9,281.8,99.4,61.6,7,52,6.99,7.56,3.6,,
8,Aaron Rodgers,GNB,36,QB,5,5,4/1/00,113,180,62.8,1307,6,3.3,1,0.6,58,7.3,7.7,11.6,261.4,93.4,55.4,10,86,6.43,6.82,5.3,,
9,Carson Wentz,PHI,27,QB,5,5,3/2/00,105,174,60.3,1152,10,5.7,2,1.1,53,6.6,7.3,11,230.4,94.3,71.3,8,39,6.12,6.72,4.4,0,1
10,Dak Prescott,DAL,26,QB,5,5,3/2/00,119,171,69.6,1606,11,6.4,6,3.5,62,9.4,9.1,13.5,321.2,106,84.8,6,46,8.81,8.53,3.4,,
11,Joe Flacco,DEN,34,QB,5,5,1/4/00,112,168,66.7,1258,6,3.6,4,2.4,70,7.5,7.1,11.2,251.6,90.8,59.2,14,104,6.34,6.01,7.7,,
12,Jacoby Brissett,IND,27,QB,5,5,3/2/00,108,167,64.7,1062,10,6,3,1.8,48,6.4,6.7,9.8,212.4,94.9,53.5,6,52,5.84,6.21,3.5,1,1
13,Jameis Winston,TAM,25,QB,5,5,2/3/00,102,166,61.4,1371,11,6.6,5,3,67,8.3,8.2,13.4,274.2,97.2,45.2,18,119,6.8,6.78,9.8,,
14,Gardner Minshew,JAX,23,QB,5,4,2/2/00,110,165,66.7,1279,9,5.5,1,0.6,69,7.8,8.6,11.6,255.8,105.6,,12,81,6.77,7.53,6.8,1,1
