Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
1,Tom Brady,NWE,42,QB,9,9,230,355,2536,121,1421,6.2,4,7.2,1115,4.8,15,4.2,60,16.9,122,37,14,0,
2,Andy Dalton,CIN,32,QB,8,8,204,338,2252,103,1162,5.7,3.4,6.8,1090,5.3,16,4.7,61,18,124,28,15,6,7.2
3,Philip Rivers,LAC,38,QB,9,9,223,333,2609,131,1457,6.5,4.4,8.7,1152,5.2,16,4.8,49,14.7,73,29,28,5,5.6
4,Aaron Rodgers,GNB,36,QB,9,9,208,318,2485,112,1283,6.2,4,8.3,1202,5.8,8,2.5,58,18.2,79,43,26,14,8.1
5,Kyler Murray,ARI,22,QB,9,9,203,316,2229,101,1149,5.7,3.6,7.1,1080,5.3,13,4.1,55,17.4,88,36,9,18,8.3
6,Jared Goff,LAR,25,QB,8,8,192,314,2367,110,1220,6.4,3.9,8.2,1147,6,15,4.8,71,22.6,108,29,26,3,3.7
7,Gardner Minshew,JAX,23,QB,9,8,188,307,2285,105,1162,6.2,3.8,7.5,1123,6,16,5.2,46,15,108,45,18,30,8
8,Jameis Winston,TAM,25,QB,8,8,182,307,2407,124,1586,8.7,5.2,10.5,821,4.5,15,4.9,61,19.9,114,41,27,17,5.6
9,Carson Wentz,PHI,27,QB,9,9,190,303,2060,103,1223,6.4,4,8.6,837,4.4,18,5.9,52,17.2,95,33,17,14,7.3
10,Deshaun Watson,HOU,24,QB,9,9,212,302,2432,124,1348,6.4,4.5,8.7,1084,5.1,18,6,42,13.9,91,26,27,26,7.2
11,Russell Wilson,SEA,31,QB,9,9,200,293,2505,120,1537,7.7,5.2,9.4,968,4.8,11,3.8,53,18.1,138,37,30,22,7.7
12,Matthew Stafford,DET,31,QB,8,8,187,291,2499,117,1609,8.6,5.5,10.6,890,4.8,10,3.4,58,19.9,87,23,17,10,5.6
13,Matt Ryan,ATL,34,QB,7,7,202,285,2170,107,1355,6.7,4.8,8.5,815,4,9,3.2,37,13,88,32,23,9,6.9
14,Dak Prescott,DAL,26,QB,8,8,190,273,2380,106,1460,7.7,5.3,9.6,920,4.8,19,7,30,11,68,19,28,10,7.6
15,Baker Mayfield,CLE,24,QB,8,8,159,271,1963,85,945,5.9,3.5,7.7,1018,6.4,19,7,44,16.2,85,39,7,7,10.6
16,Joe Flacco,DEN,34,QB,8,8,171,262,1822,86,912,5.3,3.5,6.7,910,5.3,15,5.7,43,16.4,76,41,14,5,4.2
17,Daniel Jones,NYG,22,QB,8,7,161,257,1676,79,840,5.2,3.3,7.9,836,5.2,12,4.7,43,16.7,82,32,39,18,8.1
18,Kirk Cousins,MIN,31,QB,9,9,174,253,2217,95,1103,6.3,4.4,8,1114,6.4,11,4.3,37,14.6,71,30,16,8,5.6
19,Derek Carr,OAK,28,QB,8,8,178,250,1984,96,990,5.6,4,7.1,994,5.6,13,5.2,26,10.4,53,23,5,5,6.2
20,Josh Allen,BUF,23,QB,8,8,148,243,1653,82,892,6,3.7,9.1,761,5.1,16,6.6,43,17.7,95,29,24,27,6.4
21,Patrick Mahomes,KAN,24,QB,7,7,157,241,2180,87,1079,6.9,4.5,9.9,1101,7,12,5,48,19.9,66,21,18,8,10.1
22,Lamar Jackson,BAL,22,QB,8,8,153,238,1813,89,1006,6.6,4.2,9.1,807,5.3,8,3.4,44,18.5,86,21,4,26,11
23,Jacoby Brissett,IND,27,QB,8,8,153,236,1649,82,766,5,3.2,7,883,5.8,11,4.7,32,13.6,67,22,23,20,5.4
24,Jimmy Garoppolo,SFO,28,QB,8,8,160,226,1806,94,877,5.5,3.9,6.6,929,5.8,9,4,31,13.7,96,15,16,5,6.4
25,Mitchell Trubisky,CHI,25,QB,7,7,136,216,1217,61,652,4.8,3,7.4,565,4.2,14,6.5,37,17.1,68,27,12,5,5.8
26,Teddy Bridgewater,NOR,27,QB,7,5,132,195,1370,66,639,4.8,3.3,6.2,731,5.5,17,8.7,22,11.3,46,22,9,12,3.3
27,Kyle Allen,CAR,23,QB,6,6,116,191,1291,72,688,5.9,3.6,8.9,603,5.2,11,5.8,33,17.3,67,19,10,2,2.5
28,Case Keenum,WAS,31,QB,7,7,126,188,1343,68,716,5.7,3.8,6.9,627,5,9,4.8,30,16,49,31,19,2,7
29,Ryan Fitzpatrick,MIA,37,QB,7,5,107,175,1195,61,811,7.6,4.6,10.1,384,3.6,11,6.3,35,20,63,26,21,11,6.6
30,Sam Darnold,NYJ,22,QB,5,5,110,174,1077,53,541,4.9,3.1,7.9,536,4.9,7,4,34,19.5,66,22,14,1,3
31,Mason Rudolph,PIT,24,QB,6,5,109,165,1088,50,469,4.3,2.8,7.6,619,5.7,5,3,33,20,59,21,12,6,4.8
32,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,49,597,6.4,3.8,7,582,6.2,11,6.9,32,20.1,57,24,10,13,6.7
33,Ryan Tannehill,TEN,31,qb,5,3,84,117,980,50,555,6.6,4.7,8.5,425,5.1,2,1.7,13,11.1,40,11,7,5,9.8
34,Josh Rosen,MIA,22,qb,5,3,58,109,567,26,246,4.2,2.3,8,321,5.5,9,8.3,24,22,28,17,15,3,4.3
35,Drew Brees,NOR,40,qb,3,3,69,91,781,41,402,5.8,4.4,6.3,379,5.5,3,3.3,13,14.3,25,11,6,0,
36,Matt Moore,KAN,35,qb,4,2,59,91,659,35,377,6.4,4.1,7,282,4.8,3,3.3,15,16.5,21,6,11,1,3
37,Eli Manning,NYG,38,qb,2,2,56,89,556,29,323,5.8,3.6,7.2,233,4.2,2,2.2,17,19.1,26,9,5,1,6
38,Cam Newton,CAR,30,qb,2,2,50,89,572,29,350,7,3.9,8.7,222,4.4,3,3.4,26,29.2,43,12,5,1,3
39,Luke Falk,NYJ,25,qb,3,2,47,73,416,15,152,3.2,2.1,5.4,264,5.6,4,5.5,11,15.1,33,12,9,0,
40,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,14,158,4.5,2.5,9.3,193,5.5,7,11.3,12,19.4,17,14,2,1,7
41,Chase Daniel,CHI,33,qb,2,1,44,60,426,22,291,6.6,4.9,6.8,135,3.1,4,6.7,8,13.3,12,6,5,1,2
42,Matt Schaub,ATL,38,qb,3,1,45,58,525,28,281,6.2,4.8,7.1,244,5.4,0,0,7,12.1,16,1,6,0,
43,Dwayne Haskins,WAS,22,qb,3,1,27,44,284,13,104,3.9,2.4,6.8,180,6.7,1,2.3,5,11.4,11,5,2,5,7.4
44,Devlin Hodges,PIT,23,qb,2,1,22,29,200,11,57,2.6,2,4.8,143,6.5,1,3.4,6,20.7,9,2,0,2,11.5
45,Colt McCoy,WAS,33,qb,1,1,18,27,122,5,88,4.9,3.3,6.6,34,1.9,0,0,6,22.2,7,3,2,2,7
46,Brian Hoyer,IND,34,,1,0,17,26,168,10,106,6.2,4.1,6.1,62,3.6,2,7.7,2,7.7,15,4,3,1,6
47,Brandon Allen,DEN,27,qb,1,1,12,20,193,6,87,7.3,4.4,9.1,106,8.8,1,5,3,15,8,2,2,2,8
48,Matt Barkley,BUF,29,,1,0,9,16,127,5,73,8.1,4.6,8.2,54,6,1,6.3,4,25,10,1,0,0,
49,Nick Foles,JAX,30,qb,1,1,5,8,75,3,50,10,6.3,9.9,25,5,0,0,2,25,1,1,1,0,
50,Robert Griffin,BAL,29,,1,0,6,6,55,5,38,6.3,6.3,6.3,17,2.8,0,0,0,0,4,0,0,0,
51,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,,-8,-2.7,-1.3,6.8,11,3.7,0,0,2,33.3,4,1,1,0,
52,Josh McCown,PHI,40,,3,0,3,5,24,2,9,3,1.8,4.4,15,5,1,20,0,0,0,0,0,0,
53,Jaylen Samuels,PIT,23,rb,6,1,4,5,35,2,-15,-3.8,-3,-2.2,50,12.5,0,0,1,20,3,0,1,0,
54,Jarrett Stidham,NWE,23,,3,0,2,4,14,1,9,4.5,2.3,5.3,5,2.5,0,0,2,50,2,0,0,0,
55,Mike Glennon,OAK,30,,1,0,2,3,36,2,28,14,9.3,16,8,4,0,0,1,33.3,0,0,0,0,
56,Odell Beckham,CLE,27,WR,8,8,1,2,20,1,15,15,7.5,32.5,5,5,0,0,0,0,0,0,0,0,
57,Julian Edelman,NWE,33,WR,9,8,1,1,32,1,-6,-6,-6,-6,38,38,0,0,0,0,0,0,0,0,
58,Jake Elliott,PHI,24,K,9,0,0,1,0,,0,,0,6,0,,0,0,0,0,0,0,0,0,
59,Garrett Gilbert,CLE,28,,1,0,0,1,0,,0,,0,4,0,,0,0,0,0,0,0,0,0,
60,Johnny Hekker,LAR,29,P,8,0,1,1,23,1,3,3,3,3,20,20,0,0,0,0,0,0,0,0,
61,Taysom Hill,NOR,29,qb,8,1,1,1,18,1,15,15,15,15,3,3,0,0,0,0,0,0,0,1,11
62,DeAndre Hopkins,HOU,27,WR,9,9,0,1,0,0,0,,0,9,0,,0,0,0,0,0,0,0,0,
63,Brett Hundley,ARI,26,,1,0,0,1,0,,0,,0,44,0,,0,0,1,100,1,0,0,0,
64,Alvin Kamara,NOR,24,RB,6,6,1,1,13,1,11,11,11,11,2,2,0,0,0,0,1,0,0,0,
65,Brett Kern,TEN,33,P,9,0,1,1,11,1,3,3,3,3,8,8,0,0,0,0,0,0,0,0,
66,Christian McCaffrey,CAR,23,RB,8,8,0,1,0,0,0,,0,0,0,,0,0,0,0,1,1,0,0,
67,Zach Pascal,IND,25,WR,8,6,0,1,0,0,0,,0,21,0,,0,0,1,100,0,0,0,0,
68,Dante Pettis,SFO,24,WR,8,4,1,1,16,1,-4,-4,-4,-4,20,20,0,0,0,0,0,0,0,0,
