,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Nick Chubb,CLE,24,RB,11,11,222,1117,43,485,2.2,632,2.8,25,8.9
2,Christian McCaffrey,CAR,23,RB,11,11,221,1123,41,693,3.1,430,1.9,14,15.8
3,Ezekiel Elliott,DAL,24,RB,11,11,215,919,51,519,2.4,400,1.9,7,30.7
4,Dalvin Cook,MIN,24,RB,11,11,214,1017,54,468,2.2,549,2.6,18,11.9
5,Chris Carson,SEA,25,RB,11,11,208,879,51,278,1.3,601,2.9,23,9
6,Leonard Fournette,JAX,24,RB,11,11,206,951,45,297,1.4,654,3.2,12,17.2
7,Derrick Henry,TEN,25,RB,11,11,206,991,46,288,1.4,703,3.4,17,12.1
8,Josh Jacobs,OAK,21,RB,11,11,201,957,44,392,2,565,2.8,21,9.6
9,Marlon Mack,IND,23,RB,10,8,192,862,52,465,2.4,397,2.1,11,17.5
10,Carlos Hyde,HOU,29,RB,11,10,174,836,41,419,2.4,417,2.4,19,9.2
11,Sony Michel,NWE,24,RB,11,9,174,600,39,367,2.1,233,1.3,7,24.9
12,Le'Veon Bell,NYJ,27,RB,11,11,173,557,24,205,1.2,352,2,12,14.4
13,Joe Mixon,CIN,23,RB,11,10,164,599,29,280,1.7,319,1.9,8,20.5
14,David Montgomery,CHI,22,RB,11,7,156,519,28,314,2,205,1.3,16,9.8
15,Mark Ingram,BAL,30,RB,11,11,151,778,43,360,2.4,418,2.8,12,12.6
16,Aaron Jones,GNB,25,RB,11,11,148,627,35,383,2.6,244,1.6,20,7.4
17,Phillip Lindsay,DEN,25,RB,11,11,147,708,28,424,2.9,284,1.9,18,8.2
18,Frank Gore,BUF,36,RB,11,7,137,541,28,238,1.7,303,2.2,7,19.6
19,Todd Gurley,LAR,25,RB,10,10,135,547,33,321,2.4,226,1.7,10,13.5
20,Adrian Peterson,WAS,34,RB,10,10,134,543,23,203,1.5,340,2.5,4,33.5
21,Lamar Jackson,BAL,22,QB,11,11,124,876,46,569,4.6,307,2.5,1,124
22,Jordan Howard,PHI,25,rb,9,4,119,525,28,242,2,283,2.4,4,29.8
23,Ronald Jones,TAM,22,rb,11,4,119,474,24,202,1.7,272,2.3,21,5.7
24,Saquon Barkley,NYG,22,RB,8,8,118,461,21,250,2.1,211,1.8,8,14.8
25,Tevin Coleman,SFO,26,RB,9,6,115,448,23,267,2.3,181,1.6,5,23
26,Alvin Kamara,NOR,24,RB,9,6,114,526,20,242,2.1,284,2.5,23,5
27,Matt Breida,SFO,24,rb,9,5,109,542,20,345,3.2,197,1.8,5,21.8
28,Devonta Freeman,ATL,27,RB,9,9,107,371,21,170,1.6,201,1.9,4,26.8
29,Peyton Barber,TAM,25,RB,11,7,105,352,17,140,1.3,212,2,8,13.1
30,Royce Freeman,DEN,23,,11,0,103,425,18,200,1.9,225,2.2,6,17.2
31,James Conner,PIT,24,RB,8,8,102,390,21,165,1.6,225,2.2,5,20.4
32,Latavius Murray,NOR,29,RB,11,6,102,462,28,293,2.9,169,1.7,9,11.3
33,Melvin Gordon,LAC,26,RB,7,7,100,369,22,187,1.9,182,1.8,6,16.7
34,Miles Sanders,PHI,22,RB,11,6,99,437,14,241,2.4,196,2,8,12.4
35,Austin Ekeler,LAC,24,RB,11,6,95,364,23,140,1.5,224,2.4,9,10.6
36,Kerryon Johnson,DET,22,RB,6,6,92,308,16,122,1.3,186,2,6,15.3
37,Kenyan Drake,2TM,25,,9,5,88,386,22,190,2.2,196,2.2,7,12.6
38,Gus Edwards,BAL,24,,11,0,85,445,30,235,2.8,210,2.5,3,28.3
39,Devin Singletary,BUF,22,rb,8,4,84,490,21,275,3.3,215,2.6,10,8.4
40,Josh Allen,BUF,23,QB,11,11,83,387,31,159,1.9,228,2.7,4,20.8
41,Damien Williams,KAN,27,rb,9,5,83,309,13,92,1.1,217,2.6,5,16.6
42,David Johnson,ARI,28,RB,9,8,82,302,19,152,1.9,150,1.8,3,27.3
43,Alexander Mattison,MIN,21,,11,0,82,394,16,230,2.8,164,2,10,8.2
44,LeSean McCoy,KAN,31,RB,10,6,79,400,19,227,2.9,173,2.2,5,15.8
45,Jamaal Williams,GNB,24,rb,10,2,76,336,17,212,2.8,124,1.6,3,25.3
46,Raheem Mostert,SFO,27,,11,0,73,393,14,226,3.1,167,2.3,7,10.4
47,Kalen Ballage,MIA,24,rb,11,5,71,135,10,49,0.7,86,1.2,1,71
48,Kyler Murray,ARI,22,QB,11,11,67,418,22,341,5.1,77,1.1,3,22.3
49,Duke Johnson,HOU,26,rb,11,1,65,349,15,147,2.3,202,3.1,8,8.1
50,Chase Edmonds,ARI,23,rb,8,2,58,295,11,173,3,122,2.1,4,14.5
51,Deshaun Watson,HOU,24,QB,11,11,58,301,19,250,4.3,51,0.9,3,19.3
52,Tony Pollard,DAL,22,,11,0,55,257,14,105,1.9,152,2.8,4,13.8
53,Mark Walton,MIA,22,rb,7,4,53,201,11,88,1.7,113,2.1,1,53
54,Russell Wilson,SEA,31,QB,11,11,53,271,15,227,4.3,44,0.8,1,53
55,Brian Hill,ATL,24,rb,7,2,52,145,7,40,0.8,105,2,2,26
56,Ty Johnson,DET,22,rb,11,1,50,170,7,72,1.4,98,2,3,16.7
57,Rashaad Penny,SEA,23,,8,0,50,296,9,121,2.4,175,3.5,5,10
58,Benny Snell,PIT,21,rb,8,1,49,216,11,68,1.4,148,3,3,16.3
59,Malcolm Brown,LAR,26,rb,9,1,48,179,12,51,1.1,128,2.7,9,5.3
60,Jaylen Samuels,PIT,23,rb,9,2,47,121,6,38,0.8,83,1.8,1,47
61,DeAndre Washington,OAK,26,,11,0,46,151,9,70,1.5,81,1.8,3,15.3
62,Carson Wentz,PHI,27,QB,11,11,45,188,16,132,2.9,56,1.2,2,22.5
63,Tarik Cohen,CHI,24,RB,11,7,44,141,10,95,2.2,46,1,3,14.7
64,Jacoby Brissett,IND,27,QB,10,10,43,142,12,113,2.6,29,0.7,1,43
65,Gardner Minshew,JAX,23,QB,9,8,42,235,12,168,4,67,1.6,2,21
66,Jonathan Williams,IND,25,rb,4,1,41,221,11,97,2.4,124,3,6,6.8
67,Jameis Winston,TAM,25,QB,11,11,41,200,12,161,3.9,39,1,2,20.5
68,James White,NWE,27,rb,10,1,39,129,7,86,2.2,43,1.1,3,13
69,Giovani Bernard,CIN,28,rb,11,2,38,117,7,47,1.2,70,1.8,6,6.3
70,Rex Burkhead,NWE,29,rb,8,1,38,151,8,80,2.1,71,1.9,3,12.7
71,Justice Hill,BAL,22,,11,0,37,141,6,81,2.2,60,1.6,0,
72,Darrel Williams,KAN,24,,11,0,35,128,10,74,2.1,54,1.5,1,35
73,Nyheim Hines,IND,23,rb,11,1,34,128,10,82,2.4,46,1.4,0,
74,Daniel Jones,NYG,22,QB,10,9,34,235,16,200,5.9,35,1,2,17
75,J.D. McKissic,DET,26,rb,11,3,34,192,7,104,3.1,88,2.6,3,11.3
76,Dak Prescott,DAL,26,QB,11,11,34,197,14,154,4.5,43,1.3,3,11.3
77,Jimmy Garoppolo,SFO,28,QB,11,11,33,41,8,24,0.7,17,0.5,1,33
78,Darrell Henderson,LAR,22,,9,0,33,123,9,64,1.9,59,1.8,7,4.7
79,Bo Scarbrough,DET,23,rb,2,2,32,153,7,69,2.2,84,2.6,3,10.7
80,Ryan Fitzpatrick,MIA,37,QB,10,8,30,119,10,83,2.8,36,1.2,2,15
81,Jon Hilliman,NYG,24,rb,3,1,30,91,6,42,1.4,49,1.6,0,
82,Aaron Rodgers,GNB,36,QB,11,11,30,122,6,99,3.3,23,0.8,0,
83,Wayne Gallman,NYG,25,rb,10,2,29,110,6,72,2.5,38,1.3,0,
84,Bilal Powell,NYJ,31,,9,0,28,111,6,38,1.4,73,2.6,0,
85,Kirk Cousins,MIN,31,QB,11,11,27,50,7,43,1.6,7,0.3,0,
86,Derrius Guice,WAS,22,rb,3,1,27,74,2,20,0.7,54,2,1,27
87,Jordan Wilkins,IND,25,rb,10,1,27,165,3,56,2.1,109,4,1,27
88,Jeff Wilson,SFO,24,,8,0,27,105,9,66,2.4,39,1.4,0,
89,Dion Lewis,TEN,29,,11,0,26,98,3,39,1.5,59,2.3,4,6.5
90,Ryan Tannehill,TEN,31,qb,7,5,26,123,8,101,3.9,22,0.8,1,26
91,Marcus Mariota,TEN,26,QB,6,6,24,129,5,98,4.1,31,1.3,1,24
92,Boston Scott,PHI,24,rb,6,1,23,94,5,45,2,49,2.1,1,23
93,Chris Thompson,WAS,29,,6,0,23,79,3,56,2.4,23,1,1,23
94,Teddy Bridgewater,NOR,27,qb,7,5,22,37,4,19,0.9,18,0.8,0,
95,Jeff Driskel,DET,26,qb,3,3,22,151,10,125,5.7,26,1.2,1,22
96,Trey Edmunds,PIT,25,,6,0,22,92,2,53,2.4,39,1.8,0,
97,Jared Goff,LAR,25,QB,11,11,22,18,3,14,0.6,4,0.2,0,
98,Patrick Mahomes,KAN,24,QB,9,9,22,141,10,121,5.5,20,0.9,0,
99,Jalen Richard,OAK,26,,11,0,22,73,5,45,2,28,1.3,0,
100,Ito Smith,ATL,24,,7,0,22,106,10,68,3.1,38,1.7,2,11
101,Mitchell Trubisky,CHI,25,QB,10,10,22,76,6,50,2.3,26,1.2,2,11
102,Ryquell Armstead,JAX,23,,11,0,21,65,2,7,0.3,58,2.8,2,10.5
103,Sam Darnold,NYJ,22,QB,8,8,20,38,4,37,1.9,1,0.1,0,
104,Justin Jackson,LAC,24,,4,0,20,149,5,72,3.6,77,3.9,3,6.7
105,Matthew Stafford,DET,31,QB,8,8,20,66,5,54,2.7,12,0.6,1,20
106,Derek Carr,OAK,28,QB,11,11,19,43,3,42,2.2,1,0.1,0,
107,Mason Rudolph,PIT,24,QB,9,8,19,42,6,26,1.4,16,0.8,1,19
108,Matt Ryan,ATL,34,QB,10,10,19,85,7,77,4.1,8,0.4,0,
109,Tra Carson,2TM,27,,3,1,18,48,3,19,1.1,29,1.6,0,
110,Kareem Hunt,CLE,24,,3,0,18,79,5,27,1.5,52,2.9,0,
111,Ty Montgomery,NYJ,26,wr,11,1,18,53,1,31,1.7,22,1.2,0,
112,Tom Brady,NWE,42,QB,11,11,17,-1,4,-2,-0.1,1,0.1,0,
113,Baker Mayfield,CLE,24,QB,11,11,17,82,8,69,4.1,13,0.8,0,
114,Wendell Smallwood,WAS,25,,11,0,17,72,4,46,2.7,26,1.5,0,
115,Darren Sproles,PHI,36,rb,6,1,17,66,3,40,2.4,26,1.5,0,
116,C.J. Anderson,DET,28,,2,0,16,43,1,5,0.3,38,2.4,1,16
117,Kyle Allen,CAR,23,QB,9,9,15,30,2,22,1.5,8,0.5,0,
118,Brandon Bolden,NWE,29,rb,10,2,14,58,4,39,2.8,19,1.4,2,7
119,Andy Dalton,CIN,32,QB,8,8,14,55,7,34,2.4,21,1.5,0,
120,Taysom Hill,NOR,29,qb,11,1,14,94,6,65,4.6,29,2.1,1,14
121,Dontrell Hilliard,CLE,24,,10,0,13,49,3,36,2.8,13,1,0,
122,C.J. Prosise,SEA,25,,6,0,13,41,3,17,1.3,24,1.8,1,13
123,Joe Flacco,DEN,34,QB,8,8,12,20,4,16,1.3,4,0.3,0,
124,Dwayne Haskins,WAS,22,qb,5,3,12,70,5,41,3.4,29,2.4,0,
125,Qadree Ollison,ATL,23,,3,0,12,31,3,15,1.3,16,1.3,0,
126,Cordarrelle Patterson,CHI,28,wr,11,3,12,78,2,74,6.2,4,0.3,0,
127,Elijhaa Penny,NYG,26,rb,11,1,12,39,1,17,1.4,22,1.8,1,12
128,Paul Perkins,DET,25,,4,0,12,29,3,13,1.1,16,1.3,1,12
129,Robert Woods,LAR,27,WR,10,10,12,71,3,47,3.9,24,2,3,4
130,Reggie Bonnafon,CAR,23,,11,0,11,95,2,77,7,18,1.6,1,11
131,Mike Davis,CHI,26,rb,7,1,11,25,0,16,1.5,9,0.8,0,
132,Brandon Allen,DEN,27,qb,3,3,10,39,4,26,2.6,13,1.3,0,
133,Ryan Finley,CIN,25,qb,3,3,10,77,4,73,7.3,4,0.4,0,
134,Troymaine Pope,LAC,26,,9,0,10,20,0,11,1.1,9,0.9,0,
135,Philip Rivers,LAC,38,QB,11,11,10,24,2,24,2.4,0,0,0,
136,Curtis Samuel,CAR,23,WR,11,10,10,86,5,68,6.8,18,1.8,1,10
137,T.J. Yeldon,BUF,26,,5,0,10,45,2,13,1.3,32,3.2,0,
138,Ameer Abdullah,MIN,26,,11,0,8,41,1,33,4.1,8,1,0,
139,Josh Adams,NYJ,23,,3,0,8,12,1,5,0.6,7,0.9,0,
140,Tony Brooks-James,PIT,25,,3,0,8,7,,-11,-1.4,18,2.3,2,4
141,Robert Griffin,BAL,29,,4,0,8,14,1,8,1,6,0.8,1,8
142,Devlin Hodges,PIT,23,qb,3,1,8,29,1,28,3.5,1,0.1,0,
143,Case Keenum,WAS,31,QB,8,7,8,11,1,11,1.4,0,0,0,
144,Dare Ogunbowale,TAM,25,,11,0,8,10,3,2,0.3,8,1,1,8
145,Alec Ingold,OAK,23,fb,11,4,7,14,6,7,1,7,1,0,
146,Jay Ajayi,PHI,26,,1,0,6,16,2,0,0,16,2.7,4,1.5
147,Brandin Cooks,LAR,26,WR,9,9,6,52,3,45,7.5,7,1.2,0,
148,Chase Daniel,CHI,33,qb,3,1,6,6,2,2,0.3,4,0.7,0,
149,Julian Edelman,NWE,33,WR,11,10,6,26,2,23,3.8,3,0.5,0,
150,Patrick Laird,MIA,24,,10,0,6,31,1,19,3.2,12,2,0,
151,Isaiah McKenzie,BUF,24,wr,10,4,6,19,2,7,1.2,12,2,0,
152,Steven Sims,WAS,22,,11,0,6,82,1,27,4.5,55,9.2,2,3
153,Kerrith Whyte,PIT,23,,1,0,6,43,2,15,2.5,28,4.7,0,
154,Alex Armah,CAR,25,fb,11,1,5,9,1,5,1,4,0.8,0,
155,Myles Gaskin,MIA,22,,3,0,5,10,0,1,0.2,9,1.8,0,
156,Brian Hoyer,IND,34,qb,3,1,5,4,0,-1,-0.2,5,1,0,
