Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Matt Ryan,ATL,34,QB,6,6,1/5/00,186,258,72.1,2011,15,5.8,7,2.7,54,7.8,7.7,10.8,335.2,102.7,64.6,14,104,7.01,6.96,5.1,1,1
2,Jared Goff,LAR,25,QB,6,6,3/3/00,153,246,62.2,1727,7,2.8,7,2.8,66,7,6.3,11.3,287.8,80.8,34.6,12,92,6.34,5.66,4.7,1,1
3,Andy Dalton,CIN,32,QB,6,6,0-6-0,150,243,61.7,1647,7,2.9,5,2.1,66,6.8,6.4,11,274.5,82.8,34.1,22,140,5.69,5.37,8.3,,
4,Kyler Murray,ARI,22,QB,6,6,2/3/01,153,238,64.3,1664,7,2.9,4,1.7,58,7,6.8,10.9,277.3,87.6,63.2,21,139,5.89,5.73,8.1,1,2
5,Philip Rivers,LAC,38,QB,6,6,2/4/00,159,238,66.8,1785,9,3.8,6,2.5,55,7.5,7.1,11.2,297.5,91.1,50.8,12,64,6.88,6.52,4.8,0,1
6,Patrick Mahomes,KAN,24,QB,6,6,4/2/00,147,230,63.9,2104,14,6.1,1,0.4,83,9.1,10.2,14.3,350.7,111.9,79.9,8,68,8.55,9.54,3.4,1,1
7,Tom Brady,NWE,42,QB,6,6,6-0-0,149,228,65.4,1743,10,4.4,3,1.3,58,7.6,7.9,11.7,290.5,97.5,57.3,10,73,7.02,7.29,4.2,,
8,Jameis Winston,TAM,25,QB,6,6,2/4/00,132,220,60,1771,12,5.5,10,4.5,67,8.1,7.1,13.4,295.2,84.9,34.7,25,154,6.6,5.74,10.2,,
9,Aaron Rodgers,GNB,36,QB,6,6,5/1/00,137,219,62.6,1590,8,3.7,2,0.9,58,7.3,7.6,11.6,265,92.8,53,11,92,6.51,6.82,4.8,1,1
10,Carson Wentz,PHI,27,QB,6,6,3/3/00,131,214,61.2,1458,12,5.6,3,1.4,53,6.8,7.3,11.1,243,94.3,71.3,10,53,6.27,6.74,4.5,0,1
11,Dak Prescott,DAL,26,QB,6,6,3/3/00,147,211,69.7,1883,11,5.2,6,2.8,62,8.9,8.7,12.8,313.8,102.9,82.7,7,54,8.39,8.16,3.2,,
12,Deshaun Watson,HOU,24,QB,6,6,4/2/00,140,201,69.7,1644,12,6,3,1.5,54,8.2,8.7,11.7,274,107.9,79.2,18,102,7.04,7.52,8.2,1,1
13,Baker Mayfield,CLE,24,QB,6,6,2/4/00,112,198,56.6,1496,5,2.5,11,5.6,89,7.6,5.6,13.4,249.3,66,38.2,16,128,6.39,4.55,7.5,,
14,Joe Flacco,DEN,34,QB,6,6,2/4/00,130,196,66.3,1435,6,3.1,5,2.6,70,7.3,6.8,11,239.2,87.4,56.5,15,114,6.26,5.76,7.1,,
