,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Dalvin Cook,MIN,24,RB,11,11,214,1017,54,468,2.2,549,2.6,18,11.9
2,Nick Chubb,CLE,24,RB,10,10,201,1011,37,452,2.2,559,2.8,22,9.1
3,Chris Carson,SEA,25,RB,10,10,200,853,50,269,1.3,584,2.9,22,9.1
4,Christian McCaffrey,CAR,23,RB,10,10,199,1059,38,660,3.3,399,2,14,14.2
5,Ezekiel Elliott,DAL,24,RB,10,10,194,833,46,458,2.4,375,1.9,6,32.3
6,Marlon Mack,IND,23,RB,10,8,192,862,52,465,2.4,397,2.1,11,17.5
7,Josh Jacobs,OAK,21,RB,10,10,191,923,44,376,2,547,2.9,19,10.1
8,Derrick Henry,TEN,25,RB,10,10,187,832,41,247,1.3,585,3.1,17,11
9,Leonard Fournette,JAX,24,RB,10,10,182,854,38,231,1.3,623,3.4,12,15.2
10,Le'Veon Bell,NYJ,27,RB,10,10,161,508,22,183,1.1,325,2,11,14.6
11,Carlos Hyde,HOU,29,RB,10,9,158,769,38,390,2.5,379,2.4,19,8.3
12,Sony Michel,NWE,24,RB,10,8,154,515,34,293,1.9,222,1.4,7,22
13,Joe Mixon,CIN,23,RB,10,10,146,520,27,254,1.7,266,1.8,7,20.9
14,David Montgomery,CHI,22,RB,10,6,143,497,27,311,2.2,186,1.3,16,8.9
15,Mark Ingram,BAL,30,RB,10,10,136,667,36,306,2.3,361,2.7,9,15.1
16,Aaron Jones,GNB,25,RB,10,10,135,589,33,348,2.6,241,1.8,20,6.8
17,Phillip Lindsay,DEN,25,RB,10,10,134,651,27,391,2.9,260,1.9,17,7.9
18,Todd Gurley,LAR,25,RB,9,9,129,525,31,310,2.4,215,1.7,10,12.9
19,Adrian Peterson,WAS,34,RB,9,9,124,516,21,184,1.5,332,2.7,4,31
20,Frank Gore,BUF,36,RB,10,7,122,476,25,194,1.6,282,2.3,7,17.4
21,Jordan Howard,PHI,25,rb,9,4,119,525,28,242,2,283,2.4,4,29.8
22,Lamar Jackson,BAL,22,QB,10,10,115,788,41,528,4.6,260,2.3,1,115
23,Matt Breida,SFO,24,RB,9,5,109,542,20,345,3.2,197,1.8,5,21.8
24,Devonta Freeman,ATL,27,RB,9,9,107,371,21,170,1.6,201,1.9,4,26.8
25,Ronald Jones,TAM,22,rb,10,3,107,423,21,186,1.7,237,2.2,19,5.6
26,Tevin Coleman,SFO,26,RB,8,5,104,409,20,234,2.3,175,1.7,5,20.8
27,Alvin Kamara,NOR,24,RB,8,6,103,472,19,218,2.1,254,2.5,21,4.9
28,James Conner,PIT,24,RB,8,8,102,390,21,165,1.6,225,2.2,5,20.4
29,Saquon Barkley,NYG,22,RB,7,7,101,402,19,233,2.3,169,1.7,8,12.6
30,Royce Freeman,DEN,23,,10,0,101,405,17,195,1.9,210,2.1,5,20.2
31,Melvin Gordon,LAC,26,RB,7,7,100,369,22,187,1.9,182,1.8,6,16.7
32,Austin Ekeler,LAC,24,RB,11,6,95,364,23,140,1.5,224,2.4,9,10.6
33,Latavius Murray,NOR,29,RB,10,5,95,398,24,249,2.6,149,1.6,8,11.9
34,Peyton Barber,TAM,25,RB,10,7,94,320,16,128,1.4,192,2,7,13.4
35,Kerryon Johnson,DET,22,RB,6,6,92,308,16,122,1.3,186,2,6,15.3
36,Kenyan Drake,2TM,25,,9,5,88,386,22,190,2.2,196,2.2,7,12.6
37,Miles Sanders,PHI,22,RB,10,5,87,374,12,213,2.4,161,1.9,5,17.4
38,Damien Williams,KAN,27,rb,9,5,83,309,13,92,1.1,217,2.6,5,16.6
39,David Johnson,ARI,28,RB,9,8,82,302,19,152,1.9,150,1.8,3,27.3
40,Alexander Mattison,MIN,21,,11,0,82,394,16,230,2.8,164,2,10,8.2
41,LeSean McCoy,KAN,31,RB,10,6,79,400,19,227,2.9,173,2.2,5,15.8
42,Josh Allen,BUF,23,QB,10,10,74,331,27,159,2.1,172,2.3,4,18.5
43,Gus Edwards,BAL,24,,10,0,71,390,26,209,2.9,181,2.5,2,35.5
44,Raheem Mostert,SFO,27,,10,0,67,348,12,193,2.9,155,2.3,5,13.4
45,Kyler Murray,ARI,22,QB,11,11,67,418,22,341,5.1,77,1.1,3,22.3
46,Jamaal Williams,GNB,24,rb,9,2,65,291,15,182,2.8,109,1.7,2,32.5
47,Kalen Ballage,MIA,24,rb,10,4,64,122,9,45,0.7,77,1.2,1,64
48,Devin Singletary,BUF,22,rb,7,3,63,384,16,243,3.9,141,2.2,8,7.9
49,Duke Johnson,HOU,26,rb,10,1,60,327,13,127,2.1,200,3.3,8,7.5
50,Chase Edmonds,ARI,23,rb,8,2,58,295,11,173,3,122,2.1,4,14.5
51,Deshaun Watson,HOU,24,QB,10,10,55,291,19,242,4.4,49,0.9,3,18.3
52,Mark Walton,MIA,22,rb,7,4,53,201,11,88,1.7,113,2.1,1,53
53,Tony Pollard,DAL,22,,10,0,51,238,13,95,1.9,143,2.8,4,12.8
54,Russell Wilson,SEA,31,QB,10,10,50,256,14,212,4.2,44,0.9,1,50
55,Malcolm Brown,LAR,26,rb,8,1,47,179,12,54,1.1,125,2.7,9,5.2
56,Ty Johnson,DET,22,rb,10,1,46,159,7,64,1.4,95,2.1,3,15.3
57,Jaylen Samuels,PIT,23,rb,8,2,45,115,6,39,0.9,76,1.7,1,45
58,Brian Hill,ATL,24,rb,6,1,43,131,6,35,0.8,96,2.2,2,21.5
59,Gardner Minshew,JAX,23,QB,9,8,42,236,12,169,4,67,1.6,2,21
60,DeAndre Washington,OAK,26,,10,0,40,132,8,62,1.6,70,1.8,3,13.3
61,Carson Wentz,PHI,27,QB,10,10,40,161,15,112,2.8,49,1.2,2,20
62,Jacoby Brissett,IND,27,QB,9,9,39,122,11,96,2.5,26,0.7,1,39
63,Tarik Cohen,CHI,24,RB,10,6,38,116,8,79,2.1,37,1,3,12.7
64,Giovani Bernard,CIN,28,rb,10,1,37,118,7,50,1.4,68,1.8,6,6.2
65,James White,NWE,27,rb,9,1,37,124,7,80,2.2,44,1.2,3,12.3
66,Rex Burkhead,NWE,29,rb,7,1,36,148,8,78,2.2,70,1.9,3,12
67,Rashaad Penny,SEA,23,,7,0,36,167,6,84,2.3,83,2.3,1,36
68,Darrel Williams,KAN,24,,11,0,35,128,10,74,2.1,54,1.5,1,35
69,Darrell Henderson,LAR,22,,8,0,33,123,9,64,1.9,59,1.8,7,4.7
70,J.D. McKissic,DET,26,rb,10,3,33,189,7,101,3.1,88,2.7,3,11
71,Dak Prescott,DAL,26,QB,10,10,33,193,14,150,4.5,43,1.3,3,11
72,Jameis Winston,TAM,25,QB,10,10,33,162,10,141,4.3,21,0.6,0,
73,Daniel Jones,NYG,22,QB,9,8,32,208,15,183,5.7,25,0.8,2,16
74,Jimmy Garoppolo,SFO,28,QB,10,10,31,40,8,23,0.7,17,0.5,1,31
75,Jon Hilliman,NYG,24,rb,3,1,30,91,6,42,1.4,49,1.6,0,
76,Justice Hill,BAL,22,,10,0,29,114,5,63,2.2,51,1.8,0,
77,Wayne Gallman,NYG,25,rb,9,2,28,109,6,71,2.5,38,1.4,0,
78,Benny Snell,PIT,21,,7,0,28,118,7,34,1.2,84,3,3,9.3
79,Kirk Cousins,MIN,31,QB,11,11,27,50,7,43,1.6,7,0.3,0,
80,Aaron Rodgers,GNB,36,QB,10,10,27,109,6,86,3.2,23,0.9,0,
81,Jordan Wilkins,IND,25,rb,9,1,27,165,3,56,2.1,109,4,1,27
82,Ryan Fitzpatrick,MIA,37,QB,9,7,25,74,7,47,1.9,27,1.1,2,12.5
83,Nyheim Hines,IND,23,rb,10,1,25,77,7,43,1.7,34,1.4,0,
84,Jeff Wilson,SFO,24,,7,0,25,78,8,47,1.9,31,1.2,0,
85,Marcus Mariota,TEN,26,QB,6,6,24,129,5,98,4.1,31,1.3,1,24
86,Bilal Powell,NYJ,31,,8,0,23,96,5,31,1.3,65,2.8,0,
87,Boston Scott,PHI,24,rb,5,1,23,94,5,45,2,49,2.1,1,23
88,Chris Thompson,WAS,29,,6,0,23,79,3,56,2.4,23,1,1,23
89,Teddy Bridgewater,NOR,27,QB,7,5,22,37,4,19,0.9,18,0.8,0,
90,Patrick Mahomes,KAN,24,QB,9,9,22,141,10,121,5.5,20,0.9,0,
91,Ito Smith,ATL,24,,7,0,22,106,10,68,3.1,38,1.7,2,11
92,Ryquell Armstead,JAX,23,,10,0,21,65,2,7,0.3,58,2.8,2,10.5
93,Jared Goff,LAR,25,QB,10,10,21,19,3,15,0.7,4,0.2,0,
94,Dion Lewis,TEN,29,,10,0,21,77,3,29,1.4,48,2.3,3,7
95,Trey Edmunds,PIT,25,,5,0,20,85,2,51,2.6,34,1.7,0,
96,Justin Jackson,LAC,24,,4,0,20,149,5,72,3.6,77,3.9,3,6.7
97,Jalen Richard,OAK,26,,10,0,20,69,5,44,2.2,25,1.3,0,
98,Matthew Stafford,DET,31,QB,8,8,20,66,5,54,2.7,12,0.6,1,20
99,Ryan Tannehill,TEN,31,qb,6,4,19,83,5,64,3.4,19,1,1,19
100,Derek Carr,OAK,28,QB,10,10,18,32,2,32,1.8,0,0,0,
101,Tra Carson,2TM,27,,3,1,18,48,3,19,1.1,29,1.6,0,
102,Matt Ryan,ATL,34,QB,9,9,18,77,6,69,3.8,8,0.4,0,
103,Derrius Guice,WAS,22,rb,2,1,17,42,1,3,0.2,39,2.3,1,17
104,Wendell Smallwood,WAS,25,,10,0,17,72,4,46,2.7,26,1.5,0,
105,Darren Sproles,PHI,36,rb,6,1,17,66,3,40,2.4,26,1.5,0,
106,C.J. Anderson,DET,28,,2,0,16,43,1,5,0.3,38,2.4,1,16
107,Sam Darnold,NYJ,22,QB,7,7,16,22,3,22,1.4,0,0,0,
108,Tom Brady,NWE,42,QB,10,10,15,2,4,1,0.1,1,0.1,0,
109,Baker Mayfield,CLE,24,QB,10,10,15,77,7,68,4.5,9,0.6,0,
110,Mason Rudolph,PIT,24,QB,8,7,15,38,5,26,1.7,12,0.8,1,15
111,Mitchell Trubisky,CHI,25,QB,9,9,15,58,4,47,3.1,11,0.7,1,15
112,Jonathan Williams,IND,25,,3,0,15,117,5,49,3.3,68,4.5,4,3.8
113,Kyle Allen,CAR,23,QB,8,8,14,21,1,13,0.9,8,0.6,0,
114,Andy Dalton,CIN,32,QB,8,8,14,55,7,34,2.4,21,1.5,0,
115,Taysom Hill,NOR,29,qb,10,1,14,94,6,65,4.6,29,2.1,1,14
116,Bo Scarbrough,DET,23,rb,1,1,14,55,3,2,0.1,53,3.8,2,7
117,Brandon Bolden,NWE,29,rb,9,2,13,47,3,36,2.8,11,0.8,0,
