,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Marlon Mack,IND,23,RB,3,2,61,299,22,130,2.1,169,2.8,2,30.5
2,Christian McCaffrey,CAR,23,RB,3,3,59,318,12,141,2.4,177,3,7,8.4
3,Nick Chubb,CLE,24,RB,3,3,58,233,9,110,1.9,123,2.1,6,9.7
4,Dalvin Cook,MIN,24,RB,3,3,57,375,14,178,3.1,197,3.5,6,9.5
5,Le'Veon Bell,NYJ,27,RB,3,3,56,163,6,47,0.8,116,2.1,10,5.6
6,Ezekiel Elliott,DAL,24,RB,3,3,55,289,16,165,3,124,2.3,2,27.5
7,Derrick Henry,TEN,25,RB,3,3,51,210,14,20,0.4,190,3.7,3,17
8,Kerryon Johnson,DET,22,RB,3,3,48,126,9,4,0.1,122,2.5,5,9.6
9,Aaron Jones,GNB,25,RB,3,3,46,174,10,124,2.7,50,1.1,2,23
10,Chris Carson,SEA,25,RB,3,3,45,159,9,85,1.9,74,1.6,2,22.5
11,Josh Jacobs,OAK,21,RB,3,3,45,228,12,97,2.2,131,2.9,3,15
12,Phillip Lindsay,DEN,25,RB,3,3,45,160,9,103,2.3,57,1.3,8,5.6
13,Sony Michel,NWE,24,RB,3,2,45,108,11,69,1.5,39,0.9,1,45
14,Peyton Barber,TAM,25,RB,3,3,44,163,8,84,1.9,79,1.8,4,11
15,Frank Gore,BUF,36,RB,3,2,44,164,11,72,1.6,92,2.1,2,22
16,Todd Gurley,LAR,25,RB,3,3,44,203,10,81,1.8,122,2.8,4,11
17,Leonard Fournette,JAX,24,RB,3,3,43,179,8,28,0.7,151,3.5,3,14.3
18,Mark Ingram,BAL,30,RB,3,3,43,257,14,101,2.3,156,3.6,5,8.6
19,Alvin Kamara,NOR,24,RB,3,3,42,211,10,113,2.7,98,2.3,8,5.3
20,Matt Breida,SFO,24,RB,3,2,41,226,10,123,3,103,2.5,1,41
21,Carlos Hyde,HOU,29,RB,3,3,40,192,12,88,2.2,104,2.6,5,8
22,Austin Ekeler,LAC,24,RB,3,3,38,160,9,61,1.6,99,2.6,4,9.5
23,Saquon Barkley,NYG,22,RB,3,3,37,237,11,137,3.7,100,2.7,4,9.3
24,David Montgomery,CHI,22,RB,3,2,37,147,8,96,2.6,51,1.4,5,7.4
25,Royce Freeman,DEN,23,,3,0,36,173,6,85,2.4,88,2.4,3,12
26,David Johnson,ARI,28,RB,3,3,36,133,9,61,1.7,72,2,2,18
27,Devonta Freeman,ATL,27,RB,3,3,35,129,7,74,2.1,55,1.6,4,8.8
28,James Conner,PIT,24,RB,3,3,34,97,6,27,0.8,70,2.1,2,17
29,Raheem Mostert,SFO,27,,3,0,34,202,7,100,2.9,102,3,3,11.3
30,Miles Sanders,PHI,22,RB,3,2,34,106,4,28,0.8,78,2.3,3,11.3
31,Joe Mixon,CIN,23,RB,3,3,32,88,5,38,1.2,50,1.6,1,32
32,Ronald Jones,TAM,22,,3,0,31,164,8,111,3.6,53,1.7,4,7.8
33,Tony Pollard,DAL,22,,3,0,30,149,8,60,2,89,3,1,30
34,LeSean McCoy,KAN,31,rb,3,1,29,158,10,81,2.8,77,2.7,2,14.5
35,Gus Edwards,BAL,24,,3,0,27,120,8,49,1.8,71,2.6,1,27
36,Lamar Jackson,BAL,22,QB,3,3,27,172,9,119,4.4,53,2,1,27
37,Josh Allen,BUF,23,QB,3,3,26,105,7,26,1,79,3,2,13
