Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
1,Kyler Murray,ARI,22,QB,2,2,54,94,657,28,434,8,4.6,9.4,223,4.1,2,2.1,20,21.3,26,19,6,1,7
2,Andy Dalton,CIN,32,QB,2,2,61,93,729,29,352,5.8,3.8,6.1,377,6.2,5,5.4,12,12.9,20,11,2,0,
3,Eli Manning,NYG,38,QB,2,2,56,89,556,29,323,5.8,3.6,7.2,233,4.2,2,2.2,17,19.1,26,12,5,1,6
4,Cam Newton,CAR,30,QB,2,2,50,89,572,29,350,7,3.9,8.7,222,4.4,3,3.4,26,29.2,43,13,5,1,3
5,Matt Ryan,ATL,34,QB,2,2,60,89,624,31,342,5.7,3.8,8.5,282,4.7,2,2.2,11,12.4,23,14,8,3,9.3
6,Carson Wentz,PHI,27,QB,2,2,53,82,544,22,385,7.3,4.7,9.2,159,3,5,6.1,14,17.1,17,10,7,0,
7,Joe Flacco,DEN,34,QB,2,2,56,81,560,30,319,5.7,3.9,6,241,4.3,2,2.5,15,18.5,16,22,5,0,
8,Case Keenum,WAS,31,QB,2,2,56,81,601,27,308,5.5,3.8,6.7,293,5.2,3,3.7,12,14.8,12,14,9,0,
9,Patrick Mahomes,KAN,24,QB,2,2,55,77,821,31,409,7.4,5.3,9.5,412,7.5,3,3.9,15,19.5,13,5,4,0,
10,Matthew Stafford,DET,31,QB,2,2,49,75,630,29,393,8,5.2,11,237,4.8,2,2.7,15,20,26,8,7,4,4.8
11,Baker Mayfield,CLE,24,QB,2,2,44,73,610,23,345,7.8,4.7,9.4,265,6,6,8.2,11,15.1,22,11,2,0,
12,Mitchell Trubisky,CHI,25,QB,2,2,42,72,348,17,179,4.3,2.5,7.8,169,4,4,5.6,12,16.7,28,18,6,2,5
13,Philip Rivers,LAC,38,QB,2,2,46,70,626,27,346,7.5,4.9,8.6,280,6.1,5,7.1,9,12.9,17,9,6,2,9
14,Josh Allen,BUF,23,QB,2,2,43,67,507,24,315,7.3,4.7,8.4,192,4.5,7,10.4,6,9,29,13,9,9,5.4
15,Jared Goff,LAR,25,QB,2,2,42,67,469,23,223,5.3,3.3,6.8,246,5.9,5,7.5,14,20.9,12,9,6,1,3
16,Tom Brady,NWE,42,QB,2,2,44,64,605,27,381,8.7,6,8.6,224,5.1,1,1.6,14,21.9,17,9,5,0,
17,Derek Carr,OAK,28,QB,2,2,45,64,457,23,230,5.1,3.6,7.3,227,5,2,3.1,8,12.5,16,3,2,3,7
18,Aaron Rodgers,GNB,36,QB,2,2,40,64,412,22,233,5.8,3.6,9,179,4.5,0,0,11,17.2,21,13,9,1,10
19,Dak Prescott,DAL,26,QB,2,2,51,62,674,30,401,7.9,6.5,9,273,5.4,4,6.5,3,4.8,18,5,3,1,15
20,Ben Roethlisberger,PIT,37,QB,2,2,35,62,351,14,158,4.5,2.5,9.3,193,5.5,7,11.3,12,19.4,17,14,2,1,7
21,Jameis Winston,TAM,25,QB,2,2,36,61,402,19,248,6.9,4.1,10.3,154,4.3,3,4.9,12,19.7,13,16,9,4,5.8
22,Deshaun Watson,HOU,24,QB,2,2,36,59,427,21,302,8.4,5.1,11.8,125,3.5,3,5.1,12,20.3,30,14,8,3,7.7
23,Gardner Minshew,JAX,23,QB,2,1,45,58,488,20,257,5.7,4.4,6.1,231,5.1,2,3.4,6,10.3,25,10,3,7,8.9
24,Lamar Jackson,BAL,22,QB,2,2,41,57,596,28,364,8.9,6.4,10.7,232,5.7,2,3.5,7,12.3,24,8,0,6,10.8
25,Jacoby Brissett,IND,27,QB,2,2,38,55,336,17,143,3.8,2.6,5.6,193,5.1,3,5.5,4,7.3,8,4,5,5,5.4
26,Russell Wilson,SEA,31,QB,2,2,43,55,495,21,253,5.9,4.6,8.2,242,5.6,3,5.5,6,10.9,31,6,5,2,12.5
27,Jimmy Garoppolo,SFO,28,QB,2,2,35,52,463,20,172,4.9,3.3,6.5,291,8.3,1,1.9,13,25,19,4,2,2,5
28,Marcus Mariota,TEN,26,QB,2,2,33,52,402,16,161,4.9,3.1,5.5,241,7.3,4,7.7,10,19.2,17,5,2,5,8.6
29,Ryan Fitzpatrick,MIA,37,QB,2,2,25,50,274,13,191,7.6,3.8,11.5,83,3.3,3,6,12,24,21,7,9,2,7
30,Drew Brees,NOR,40,QB,2,2,35,48,408,21,267,7.6,5.6,7.3,141,4,2,4.2,6,12.5,8,5,3,0,
31,Kirk Cousins,MIN,31,QB,2,2,22,42,328,10,171,7.8,4.1,9.2,157,7.1,1,2.4,7,16.7,15,13,7,2,8.5
32,Sam Darnold,NYJ,22,QB,1,1,28,41,175,12,71,2.5,1.7,5.4,104,3.7,1,2.4,5,12.2,15,4,4,0,
33,Teddy Bridgewater,NOR,27,,1,0,17,30,165,9,66,3.9,2.2,6.5,99,5.8,2,6.7,3,10,3,5,1,2,2.5
34,Luke Falk,NYJ,25,,1,0,20,25,198,6,78,3.9,3.1,5,120,6,1,4,3,12,7,3,2,0,
35,Josh Rosen,MIA,22,,2,0,8,21,102,4,65,8.1,3.1,15,37,4.6,3,14.3,6,28.6,7,1,4,0,
36,Mason Rudolph,PIT,24,,1,0,12,19,112,7,69,5.8,3.6,7.9,43,3.6,1,5.3,6,31.6,6,2,1,1,7
37,Nick Foles,JAX,30,QB,1,1,5,8,75,3,50,10,6.3,8.6,25,5,0,0,2,25,1,1,1,0,
38,Robert Griffin,BAL,29,,1,0,6,6,55,5,38,6.3,6.3,6.3,17,2.8,0,0,0,0,4,0,0,0,
39,Trevor Siemian,NYJ,28,QB,1,1,3,6,3,,-8,-2.7,-1.3,6.8,11,3.7,0,0,2,33.3,4,1,1,0,
40,Josh McCown,PHI,40,,1,0,3,5,24,2,9,3,1.8,4.4,15,5,1,20,0,0,0,0,0,0,
41,Daniel Jones,NYG,22,,1,0,3,4,17,1,0,0,0,7.3,17,5.7,0,0,1,25,0,2,2,1,5
42,Julian Edelman,NWE,33,WR,2,2,1,1,32,1,-6,-6,-6,-6,38,38,0,0,0,0,0,0,0,0,
43,Matt Moore,KAN,35,,1,0,0,1,0,,0,,0,-4,0,,0,0,1,100,0,0,0,0,
44,Dante Pettis,SFO,24,,2,0,1,1,16,1,-4,-4,-4,-4,20,20,0,0,0,0,0,0,0,0,
