,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Dalvin Cook,MIN,24,RB,9,9,177,894,43,392,2.2,502,2.8,14,12.6
2,Chris Carson,SEA,25,RB,9,9,175,764,44,219,1.3,545,3.1,22,8
3,Leonard Fournette,JAX,24,RB,9,9,174,831,36,207,1.2,624,3.6,12,14.5
4,Christian McCaffrey,CAR,23,RB,8,8,165,881,31,535,3.2,346,2.1,12,13.8
5,Derrick Henry,TEN,25,RB,9,9,164,644,34,204,1.2,440,2.7,14,11.7
6,Marlon Mack,IND,23,RB,8,6,159,679,42,344,2.2,335,2.1,5,31.8
7,Ezekiel Elliott,DAL,24,RB,8,8,158,741,43,397,2.5,344,2.2,5,31.6
8,Nick Chubb,CLE,24,RB,8,8,154,803,29,405,2.6,398,2.6,16,9.6
9,Josh Jacobs,OAK,21,RB,8,8,152,740,37,303,2,437,2.9,15,10.1
10,Carlos Hyde,HOU,29,RB,9,8,149,704,37,340,2.3,364,2.4,19,7.8
11,Sony Michel,NWE,24,RB,9,7,144,482,33,294,2,188,1.3,4,36
12,Le'Veon Bell,NYJ,27,RB,8,8,125,415,17,164,1.3,251,2,11,11.4
13,Aaron Jones,GNB,25,RB,9,9,122,496,28,284,2.3,212,1.7,13,9.4
14,Jordan Howard,PHI,25,rb,9,4,119,525,28,235,2,290,2.4,4,29.8
15,Phillip Lindsay,DEN,25,RB,9,9,118,584,26,340,2.9,244,2.1,17,6.9
16,Adrian Peterson,WAS,34,RB,8,8,115,491,19,182,1.6,309,2.7,4,28.8
17,Mark Ingram,BAL,30,RB,8,8,114,585,32,272,2.4,313,2.7,7,16.3
18,David Montgomery,CHI,22,RB,8,5,112,406,24,254,2.3,152,1.4,13,8.6
19,Frank Gore,BUF,36,RB,8,6,106,437,23,177,1.7,260,2.5,7,15.1
20,Joe Mixon,CIN,23,RB,8,8,101,320,16,143,1.4,177,1.8,6,16.8
21,Matt Breida,SFO,24,RB,8,5,99,524,20,337,3.4,187,1.9,3,33
22,Lamar Jackson,BAL,22,QB,8,8,99,637,35,495,5,142,1.4,1,99
23,James Conner,PIT,24,RB,7,7,97,380,21,161,1.7,219,2.3,5,19.4
24,Devonta Freeman,ATL,27,RB,8,8,97,333,18,149,1.5,184,1.9,4,24.3
25,Royce Freeman,DEN,23,,9,0,93,374,16,181,1.9,193,2.1,5,18.6
26,Todd Gurley,LAR,25,RB,7,7,92,355,23,177,1.9,178,1.9,10,9.2
27,Kerryon Johnson,DET,22,RB,6,6,92,308,16,120,1.3,188,2,6,15.3
28,Ronald Jones,TAM,22,rb,8,1,92,381,18,176,1.9,205,2.2,14,6.6
29,Saquon Barkley,NYG,22,RB,6,6,88,401,19,250,2.8,151,1.7,8,11
30,Alvin Kamara,NOR,24,RB,6,6,86,373,18,164,1.9,209,2.4,21,4.1
31,Austin Ekeler,LAC,24,RB,9,5,84,321,21,123,1.5,198,2.4,8,10.5
32,Peyton Barber,TAM,25,RB,8,7,83,277,13,124,1.5,153,1.8,4,20.8
33,Tevin Coleman,SFO,26,rb,6,3,83,355,19,221,2.7,134,1.6,4,20.8
34,Latavius Murray,NOR,29,rb,8,3,80,359,19,232,2.9,127,1.6,8,10
35,David Johnson,ARI,28,RB,7,7,77,300,19,159,2.1,141,1.8,2,38.5
36,Miles Sanders,PHI,22,rb,9,4,76,336,9,197,2.6,139,1.8,4,19
37,LeSean McCoy,KAN,31,RB,9,6,72,371,18,214,3,157,2.2,5,14.4
38,Alexander Mattison,MIN,21,,9,0,71,337,14,200,2.8,137,1.9,7,10.1
39,Melvin Gordon,LAC,26,RB,5,5,64,192,10,91,1.4,101,1.6,3,21.3
40,Kenyan Drake,2TM,25,,7,3,62,284,14,128,2.1,156,2.5,5,12.4
41,Josh Allen,BUF,23,QB,8,8,61,247,19,116,1.9,131,2.1,5,12.2
42,Damien Williams,KAN,27,rb,7,3,60,225,10,47,0.8,178,3,3,20
43,Gus Edwards,BAL,24,,8,0,59,261,20,110,1.9,151,2.6,2,29.5
44,Chase Edmonds,ARI,23,rb,8,2,58,295,11,173,3,122,2.1,4,14.5
45,Kyler Murray,ARI,22,QB,9,9,56,313,17,276,4.9,37,0.7,3,18.7
46,Raheem Mostert,SFO,27,,8,0,55,307,11,166,3,141,2.6,5,11
47,Duke Johnson,HOU,26,rb,9,1,54,287,11,121,2.2,166,3.1,7,7.7
48,Mark Walton,MIA,22,RB,7,4,53,201,11,88,1.7,113,2.1,1,53
49,Deshaun Watson,HOU,24,QB,9,9,52,279,19,235,4.5,44,0.8,3,17.3
50,Jamaal Williams,GNB,24,rb,8,2,52,228,10,152,2.9,76,1.5,1,52
51,Tony Pollard,DAL,22,,8,0,48,230,13,93,1.9,137,2.9,3,16
52,Russell Wilson,SEA,31,QB,9,9,44,203,12,160,3.6,43,1,1,44
53,Gardner Minshew,JAX,23,QB,9,8,42,235,12,168,4,67,1.6,2,21
54,Devin Singletary,BUF,22,rb,5,2,40,267,12,184,4.6,83,2.1,5,8
55,Ty Johnson,DET,22,,8,0,39,137,6,51,1.3,86,2.2,2,19.5
56,Jacoby Brissett,IND,27,QB,8,8,37,110,10,83,2.2,27,0.7,1,37
57,Malcolm Brown,LAR,26,rb,6,1,37,154,10,40,1.1,114,3.1,9,4.1
58,DeAndre Washington,OAK,26,,8,0,37,133,8,66,1.8,67,1.8,3,12.3
59,Carson Wentz,PHI,27,QB,9,9,37,144,14,100,2.7,44,1.2,2,18.5
60,Kalen Ballage,MIA,24,rb,8,2,35,70,7,38,1.1,32,0.9,1,35
61,Rashaad Penny,SEA,23,,6,0,34,165,6,83,2.4,82,2.4,1,34
62,James White,NWE,27,rb,8,1,32,104,6,81,2.5,23,0.7,2,16
63,Rex Burkhead,NWE,29,rb,6,1,31,134,6,80,2.6,54,1.7,2,15.5
64,Giovani Bernard,CIN,28,,8,0,30,80,4,21,0.7,59,2,5,6
65,Jon Hilliman,NYG,24,rb,3,1,30,91,6,42,1.4,49,1.6,0,
66,Darrell Henderson,LAR,22,,6,0,29,119,9,60,2.1,59,2,7,4.1
67,Daniel Jones,NYG,22,QB,8,7,29,188,14,169,5.8,19,0.7,1,29
68,Jimmy Garoppolo,SFO,28,QB,8,8,28,32,7,16,0.6,16,0.6,1,28
69,Benny Snell,PIT,21,,7,0,28,118,7,34,1.2,84,3,3,9.3
70,Jameis Winston,TAM,25,QB,8,8,28,99,7,79,2.8,20,0.7,0,
71,Wayne Gallman,NYG,25,rb,8,2,27,107,6,71,2.6,36,1.3,0,
72,Dak Prescott,DAL,26,QB,8,8,27,175,13,137,5.1,38,1.4,3,9
73,Tarik Cohen,CHI,24,RB,8,5,26,63,3,44,1.7,19,0.7,2,13
74,Aaron Rodgers,GNB,36,QB,9,9,26,102,6,79,3,23,0.9,0,
75,Jaylen Samuels,PIT,23,rb,6,1,26,60,3,12,0.5,48,1.8,1,26
76,Jeff Wilson,SFO,24,,6,0,25,78,8,47,1.9,31,1.2,0,
77,Kirk Cousins,MIN,31,QB,9,9,24,44,6,38,1.6,6,0.3,0,
78,Marcus Mariota,TEN,26,QB,6,6,24,129,5,98,4.1,31,1.3,1,24
79,Jordan Wilkins,IND,25,rb,8,1,24,145,2,48,2,97,4,0,
80,Chris Thompson,WAS,29,,6,0,23,79,3,56,2.4,23,1,1,23
81,Teddy Bridgewater,NOR,27,QB,7,5,22,37,4,19,0.9,18,0.8,0,
82,Ito Smith,ATL,24,,7,0,22,106,10,68,3.1,38,1.7,2,11
83,Darrel Williams,KAN,24,,9,0,22,87,6,51,2.3,36,1.6,1,22
84,Justice Hill,BAL,22,,8,0,21,85,3,49,2.3,36,1.7,0,
85,Dion Lewis,TEN,29,,9,0,21,77,3,28,1.3,49,2.3,3,7
86,Ryquell Armstead,JAX,23,,9,0,20,59,2,5,0.3,54,2.7,2,10
87,Ryan Fitzpatrick,MIA,37,QB,7,5,20,51,6,31,1.6,20,1,1,20
88,Justin Jackson,LAC,24,,4,0,20,149,5,71,3.6,78,3.9,3,6.7
89,J.D. McKissic,DET,26,rb,8,2,20,140,5,68,3.4,72,3.6,2,10
90,Matthew Stafford,DET,31,QB,8,8,20,66,5,54,2.7,12,0.6,1,20
91,Nyheim Hines,IND,23,rb,8,1,19,52,6,28,1.5,24,1.3,0,
92,Tra Carson,2TM,27,,3,1,18,48,3,19,1.1,29,1.6,0,
93,Jared Goff,LAR,25,QB,8,8,17,16,3,12,0.7,4,0.2,0,
94,Patrick Mahomes,KAN,24,QB,7,7,17,82,7,81,4.8,1,0.1,0,
95,Wendell Smallwood,WAS,25,,9,0,17,72,4,42,2.5,30,1.8,0,
96,Darren Sproles,PHI,36,rb,6,1,17,66,3,40,2.4,26,1.5,0,
