Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Matt Ryan,ATL,34,QB,4,4,1/3/00,124,176,70.5,1325,8,4.5,6,3.4,54,7.5,6.9,10.7,331.3,93.1,59.4,10,75,6.72,6.13,5.4,1,1
2,Jared Goff,LAR,25,QB,4,4,3/1/00,111,173,64.2,1254,6,3.5,6,3.5,66,7.2,6.4,11.3,313.5,82.9,38.7,8,62,6.59,5.76,4.4,1,1
3,Kyler Murray,ARI,22,QB,4,4,0-3-1,106,169,62.7,1071,4,2.4,4,2.4,54,6.3,5.7,10.1,267.8,78.8,47.8,20,134,4.96,4.43,10.6,1,0
4,Andy Dalton,CIN,32,QB,4,4,0-4-0,102,166,61.4,1150,5,3,4,2.4,66,6.9,6.4,11.3,287.5,82.2,23.9,19,122,5.56,5.12,10.3,,
5,Patrick Mahomes,KAN,24,QB,4,4,4-0-0,106,156,67.9,1510,10,6.4,0,0,83,9.7,11,14.2,377.5,120.4,87.6,3,18,9.38,10.64,1.9,1,1
6,Joe Flacco,DEN,34,QB,4,4,0-4-0,98,148,66.2,1076,5,3.4,3,2,53,7.3,7,11,269,90.4,61.6,11,81,6.26,6.04,6.9,,
7,Philip Rivers,LAC,38,QB,4,4,2/2/00,101,146,69.2,1254,7,4.8,2,1.4,55,8.6,8.9,12.4,313.5,105.8,61.3,11,60,7.61,7.92,7,0,1
8,Aaron Rodgers,GNB,36,QB,4,4,3/1/00,91,146,62.3,1069,6,4.1,1,0.7,58,7.3,7.8,11.7,267.3,95.4,56.5,8,63,6.53,7.02,5.2,,
9,Tom Brady,NWE,42,QB,4,4,4-0-0,90,145,62.1,1061,7,4.8,1,0.7,58,7.3,8,11.8,265.3,97.5,63.8,3,16,7.06,7.7,2,,
10,Carson Wentz,PHI,27,QB,4,4,2/2/00,88,145,60.7,963,9,6.2,2,1.4,53,6.6,7.3,10.9,240.8,95.3,72.8,7,31,6.13,6.72,4.6,0,1
11,Matthew Stafford,DET,31,QB,4,4,2/1/01,88,141,62.4,1122,9,6.4,2,1.4,47,8,8.6,12.8,280.5,102.6,69.2,7,54,7.22,7.82,4.7,2,1
12,Baker Mayfield,CLE,24,QB,4,4,2/2/00,82,139,59,1147,4,2.9,6,4.3,89,8.3,6.9,14,286.8,77.2,40.2,12,86,7.03,5.77,7.9,,
13,Jameis Winston,TAM,25,QB,4,4,2/2/00,87,139,62.6,1167,9,6.5,5,3.6,67,8.4,8.1,13.4,291.8,95.8,51.5,12,73,7.25,6.95,7.9,,
14,Jacoby Brissett,IND,27,QB,4,4,2/2/00,90,138,65.2,911,10,7.2,2,1.4,48,6.6,7.4,10.1,227.8,102.1,59,6,52,5.97,6.73,4.2,1,1
15,Case Keenum,WAS,31,QB,4,4,0-4-0,92,135,68.1,970,7,5.2,4,3,69,7.2,6.9,10.5,242.5,93.8,45.5,7,70,6.34,6.06,4.9,,
16,Lamar Jackson,BAL,22,QB,4,4,2/2/00,87,134,64.9,1110,10,7.5,2,1.5,83,8.3,9.1,12.8,277.5,109.4,78.6,10,58,7.31,8.07,6.9,,
17,Russell Wilson,SEA,31,QB,4,4,3/1/00,97,133,72.9,1141,8,6,0,0,54,8.6,9.8,11.8,285.3,118.7,75.6,12,76,7.34,8.45,8.3,1,1
18,Josh Allen,BUF,23,QB,4,4,3/1/00,79,131,60.3,903,3,2.3,6,4.6,51,6.9,5.3,11.4,225.8,69.6,38,9,61,6.01,4.51,6.4,2,2
19,Derek Carr,OAK,28,QB,4,4,2/2/00,93,129,72.1,888,6,4.7,3,2.3,43,6.9,6.8,9.5,222,96.7,46.2,8,48,6.13,6.02,5.8,,
20,Dak Prescott,DAL,26,QB,4,4,3/1/00,92,127,72.4,1143,9,7.1,3,2.4,62,9,9.4,12.4,285.8,113.7,91.4,3,24,8.61,8.95,2.3,,
21,Deshaun Watson,HOU,24,QB,4,4,2/2/00,82,126,65.1,938,6,4.8,1,0.8,54,7.4,8,11.4,234.5,99.9,63.7,18,102,5.81,6.33,12.5,,
22,Gardner Minshew,JAX,23,QB,4,3,2/1/00,84,121,69.4,905,7,5.8,1,0.8,69,7.5,8.3,10.8,226.3,106.9,,10,65,6.41,7.14,7.6,1,1
23,Marcus Mariota,TEN,26,QB,4,4,2/2/00,74,119,62.2,933,7,5.9,0,0,75,7.8,9,12.6,233.3,106.2,43.5,17,122,5.96,6.99,12.5,,
24,Mitchell Trubisky,CHI,25,QB,4,4,3/1/00,69,106,65.1,588,3,2.8,2,1.9,36,5.5,5.3,8.5,147,81,31.3,8,43,4.78,4.52,7,1,1
25,Kirk Cousins,MIN,31,QB,4,4,2/2/00,64,99,64.6,735,3,3,2,2,61,7.4,7.1,11.5,183.8,88.6,25.5,8,59,6.32,6.04,7.5,,
26,Eli Manning,NYG,38,QB,2,2,0-2-0,56,89,62.9,556,2,2.2,2,2.2,43,6.2,5.7,9.9,278,78.7,30,2,13,5.97,5.42,2.2,,
27,Cam Newton,CAR,30,QB,2,2,0-2-0,50,89,56.2,572,0,0,1,1.1,44,6.4,5.9,11.4,286,71,23.1,6,43,5.57,5.09,6.3,,
28,Teddy Bridgewater,NOR,27,QB,3,2,2-0-0,59,87,67.8,535,2,2.3,1,1.1,29,6.1,6.1,9.1,178.3,87.1,24.2,7,60,5.05,5,7.4,1,1
29,Jimmy Garoppolo,SFO,28,QB,3,3,3-0-0,58,84,69,739,5,6,4,4.8,39,8.8,7.8,12.7,246.3,96.3,52.4,2,17,8.4,7.47,2.3,1,1
30,Josh Rosen,MIA,22,QB,4,2,0-2-0,43,84,51.2,482,1,1.2,3,3.6,40,5.7,4.4,11.2,120.5,57.7,39.9,11,63,4.41,3.2,11.6,,
31,Mason Rudolph,PIT,24,QB,3,2,1/1/00,50,74,67.6,515,6,8.1,2,2.7,76,7,7.4,10.3,171.7,103.2,41.3,2,14,6.59,6.99,2.6,,
32,Daniel Jones,NYG,22,QB,3,2,2-0-0,49,71,69,578,3,4.2,2,2.8,75,8.1,7.7,11.8,192.7,95.9,82.4,5,24,7.29,6.89,6.6,1,1
33,Ben Roethlisberger,PIT,37,QB,2,2,0-2-0,35,62,56.5,351,0,0,1,1.6,45,5.7,4.9,10,175.5,66,20.8,2,7,5.38,4.67,3.1,,
34,Kyle Allen,CAR,23,QB,2,2,2-0-0,43,60,71.7,493,4,6.7,0,0,52,8.2,9.6,11.5,246.5,118.3,68.9,5,50,6.82,8.05,7.7,0,1
35,Ryan Fitzpatrick,MIA,37,QB,3,2,0-2-0,27,52,51.9,303,1,1.9,4,7.7,49,5.8,2.8,11.2,101,44,18.8,6,28,4.74,1.98,10.3,,
36,Drew Brees,NOR,40,QB,2,2,1/1/00,35,48,72.9,408,2,4.2,2,4.2,41,8.5,7.5,11.7,204,94.8,74.9,1,8,8.16,7.14,2,1,1
37,Luke Falk,NYJ,25,qb,2,1,0-1-0,32,47,68.1,296,0,0,1,2.1,36,6.3,5.3,9.3,148,76.2,20.6,7,44,4.67,3.83,13,,
38,Sam Darnold,NYJ,22,qb,1,1,0-1-0,28,41,68.3,175,1,2.4,0,0,19,4.3,4.8,6.3,175,84.9,27.5,4,20,3.44,3.89,8.9,,
39,Chase Daniel,CHI,33,,1,0,,22,30,73.3,195,1,3.3,0,0,37,6.5,7.2,8.9,195,101.4,79.9,1,7,6.06,6.71,3.2,,
40,Dwayne Haskins,WAS,22,,1,0,,9,17,52.9,107,0,0,3,17.6,39,6.3,-1.6,11.9,107,32.8,26.1,2,21,4.53,-2.58,10.5,,
41,Matt Barkley,BUF,29,,1,0,,9,16,56.3,127,0,0,1,6.3,28,7.9,5.1,14.1,127,56,11.3,1,9,6.94,4.29,5.9,,
