Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas,NOR,26,WR,8,8,89,73,875,45,565,7.7,310,4.2,3,24.3,4,4.5
2,DeAndre Hopkins,HOU,27,WR,9,9,92,68,665,42,446,6.6,219,3.2,8,8.5,3,3.3
3,Julian Edelman,NWE,33,WR,9,8,90,63,663,31,433,6.9,230,3.7,3,21,6,6.7
4,Tyler Lockett,SEA,27,WR,9,9,72,59,767,40,550,9.3,217,3.7,0,,3,4.2
5,Cooper Kupp,LAR,26,WR,8,7,87,58,792,32,388,6.7,404,7,6,9.7,1,1.1
6,Austin Ekeler,LAC,24,RB,9,5,60,55,530,24,21,0.4,509,9.3,10,5.5,0,0
7,Keenan Allen,LAC,27,WR,9,9,84,54,657,34,503,9.3,154,2.9,3,18,5,6
8,Chris Godwin,TAM,23,WR,8,8,72,54,766,42,483,8.9,283,5.2,2,27,1,1.4
9,Austin Hooper,ATL,25,TE,8,7,62,52,591,30,338,6.5,253,4.9,5,10.4,0,0
10,Tyler Boyd,CIN,25,WR,8,8,83,51,536,25,300,5.9,236,4.6,2,25.5,2,2.4
11,Mike Evans,TAM,26,WR,8,8,83,50,842,40,703,14.1,139,2.8,1,50,3,3.6
12,Julio Jones,ATL,30,WR,8,8,74,50,712,39,540,10.8,172,3.4,2,25,1,1.4
13,Travis Kelce,KAN,30,TE,9,9,74,49,666,36,441,9,225,4.6,4,12.3,5,6.8
14,Darren Waller,OAK,27,TE,8,8,60,48,548,27,257,5.4,291,6.1,3,16,3,5
15,Allen Robinson,CHI,26,WR,8,7,71,47,532,29,429,9.1,103,2.2,4,11.8,3,4.2
16,Zach Ertz,PHI,29,TE,9,9,75,46,527,28,384,8.3,143,3.1,1,46,3,4
17,George Kittle,SFO,26,TE,8,8,57,46,541,28,260,5.7,281,6.1,5,9.2,0,0
18,D.J. Moore,CAR,22,WR,8,8,68,45,564,30,366,8.1,198,4.4,1,45,2,2.9
19,Mohamed Sanu,2TM,30,,9,7,61,45,417,25,246,5.5,171,3.8,2,22.5,4,6.6
20,Evan Engram,NYG,25,TE,8,6,68,44,467,23,215,4.9,252,5.7,2,22,3,4.4
21,Courtland Sutton,DEN,24,WR,9,7,67,44,692,32,467,10.6,225,5.1,6,7.3,2,3
22,James White,NWE,27,rb,8,1,55,44,404,21,86,2,318,7.2,2,22,0,0
23,DJ Chark,JAX,23,WR,9,8,70,43,692,29,461,10.7,231,5.4,1,43,2,2.9
24,Jamison Crowder,NYJ,26,WR,8,5,59,43,405,19,218,5.1,187,4.3,1,43,3,5.1
25,John Brown,BUF,29,WR,8,8,60,42,603,33,496,11.8,107,2.5,2,21,3,5
26,Amari Cooper,DAL,25,WR,8,8,57,42,701,27,501,11.9,200,4.8,3,14,4,7
27,Larry Fitzgerald,ARI,36,WR,9,9,63,42,485,21,307,7.3,178,4.2,0,,0,0
28,Marvin Jones,DET,29,WR,8,7,57,42,535,27,464,11,71,1.7,1,42,1,1.8
