,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Nick Chubb*,CLE,24,RB,15,15,285,1453,61,588,2.1,865,3,32,8.9
2,Ezekiel Elliott*,DAL,24,RB,15,15,283,1235,73,611,2.2,624,2.2,23,12.3
3,Chris Carson,SEA,25,RB,15,15,278,1230,75,481,1.7,749,2.7,28,9.9
4,Christian McCaffrey*,CAR,23,RB,15,15,278,1361,55,854,3.1,507,1.8,15,18.5
5,Derrick Henry*,TEN,25,RB,14,14,271,1329,61,413,1.5,916,3.4,24,11.3
6,Leonard Fournette,JAX,24,RB,15,15,265,1152,55,346,1.3,806,3,16,16.6
7,Joe Mixon,CIN,23,RB,15,14,252,975,50,468,1.9,507,2,18,14
8,Dalvin Cook*,MIN,24,RB,14,14,250,1135,60,525,2.1,610,2.4,20,12.5
9,Josh Jacobs,OAK,21,RB,13,13,242,1150,53,464,1.9,686,2.8,26,9.3
10,Carlos Hyde,HOU,29,RB,15,13,241,1057,54,513,2.1,544,2.3,22,11
11,Marlon Mack,IND,23,RB,13,11,232,1014,62,534,2.3,480,2.1,12,19.3
12,Le'Veon Bell,NYJ,27,RB,14,14,229,748,31,278,1.2,470,2.1,13,17.6
13,Sony Michel,NWE,24,RB,15,13,229,838,51,468,2,370,1.6,15,15.3
14,David Montgomery,CHI,22,RB,15,8,219,776,43,427,1.9,349,1.6,23,9.5
15,Aaron Jones,GNB,25,RB,15,15,211,984,50,530,2.5,454,2.2,26,8.1
16,Phillip Lindsay,DEN,25,RB,15,15,206,958,38,574,2.8,384,1.9,23,9
17,Todd Gurley,LAR,25,RB,14,14,203,789,49,417,2.1,372,1.8,21,9.7
18,Mark Ingram*,BAL,30,RB,15,15,202,1018,53,489,2.4,529,2.6,18,11.2
19,Saquon Barkley,NYG,22,RB,12,12,200,911,43,396,2,515,2.6,16,12.5
20,Adrian Peterson,WAS,34,RB,14,14,198,820,38,305,1.5,515,2.6,7,28.3
21,Lamar Jackson*,BAL,22,QB,15,15,176,1206,71,864,4.9,342,1.9,3,58.7
22,Miles Sanders,PHI,22,RB,15,10,170,766,28,422,2.5,344,2,16,10.6
23,Devonta Freeman,ATL,27,RB,13,13,166,598,27,331,2,267,1.6,11,15.1
24,Alvin Kamara,NOR,24,RB,13,9,163,758,29,375,2.3,383,2.3,26,6.3
25,Ronald Jones,TAM,22,RB,15,8,161,618,30,237,1.5,381,2.4,23,7
26,Frank Gore,BUF,36,rb,15,7,160,573,29,246,1.5,327,2,7,22.9
27,Kenyan Drake,2TM,25,,13,9,158,757,43,430,2.7,327,2.1,12,13.2
28,Devin Singletary,BUF,22,RB,12,8,151,775,37,410,2.7,365,2.4,20,7.6
29,Peyton Barber,TAM,25,rb,15,7,148,460,23,195,1.3,265,1.8,8,18.5
30,Melvin Gordon,LAC,26,RB,11,10,148,566,35,281,1.9,285,1.9,7,21.1
