player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Christian McCaffrey,11763,HB,SF,1,26,5,1,21.3,23,0,108,0,1,5,56,40.4,2,5,28,0,3,79.3,72.6,77.5,,78.9,73.7,68.7,60.0,23,0,30,6,26,27,0,0,7,32,1,108,56,2.15,4.2,1.15,23
Latavius Murray,7962,HB,DEN,1,24,4,2,43.1,56,0,130,0,0,4,110,73.3,3,9,10,0,13,78.5,85.3,77.0,,83.0,56.4,83.5,60.0,35,0,12,1,13,26,0,0,1,25,1,130,110,4.58,5.4,0.92,11
Najee Harris,57121,HB,PIT,1,24,10,0,0.0,0,0,86,0,0,10,73,126.7,1,5,25,0,7,78.2,77.4,74.9,,78.5,54.0,76.0,60.0,10,0,0,0,9,32,0,0,0,24,1,86,73,3.04,3.6,0.0,17
Zack Moss,40341,HB,IND,1,24,4,0,0.0,0,0,81,1,0,4,51,35.4,2,3,14,0,12,78.2,57.0,77.3,,62.0,30.7,62.5,60.0,11,0,0,0,14,28,0,0,1,24,0,81,51,2.13,3.4,0.0,12
Josh Jacobs,45953,HB,LV,1,22,1,1,19.4,18,0,93,0,0,1,46,8.7,1,6,23,1,14,27.5,69.8,76.8,,80.5,65.9,68.6,,18,0,17,2,22,22,0,0,3,24,0,93,46,2.09,4.2,0.77,7
Alvin Kamara,11822,HB,NO,1,21,3,0,0.0,0,0,91,0,0,3,56,34.8,2,3,20,0,8,77.7,70.8,75.8,,7.5,67.5,71.1,60.0,13,0,13,2,9,24,0,0,2,23,0,91,56,2.67,4.3,1.44,12
Nick Chubb,45783,HB,CLV,1,21,2,1,18.2,18,0,99,1,0,2,72,32.7,3,5,8,0,13,77.4,53.2,76.2,,6.2,30.2,61.4,60.0,18,0,0,0,21,23,0,0,2,21,0,99,72,3.43,4.7,0.0,8
Derrick Henry,10679,HB,TEN,1,21,2,0,0.0,0,0,105,0,0,2,63,24.0,4,6,31,1,9,28.1,60.6,75.8,,77.6,76.6,56.0,60.0,13,0,59,4,13,25,0,0,4,25,1,105,63,3.0,5.0,4.54,10
Travis Etienne,57185,HB,JAX,1,19,2,2,30.1,31,0,103,0,0,2,53,26.6,4,7,15,1,7,25.7,64.4,77.1,,74.3,60.3,64.3,60.0,16,0,24,2,25,23,0,0,2,21,0,103,53,2.79,5.4,0.96,11
Tony Pollard,27126,HB,DAL,1,19,2,1,28.0,21,0,75,0,1,2,65,44.6,2,4,9,0,10,77.5,80.7,77.2,,81.4,87.2,72.8,60.0,21,0,31,4,13,24,0,0,5,23,0,75,65,3.42,3.9,2.38,8
Rhamondre Stevenson,98689,HB,NE,1,19,6,4,58.1,100,0,172,0,0,6,126,189.5,5,6,19,0,10,77.1,89.9,75.5,,84.1,55.9,90.4,60.0,34,0,-4,2,17,21,0,0,3,21,1,172,126,6.63,9.1,-0.24,6
Saquon Barkley,45791,HB,NYG,1,18,2,1,17.2,15,0,87,0,0,2,61,29.5,3,9,21,0,10,77.3,70.6,80.0,,83.2,80.5,62.9,58.7,15,0,33,5,22,23,0,0,8,23,1,87,61,3.39,4.8,1.5,7
