player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
David Moore,11981,WR,CAR,1,12.7,0,55.6,0.0,0,1,0,28.6,2,1,5,0,29.2,69.7,49.7,,52.6,0.0,0,0,10,0.0,0,46,1,5,97.8,45,23.9,11,66.9,9,0,76.1,35,40,9,1.8,8.0,0.89
Terry McLaurin,48229,WR,WAS,1,7.0,0,100.0,100.0,1,1,0,0.0,0,6,32,0,77.3,70.6,77.3,,76.7,0.0,0,0,16,0.0,0,37,0,8,89.2,33,13.5,5,144.3,8,2,86.5,32,73,20,2.5,9.1,2.21
DeAndre Hopkins,7808,WR,KC,1,15.0,0,50.0,0.0,0,1,0,20.0,1,2,16,0,41.6,67.0,69.8,,68.6,0.0,0,0,34,0.0,0,38,0,4,89.5,34,36.8,14,90.6,8,0,63.2,24,90,20,5.0,22.5,2.65
Tyreek Hill,10799,WR,MIA,1,13.0,0,75.0,100.0,2,2,0,0.0,0,4,17,0,74.6,68.8,68.0,,69.5,0.0,0,0,30,0.0,0,46,1,6,91.3,42,41.3,19,147.4,8,1,58.7,27,83,21,3.5,13.8,1.98
Evan Engram,11778,TE,JAX,1,3.4,0,87.5,,0,0,1,0.0,0,2,15,0,75.6,69.5,59.6,,60.6,41.5,17,0,16,0.0,0,41,1,7,95.1,39,41.5,17,88.0,8,0,17.1,7,41,22,3.1,5.9,1.05
Puka Nacua,100632,WR,LA,1,5.5,5,62.5,0.0,0,1,0,16.7,1,4,26,0,46.3,69.1,83.7,,83.8,0.0,0,0,19,0.0,0,22,0,5,95.5,21,31.8,7,122.9,8,1,68.2,15,56,44,8.8,11.2,2.67
Keenan Allen,7857,WR,CHI,1,13.3,1,62.5,100.0,1,1,0,0.0,0,3,6,0,74.6,68.8,68.9,,70.7,0.0,0,0,31,0.0,0,53,1,5,84.9,45,62.3,33,131.8,8,2,37.7,20,73,16,3.2,14.6,1.62
Xavier Legette,99197,WR,CAR,1,12.9,0,50.0,50.0,1,2,0,20.0,1,3,5,0,41.6,67.0,56.8,,56.6,0.0,0,0,21,0.0,0,49,0,4,95.9,47,20.4,10,71.4,8,0,79.6,39,53,11,2.8,13.3,1.13
Isaiah Likely,83955,TE,BLT,1,9.9,0,62.5,,0,0,0,16.7,1,2,3,0,45.8,68.0,55.6,65.7,56.1,38.5,10,0,11,3.8,1,26,0,5,96.2,25,42.3,11,113.5,8,1,19.2,5,38,15,3.0,7.6,1.52
Justin Jefferson,61398,WR,MIN,1,7.6,2,87.5,50.0,1,2,0,0.0,0,4,18,0,75.6,69.5,78.3,,77.5,0.0,0,0,30,0.0,0,40,0,7,95.0,38,15.0,6,118.2,8,0,82.5,33,99,49,7.0,14.1,2.61
Amon-Ra St. Brown,84470,WR,DET,1,13.4,0,71.4,50.0,1,2,0,0.0,0,2,11,0,73.4,68.0,69.6,,69.3,0.0,0,0,29,0.0,0,35,1,5,100.0,35,54.3,19,105.1,7,0,45.7,16,73,13,2.6,14.6,2.09
Nick Westbrook-Ikhine,47861,WR,TEN,1,12.3,0,42.9,100.0,1,1,0,25.0,1,3,31,0,36.2,65.8,66.8,,66.2,0.0,0,0,27,0.0,0,43,1,3,90.7,39,14.0,6,113.7,7,2,86.0,37,61,13,4.3,20.3,1.56
Dalton Schultz,47304,TE,HST,1,4.6,0,71.4,50.0,1,2,0,0.0,0,4,13,0,73.4,68.0,67.9,37.8,82.0,70.0,21,0,22,10.0,3,30,0,5,90.0,27,6.7,2,137.5,7,1,23.3,7,61,37,7.4,12.2,2.26
Darnell Mooney,48236,WR,ATL,1,10.1,0,42.9,100.0,1,1,0,0.0,0,2,2,0,70.5,65.8,59.3,,58.6,0.0,0,2,11,0.0,0,41,0,3,95.1,39,56.1,23,10.7,7,0,43.9,18,20,4,1.3,6.7,0.51
Cade Otton,61071,TE,TB,1,1.0,0,57.1,50.0,1,2,0,20.0,1,1,30,0,41.6,67.0,46.4,74.7,48.2,50.0,20,1,7,7.5,3,40,1,4,87.5,35,37.5,15,22.6,7,0,12.5,5,20,17,4.3,5.0,0.57
Michael Wilson,84423,WR,ARZ,1,11.7,0,71.4,66.7,2,3,0,0.0,0,2,1,0,73.4,68.0,60.2,,64.2,0.0,0,1,22,0.0,0,52,1,5,92.3,48,38.5,20,54.8,7,0,61.5,32,55,8,1.6,11.0,1.15
