player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,1,21,0,26,4.4,0,57.1,50.0,1,2,20.0,1,2,0,41.6,55.2,0,9,0.0,0,23,4,95.7,22,101.8,7,31.8,1,19,12,3.0,4.8,0.86,0,8.5,2,76.9,,0,0,0.0,0,4,0,78.0,85.5,0,21,0.0,0,24,10,100.0,24,95.4,13,54.2,0,91,30,3.0,9.1,3.79
Isaiah Likely,83955,TE,BLT,1,12,0,3,11.0,0,100.0,,0,0,0.0,0,1,0,64.7,74.2,0,15,28.6,2,7,1,71.4,5,118.8,1,20.0,0,15,4,4.0,15.0,3.0,0,5.6,1,87.5,,0,0,0.0,0,3,0,75.6,79.6,0,9,0.0,0,21,7,100.0,21,91.1,8,38.1,0,47,38,5.4,6.7,2.24
Tyreek Hill,10799,WR,MIA,1,12,0,17,15.9,3,37.5,0.0,0,1,0.0,0,2,0,70.5,77.8,0,80,0.0,0,26,3,88.5,23,120.8,8,34.8,1,92,56,18.7,30.7,4.0,0,6.3,0,100.0,100.0,1,1,0.0,0,2,0,70.5,78.8,0,21,0.0,0,11,3,100.0,11,118.8,3,27.3,0,41,22,7.3,13.7,3.73
Courtland Sutton,48164,WR,DEN,1,11,0,10,8.0,0,50.0,0.0,0,1,0.0,0,1,0,64.7,65.3,0,10,0.0,0,9,1,100.0,9,64.6,2,22.2,0,10,1,1.0,10.0,1.11,0,12.7,0,33.3,,0,0,33.3,1,0,0,30.0,47.9,2,7,0.0,0,29,2,100.0,29,2.8,6,20.7,0,11,3,1.5,5.5,0.38
Wan'Dale Robinson,101735,WR,NYG,1,11,0,21,5.0,0,100.0,,0,0,0.0,0,1,0,64.7,76.1,0,5,0.0,0,2,1,50.0,1,87.5,1,100.0,0,5,0,0.0,5.0,5.0,0,6.0,1,50.0,100.0,1,1,0.0,0,1,0,70.5,69.9,1,15,0.0,0,27,3,100.0,27,26.4,6,22.2,0,32,7,2.3,10.7,1.19
Garrett Wilson,97405,WR,NYJ,1,11,0,22,7.3,1,50.0,33.3,1,3,0.0,0,1,0,68.3,78.4,1,16,0.0,0,11,2,90.9,10,29.2,4,40.0,0,24,11,5.5,12.0,2.4,0,11.3,0,50.0,,0,0,0.0,0,1,0,70.5,53.0,0,14,0.0,0,17,3,100.0,17,63.2,6,35.3,0,28,15,5.0,9.3,1.65
A.J. Brown,48327,WR,PHI,1,9,0,24,13.3,0,66.7,0.0,0,1,0.0,0,2,0,68.3,89.1,0,67,0.0,0,12,2,91.7,11,149.3,3,27.3,1,75,43,21.5,37.5,6.82,0,12.5,0,50.0,,0,0,0.0,0,2,0,68.3,67.3,1,20,0.0,0,21,2,100.0,21,38.5,4,19.0,0,33,16,8.0,16.5,1.57
Rashee Rice,97605,WR,KC,1,9,0,16,2.0,0,100.0,,0,0,0.0,0,1,0,70.5,64.8,0,11,0.0,0,12,3,91.7,11,94.4,3,27.3,0,20,14,4.7,6.7,1.82,0,7.6,2,60.0,,0,0,0.0,0,3,0,70.5,86.9,1,33,0.0,0,13,3,92.3,12,64.6,5,41.7,0,67,47,15.7,22.3,5.58
CeeDee Lamb,61570,WR,DAL,1,9,0,9,9.3,2,50.0,25.0,1,4,25.0,1,2,0,36.8,80.0,0,34,0.0,0,10,3,100.0,10,80.6,6,60.0,0,53,24,8.0,17.7,5.3,0,16.0,1,66.7,50.0,1,2,0.0,0,0,0,68.3,54.4,0,5,0.0,0,19,2,94.7,18,70.1,3,16.7,0,8,7,3.5,4.0,0.44
Deebo Samuel,48274,WR,SF,1,9,0,28,16.5,0,50.0,,0,0,0.0,0,1,0,64.7,67.7,0,15,0.0,0,8,1,87.5,7,75.0,2,28.6,0,15,5,5.0,15.0,2.14,0,6.9,1,57.1,0.0,0,2,0.0,0,2,0,72.1,78.4,0,25,0.0,0,20,4,90.0,18,72.9,7,38.9,0,39,30,7.5,9.8,2.17
