player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
A.J. Brown,48327,WR,PHI,1,10.7,2,53.3,25.0,1,4,0,0.0,0,4,24,0,76.5,70.1,75.0,,73.0,0.0,0,1,45,0.0,0,40,0,8,92.5,37,10.0,4,67.9,15,1,90.0,36,97,26,3.3,12.1,2.62
Malik Nabers,146759,WR,NYG,1,9.2,3,50.0,25.0,1,4,1,0.0,0,3,21,0,77.3,70.6,75.6,,74.4,0.0,0,1,21,0.0,0,42,2,7,95.2,40,28.6,12,34.2,14,0,71.4,30,68,38,5.4,9.7,1.7
Brock Bowers,146715,TE,LV,1,3.5,0,84.6,100.0,3,3,0,8.3,1,6,23,0,61.8,71.9,81.4,70.2,81.6,41.3,19,0,32,2.2,1,46,0,11,84.8,39,45.7,21,98.4,13,0,13.0,6,99,62,5.6,9.0,2.54
Davante Adams,8688,WR,NYJ,1,8.2,0,53.8,0.0,0,1,0,0.0,0,5,22,0,76.5,70.1,71.7,,71.3,0.0,0,0,13,0.0,0,49,0,7,89.8,44,42.9,21,94.4,13,1,57.1,28,68,39,5.6,9.7,1.55
Brian Thomas Jr.,146760,WR,JAX,1,10.0,0,75.0,100.0,2,2,0,0.0,0,4,15,0,60.2,71.5,76.5,,75.1,0.0,0,0,62,0.0,0,43,0,9,88.4,38,30.2,13,138.2,12,1,69.8,30,132,57,6.3,14.7,3.47
Jaxon Smith-Njigba,129758,WR,SEA,1,12.6,1,66.7,40.0,2,5,0,0.0,0,5,29,0,76.5,70.8,75.8,,75.3,0.0,0,0,25,0.0,0,45,0,8,95.6,43,80.0,36,118.4,12,1,20.0,9,95,27,3.4,11.9,2.21
Wan'Dale Robinson,101735,WR,NYG,1,3.6,4,58.3,25.0,1,4,0,0.0,0,3,21,0,75.6,69.5,66.4,,67.7,0.0,0,1,15,0.0,0,43,1,7,95.3,41,74.4,32,37.5,12,0,25.6,11,62,51,7.3,8.9,1.51
Justin Jefferson,61398,WR,MIN,1,11.4,0,83.3,100.0,3,3,0,0.0,0,6,18,0,78.0,71.1,81.5,,83.3,0.0,0,0,39,0.0,0,42,1,10,95.2,40,23.8,10,156.3,12,2,73.8,31,144,28,2.8,14.4,3.6
Keenan Allen,7857,WR,CHI,1,12.0,0,75.0,100.0,3,3,0,0.0,0,7,6,0,77.3,70.6,83.2,,87.7,0.0,0,0,45,0.0,0,45,1,9,95.6,43,55.6,25,141.3,12,1,44.4,20,141,46,5.1,15.7,3.28
Tee Higgins,61211,WR,CIN,1,7.5,1,72.7,50.0,1,2,0,0.0,0,2,7,0,76.5,70.1,75.0,,74.3,0.0,0,0,21,0.0,0,28,0,8,100.0,28,7.1,2,115.0,11,1,92.9,26,58,13,1.6,7.3,2.07
