player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Derius Davis,78196,WR,LAC,1,2,0,27,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,-6.0,0,100.0,,0,0,0.0,0,0,0,68.3,60.8,0,3,0.0,0,3,2,100.0,3,79.2,2,66.7,0,4,16,8.0,2.0,1.33
Brevyn Spann-Ford,84006,TE,DAL,1,2,0,9,,0,,,0,0,,0,0,0,,52.6,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,50.8,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0
Tommy Tremble,84025,TE,CAR,1,2,0,5,3.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,56.5,0,5,40.0,4,10,1,50.0,5,87.5,1,20.0,0,5,2,2.0,5.0,1.0,0,,0,,,0,0,,0,0,0,,50.2,0,0,11.8,2,17,0,76.5,13,0.0,0,0.0,0,0,0,,,0.0
Greg Dortch,42237,WR,ARZ,1,2,0,1,,0,,,0,0,,0,0,0,,59.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,27.0,0,0.0,0.0,0,1,,0,0,0,,56.6,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0
Jalen Nailor,84292,WR,MIN,1,2,0,18,,0,,,0,0,,0,0,0,,56.8,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,13.0,0,0.0,0.0,0,1,100.0,1,0,0,27.9,44.7,0,0,0.0,0,20,0,90.0,18,39.6,1,5.6,0,0,0,,,0.0
Carson Steele,145632,HB,KC,1,2,0,16,-3.0,0,0.0,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,55.9,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0
Kylen Granson,40630,TE,IND,1,2,0,14,,0,,,0,0,,0,0,0,,53.5,0,0,0.0,0,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0,0,8.0,0,0.0,,0,0,100.0,1,0,0,28.8,51.0,0,0,0.0,0,16,0,87.5,14,39.6,2,14.3,0,0,0,,,0.0
Julian Hill,88685,TE,MIA,1,2,0,17,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,4.0,0,50.0,,0,0,50.0,1,0,0,28.8,33.2,0,8,10.0,1,10,1,90.0,9,60.4,2,22.2,0,8,5,5.0,8.0,0.89
Malik Washington,97108,WR,MIA,1,2,0,17,-1.0,0,0.0,0.0,0,1,,0,0,0,,56.0,0,0,0.0,0,5,0,80.0,4,39.6,1,25.0,0,0,0,,,0.0,0,-4.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.8,0,1,0.0,0,7,1,100.0,7,79.2,1,14.3,0,1,5,5.0,1.0,0.14
Devin Singletary,40485,HB,NYG,1,2,0,21,,0,,,0,0,,0,0,0,,57.7,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,0.5,0,100.0,,0,0,0.0,0,1,0,68.3,61.0,0,10,21.4,3,14,2,71.4,10,81.3,2,20.0,0,7,6,3.0,3.5,0.7
