,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Joe Mixon,CIN,26,RB,2,2,46,139,4,100,2.2,39,0.8,2,23
2,Leonard Fournette,TAM,27,RB,2,2,45,192,7,118,2.6,74,1.6,3,15
3,Jonathan Taylor,IND,23,RB,2,2,40,215,12,151,3.8,64,1.6,6,6.7
4,Saquon Barkley,NYG,25,RB,2,2,39,236,10,82,2.1,154,3.9,0,
5,Nick Chubb,CLE,27,RB,2,2,39,228,11,146,3.7,82,2.1,4,9.8
6,Derrick Henry,TEN,28,RB,2,2,34,107,2,40,1.2,67,2,2,17
7,James Robinson,JAX,24,RB,2,2,34,130,8,56,1.6,74,2.2,3,11.3
8,David Montgomery,CHI,25,RB,2,2,32,148,6,53,1.7,95,3,8,4
9,Cordarrelle Patterson,ATL,31,RB,2,1,32,161,12,84,2.6,77,2.4,0,
10,Miles Sanders,PHI,25,RB,2,2,30,176,9,83,2.8,93,3.1,2,15
11,Josh Jacobs,LVR,24,RB,2,2,29,126,5,41,1.4,85,2.9,6,4.8
12,AJ Dillon,GNB,24,RB,2,0,28,106,9,56,2,50,1.8,3,9.3
13,Austin Ekeler,LAC,27,RB,2,2,28,75,4,32,1.1,43,1.5,0,
14,Antonio Gibson,WAS,24,RB,2,2,28,86,6,61,2.2,25,0.9,1,28
15,Jalen Hurts,PHI,24,QB,2,2,28,147,9,123,4.4,24,0.9,4,7
16,Jeff Wilson,SFO,27,RB,2,1,27,106,4,80,3,26,1,1,27
17,Dalvin Cook,MIN,27,RB,2,2,26,107,6,66,2.5,41,1.6,2,13
18,Dameon Pierce,HOU,22,RB,2,2,26,102,8,54,2.1,48,1.8,5,5.2
19,Ezekiel Elliott,DAL,27,RB,2,2,25,105,6,63,2.5,42,1.7,0,
20,Najee Harris,PIT,24,RB,2,2,25,72,3,54,2.2,18,0.7,0,
21,Christian McCaffrey,CAR,26,RB,2,2,25,135,8,66,2.6,69,2.8,1,25
22,Damien Harris,NWE,25,RB,2,2,24,119,6,62,2.6,57,2.4,2,12
23,Kareem Hunt,CLE,27,RB,2,0,24,104,7,64,2.7,40,1.7,2,12
24,Darrell Henderson,LAR,25,RB,2,2,23,94,6,64,2.8,30,1.3,0,
25,Jamaal Williams,DET,27,RB,2,0,23,81,5,59,2.6,22,1,1,23
26,Melvin Gordon,DEN,29,RB,2,0,22,105,3,41,1.9,64,2.9,4,5.5
27,Javonte Williams,DEN,22,RB,2,2,22,118,6,55,2.5,63,2.9,4,5.5
28,Aaron Jones,GNB,28,RB,2,2,20,181,10,74,3.7,107,5.4,1,20
29,D'Andre Swift,DET,23,RB,2,2,20,200,6,123,6.2,77,3.9,2,10
30,Justin Fields,CHI,23,QB,2,2,19,48,5,34,1.8,14,0.7,2,9.5
31,Cam Akers,LAR,23,RB,2,0,18,44,2,11,0.6,33,1.8,0,
32,Marcus Mariota,ATL,29,QB,2,2,18,88,4,73,4.1,15,0.8,0,
33,Rashaad Penny,SEA,26,RB,2,2,18,75,2,20,1.1,55,3.1,2,9
34,Michael Carter,NYJ,23,RB,2,2,17,83,2,60,3.5,23,1.4,4,4.3
35,James Conner,ARI,27,RB,2,2,17,51,4,21,1.2,30,1.8,0,
36,Kenyan Drake,BAL,28,RB,2,2,17,39,1,29,1.7,10,0.6,0,
37,Chase Edmonds,MIA,26,RB,2,1,17,58,2,37,2.2,21,1.2,0,
38,Rhamondre Stevenson,NWE,24,RB,2,0,17,72,4,39,2.3,33,1.9,1,17
39,Daniel Jones,NYG,25,QB,2,2,16,46,6,41,2.6,5,0.3,0,
40,Trey Lance,SFO,22,QB,2,2,16,67,7,50,3.1,17,1.1,2,8
41,Raheem Mostert,MIA,30,RB,2,1,16,67,3,38,2.4,29,1.8,3,5.3
42,Clyde Edwards-Helaire,KAN,23,RB,2,2,15,116,2,32,2.1,84,5.6,0,
43,Lamar Jackson,BAL,25,QB,2,2,15,136,5,118,7.9,18,1.2,2,7.5
44,Tony Pollard,DAL,25,RB,2,1,15,51,3,28,1.9,23,1.5,0,
45,Rex Burkhead,HOU,32,RB,2,0,14,40,1,31,2.2,9,0.6,1,14
46,Tyrion Davis-Price,SFO,22,RB,1,0,14,33,2,9,0.6,24,1.7,1,14
47,Mark Ingram,NOR,33,RB,2,1,14,82,5,59,4.2,23,1.6,1,14
48,Isiah Pacheco,KAN,22,RB,2,0,14,68,4,16,1.1,52,3.7,0,
49,Devin Singletary,BUF,25,RB,2,2,14,67,3,44,3.1,23,1.6,1,14
50,Travis Etienne,JAX,23,RB,2,0,13,67,3,30,2.3,37,2.8,0,
51,Breece Hall,NYJ,21,RB,2,0,13,73,2,56,4.3,17,1.3,0,
52,Khalil Herbert,CHI,24,RB,2,0,13,83,4,65,5,18,1.4,1,13
53,Eno Benjamin,ARI,23,RB,2,0,12,59,3,29,2.4,30,2.5,2,6
54,James Cook,BUF,23,RB,2,0,12,55,3,10,0.8,45,3.8,0,
55,Deebo Samuel,SFO,26,WR,2,2,12,105,4,34,2.8,71,5.9,2,6
56,Josh Allen,BUF,26,QB,2,2,11,66,5,39,3.5,27,2.5,0,
57,Baker Mayfield,CAR,27,QB,2,2,11,41,3,33,3,8,0.7,0,
58,Sony Michel,LAC,27,RB,2,0,11,25,1,7,0.6,18,1.6,0,
59,Tyler Allgeier,ATL,22,RB,1,0,10,30,1,14,1.4,16,1.6,0,
60,Jacoby Brissett,CLE,30,QB,2,2,10,53,4,49,4.9,4,0.4,0,
61,Joe Burrow,CIN,26,QB,2,2,10,73,4,69,6.9,4,0.4,0,
62,Alexander Mattison,MIN,24,RB,2,0,10,44,2,18,1.8,26,2.6,2,5
63,Kyler Murray,ARI,25,QB,2,2,10,57,5,57,5.7,0,0,0,
