,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Saquon Barkley,NYG,25,RB,7,7,143,726,28,369,2.6,357,2.5,5,28.6
2,Derrick Henry,TEN,28,RB,6,6,134,536,25,242,1.8,294,2.2,14,9.6
3,Nick Chubb,CLE,27,RB,7,7,126,740,34,392,3.1,348,2.8,13,9.7
4,Joe Mixon,CIN,26,RB,7,7,121,405,22,290,2.4,115,1,5,24.2
5,Josh Jacobs,LVR,24,RB,6,6,111,633,36,261,2.4,372,3.4,12,9.3
6,Ezekiel Elliott,DAL,27,RB,7,7,109,443,26,259,2.4,184,1.7,4,27.3
7,Dameon Pierce,HOU,22,RB,6,6,106,504,28,186,1.8,318,3,16,6.6
8,Miles Sanders,PHI,25,RB,6,6,105,485,23,291,2.8,194,1.8,7,15
9,Leonard Fournette,TAM,27,RB,7,7,103,362,20,189,1.8,173,1.7,4,25.8
10,Najee Harris,PIT,24,RB,7,7,100,329,13,201,2,128,1.3,7,14.3
11,Rhamondre Stevenson,NWE,24,RB,7,2,98,487,25,247,2.5,240,2.4,12,8.2
12,Dalvin Cook,MIN,27,RB,6,6,94,450,22,256,2.7,194,2.1,9,10.4
13,Christian McCaffrey,2TM,26,,7,6,93,431,22,242,2.6,189,2,4,23.3
14,Jamaal Williams,DET,27,RB,6,3,92,411,23,238,2.6,173,1.9,3,30.7
15,Jonathan Taylor,IND,23,RB,5,5,91,386,22,235,2.6,151,1.7,12,7.6
16,Jeff Wilson,SFO,27,RB,7,5,88,454,21,338,3.8,116,1.3,3,29.3
17,Raheem Mostert,MIA,30,RB,7,5,87,388,18,241,2.8,147,1.7,6,14.5
18,Austin Ekeler,LAC,27,RB,7,7,84,380,18,245,2.9,135,1.6,2,42
19,James Robinson,JAX,24,RB,7,5,81,340,18,222,2.7,118,1.5,4,20.3
20,Breece Hall,NYJ,21,RB,7,2,80,463,20,332,4.2,131,1.6,3,26.7
21,Aaron Jones,GNB,28,RB,7,7,78,432,25,222,2.8,210,2.7,4,19.5
22,AJ Dillon,GNB,24,RB,7,2,77,301,16,190,2.5,111,1.4,3,25.7
23,Jalen Hurts,PHI,24,QB,6,6,77,293,23,248,3.2,45,0.6,4,19.3
24,Alvin Kamara,NOR,27,RB,5,5,77,351,16,208,2.7,143,1.9,5,15.4
25,David Montgomery,CHI,25,RB,6,6,77,308,13,113,1.5,195,2.5,11,7
26,Khalil Herbert,CHI,24,RB,7,1,75,464,17,236,3.1,228,3,7,10.7
27,Antonio Gibson,WAS,24,RB,7,5,71,273,17,159,2.2,114,1.6,4,17.8
28,Tyler Allgeier,ATL,22,RB,6,3,70,285,13,162,2.3,123,1.8,0,
29,Travis Etienne,JAX,23,RB,7,2,68,415,15,266,3.9,149,2.2,2,34
30,Justin Fields,CHI,23,QB,7,7,68,364,25,272,4,92,1.4,5,13.6
31,Tony Pollard,DAL,25,RB,7,1,67,375,15,162,2.4,213,3.2,6,11.2
32,Kenneth Walker III,SEA,22,RB,6,2,67,410,17,222,3.3,188,2.8,6,11.2
33,Michael Carter,NYJ,23,RB,7,5,66,228,8,163,2.5,65,1,5,13.2
34,Melvin Gordon,DEN,29,RB,7,3,66,234,10,108,1.6,126,1.9,5,13.2
35,Kareem Hunt,CLE,27,RB,7,0,66,263,17,136,2.1,127,1.9,4,16.5
36,Lamar Jackson,BAL,25,QB,7,7,66,510,28,378,5.7,132,2,10,6.6
37,Clyde Edwards-Helaire,KAN,23,RB,7,6,65,288,13,124,1.9,164,2.5,3,21.7
38,Damien Harris,NWE,25,RB,6,5,60,265,13,169,2.8,96,1.6,4,15
39,Daniel Jones,NYG,25,QB,7,7,58,343,29,274,4.7,69,1.2,1,58
40,Cordarrelle Patterson,ATL,31,RB,4,3,58,340,19,206,3.6,134,2.3,0,
41,Eno Benjamin,ARI,23,RB,7,2,57,265,12,136,2.4,129,2.3,7,8.1
42,Rashaad Penny,SEA,26,RB,5,5,57,346,15,169,3,177,3.1,2,28.5
43,Devin Singletary,BUF,25,RB,6,6,57,256,10,166,2.9,90,1.6,2,28.5
44,James Conner,ARI,27,RB,5,5,54,200,16,126,2.3,74,1.4,1,54
45,Cam Akers,LAR,23,RB,5,2,51,151,8,65,1.3,86,1.7,1,51
46,Mark Ingram,NOR,33,RB,7,2,51,196,11,118,2.3,78,1.5,4,12.8
47,Marcus Mariota,ATL,29,QB,7,7,49,237,16,212,4.3,25,0.5,0,
48,Josh Allen,BUF,26,QB,6,6,47,257,21,160,3.4,97,2.1,0,
49,Javonte Williams,DEN,22,RB,4,4,47,204,9,94,2,110,2.3,6,7.8
50,Darrell Henderson,LAR,25,RB,6,4,46,181,9,112,2.4,69,1.5,1,46
51,Brian Robinson Jr.,WAS,23,RB,3,2,46,155,9,82,1.8,73,1.6,2,23
52,Kyler Murray,ARI,25,QB,7,7,45,263,17,245,5.4,18,0.4,2,22.5
53,Kenyan Drake,BAL,28,RB,5,2,42,189,8,154,3.7,35,0.8,0,
54,Caleb Huntley,ATL,24,RB,5,0,41,174,11,95,2.3,79,1.9,0,
55,Isiah Pacheco,KAN,22,RB,7,1,39,192,5,96,2.5,96,2.5,1,39
56,Chase Edmonds,MIA,26,RB,7,2,38,106,5,69,1.8,37,1,0,
57,J.K. Dobbins,BAL,24,RB,4,4,35,123,10,59,1.7,64,1.8,3,11.7
58,Latavius Murray,2TM,32,,3,0,34,147,8,85,2.5,62,1.8,0,
59,Sony Michel,LAC,27,RB,7,0,33,91,6,31,0.9,60,1.8,3,11
60,Joe Burrow,CIN,26,QB,7,7,30,130,11,126,4.2,4,0.1,0,
61,Alexander Mattison,MIN,24,RB,6,0,30,97,6,51,1.7,46,1.5,5,6
62,Geno Smith,SEA,32,QB,7,7,30,132,9,121,4,11,0.4,1,30
