,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Saquon Barkley,NYG,25,RB,4,4,84,463,17,218,2.6,245,2.9,3,28
2,Joe Mixon,CIN,26,RB,4,4,82,224,10,161,2,63,0.8,2,41
3,Nick Chubb,CLE,27,RB,4,4,81,459,21,236,2.9,223,2.8,8,10.1
4,Jonathan Taylor,IND,23,RB,4,4,81,328,18,214,2.6,114,1.4,11,7.4
5,Derrick Henry,TEN,28,RB,4,4,76,306,11,153,2,153,2,7,10.9
6,Miles Sanders,PHI,25,RB,4,4,72,356,18,199,2.8,157,2.2,4,18
7,Josh Jacobs,LVR,24,RB,4,4,70,336,17,107,1.5,229,3.3,8,8.8
8,Dalvin Cook,MIN,27,RB,4,4,63,279,15,174,2.8,105,1.7,6,10.5
9,Jamaal Williams,DET,27,RB,4,1,62,276,16,155,2.5,121,2,2,31
10,Leonard Fournette,TAM,27,RB,4,4,60,224,8,130,2.2,94,1.6,3,20
11,Dameon Pierce,HOU,22,RB,4,4,60,313,15,122,2,191,3.2,7,8.6
12,Ezekiel Elliott,DAL,27,RB,4,4,59,227,11,116,2,111,1.9,2,29.5
13,James Robinson,JAX,24,RB,4,4,59,259,13,165,2.8,94,1.6,4,14.8
14,Najee Harris,PIT,24,RB,4,4,58,202,10,127,2.2,75,1.3,2,29
15,Christian McCaffrey,CAR,26,RB,4,4,58,270,15,140,2.4,130,2.2,1,58
16,Cordarrelle Patterson,ATL,31,RB,4,3,58,340,19,206,3.6,134,2.3,0,
17,AJ Dillon,GNB,24,RB,4,1,57,211,13,119,2.1,92,1.6,3,19
18,Jeff Wilson,SFO,27,RB,4,2,57,255,9,188,3.3,67,1.2,1,57
19,Antonio Gibson,WAS,24,RB,4,4,53,173,11,94,1.8,79,1.5,3,17.7
20,Damien Harris,NWE,25,RB,4,4,53,246,13,157,3,89,1.7,4,13.3
21,Jalen Hurts,PHI,24,QB,4,4,53,205,14,166,3.1,39,0.7,4,13.3
22,Khalil Herbert,CHI,24,RB,4,1,52,317,14,192,3.7,125,2.4,5,10.4
