,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,28,RB,7,7,166,755,35,333,2,422,2.5,18,9.2
2,Saquon Barkley,NYG,25,RB,8,8,163,779,32,398,2.4,381,2.3,7,23.3
3,Nick Chubb,CLE,27,RB,8,8,149,841,39,451,3,390,2.6,17,8.8
4,Joe Mixon,CIN,26,RB,8,8,129,432,23,301,2.3,131,1,5,25.8
5,Josh Jacobs,LVR,24,RB,7,7,121,676,38,271,2.2,405,3.3,12,10.1
6,Dameon Pierce,HOU,22,RB,7,7,121,539,32,208,1.7,331,2.7,17,7.1
7,Dalvin Cook,MIN,27,RB,7,7,114,561,28,314,2.8,247,2.2,10,11.4
8,Miles Sanders,PHI,25,RB,7,7,114,563,29,362,3.2,201,1.8,7,16.3
9,Rhamondre Stevenson,NWE,24,RB,8,2,114,558,28,249,2.2,309,2.7,16,7.1
10,Leonard Fournette,TAM,27,RB,8,8,112,386,23,204,1.8,182,1.6,4,28
11,Christian McCaffrey,2TM,26,,8,7,111,525,27,327,2.9,198,1.8,6,18.5
12,Ezekiel Elliott,DAL,27,RB,7,7,109,443,26,259,2.4,184,1.7,4,27.3
13,Najee Harris,PIT,24,RB,8,8,108,361,15,222,2.1,139,1.3,7,15.4
14,Jonathan Taylor,IND,23,RB,6,6,107,462,24,286,2.7,176,1.6,12,8.9
15,Jamaal Williams,DET,27,RB,7,4,102,464,29,281,2.8,183,1.8,3,34
16,Raheem Mostert,MIA,30,RB,8,6,101,452,22,293,2.9,159,1.6,6,16.8
17,Aaron Jones,GNB,28,RB,8,8,98,575,32,317,3.2,258,2.6,6,16.3
18,Alvin Kamara,NOR,27,RB,6,5,95,413,20,236,2.5,177,1.9,6,15.8
19,Travis Etienne,JAX,23,RB,8,3,92,571,26,329,3.6,242,2.6,9,10.2
20,David Montgomery,CHI,25,RB,7,7,92,361,18,137,1.5,224,2.4,11,8.4
21,Jeff Wilson,SFO,27,RB,8,6,92,468,23,352,3.8,116,1.3,3,30.7
22,Khalil Herbert,CHI,24,RB,8,1,91,563,20,313,3.4,250,2.7,7,13
23,AJ Dillon,GNB,24,RB,8,2,87,355,20,226,2.6,129,1.5,3,29
24,James Robinson,2TM,24,,8,5,86,357,18,232,2.7,125,1.5,4,21.5
25,Kenneth Walker III,SEA,22,RB,7,3,85,461,20,251,3,210,2.5,7,12.1
26,Tyler Allgeier,ATL,22,RB,7,4,84,324,15,191,2.3,133,1.6,0,
27,Austin Ekeler,LAC,27,RB,7,7,84,380,18,245,2.9,135,1.6,2,42
28,Tony Pollard,DAL,25,RB,8,2,81,506,21,218,2.7,288,3.6,6,13.5
29,Breece Hall,NYJ,21,RB,7,2,80,463,20,332,4.2,131,1.6,3,26.7
30,Jalen Hurts,PHI,24,QB,7,7,79,303,25,258,3.3,45,0.6,4,19.8
31,Antonio Gibson,WAS,24,RB,8,6,78,292,18,169,2.2,123,1.6,4,19.5
32,Kareem Hunt,CLE,27,RB,8,0,77,305,19,151,2,154,2,5,15.4
33,Justin Fields,CHI,23,QB,8,8,76,424,30,311,4.1,113,1.5,5,15.2
34,Melvin Gordon,DEN,29,RB,8,4,75,263,12,122,1.6,141,1.9,5,15
35,Lamar Jackson,BAL,25,QB,8,8,75,553,31,401,5.3,152,2,10,7.5
36,Michael Carter,NYJ,23,RB,8,6,73,254,9,176,2.4,78,1.1,5,14.6
37,Damien Harris,NWE,25,RB,7,6,71,302,16,188,2.6,114,1.6,4,17.8
38,Devin Singletary,BUF,25,RB,7,7,71,323,13,215,3,108,1.5,2,35.5
39,Eno Benjamin,ARI,23,RB,8,3,66,287,14,144,2.2,143,2.2,7,9.4
40,Clyde Edwards-Helaire,KAN,23,RB,7,6,65,288,13,124,1.9,164,2.5,3,21.7
41,Daniel Jones,NYG,25,QB,8,8,64,363,29,294,4.6,69,1.1,1,64
42,Cordarrelle Patterson,ATL,31,RB,4,3,58,340,19,206,3.6,134,2.3,0,
43,Caleb Huntley,ATL,24,RB,6,0,57,265,14,133,2.3,132,2.3,0,
44,Rashaad Penny,SEA,26,RB,5,5,57,346,15,169,3,177,3.1,2,28.5
45,Marcus Mariota,ATL,29,QB,8,8,55,280,18,225,4.1,55,1,0,
46,James Conner,ARI,27,RB,5,5,54,200,16,126,2.3,74,1.4,1,54
47,Brian Robinson Jr.,WAS,23,RB,4,2,54,175,12,91,1.7,84,1.6,2,27
48,Josh Allen,BUF,26,QB,7,7,53,306,24,204,3.8,102,1.9,1,53
49,D'Onta Foreman,CAR,26,RB,8,1,53,273,12,162,3.1,111,2.1,1,53
50,Cam Akers,LAR,23,RB,5,2,51,151,8,65,1.3,86,1.7,1,51
51,Mark Ingram,NOR,33,RB,8,3,51,196,11,118,2.3,78,1.5,4,12.8
52,Kyler Murray,ARI,25,QB,8,8,51,299,17,278,5.5,21,0.4,2,25.5
53,Darrell Henderson,LAR,25,RB,7,4,50,197,9,128,2.6,69,1.4,1,50
54,Kenyan Drake,BAL,28,RB,6,3,49,251,10,200,4.1,51,1,0,
55,Latavius Murray,2TM,32,,4,0,48,193,10,103,2.1,90,1.9,4,12
56,Javonte Williams,DEN,22,RB,4,4,47,204,9,94,2,110,2.3,6,7.8
57,Chase Edmonds,MIA,26,RB,8,2,42,120,6,83,2,37,0.9,0,
58,Taysom Hill,NOR,32,TE,7,2,39,337,21,230,5.9,107,2.7,1,39
59,Isiah Pacheco,KAN,22,RB,7,1,39,192,5,96,2.5,96,2.5,1,39
60,J.K. Dobbins,BAL,24,RB,4,4,35,123,10,59,1.7,64,1.8,3,11.7
61,Alexander Mattison,MIN,24,RB,7,0,35,137,9,79,2.3,58,1.7,6,5.8
62,Geno Smith,SEA,32,QB,8,8,35,158,10,141,4,17,0.5,1,35
63,Sony Michel,LAC,27,RB,7,0,33,91,6,31,0.9,60,1.8,3,11
64,D'Andre Swift,DET,23,RB,4,3,32,237,7,153,4.8,84,2.6,2,16
65,Jacoby Brissett,CLE,30,QB,8,8,31,142,19,91,2.9,51,1.6,1,31
66,Joe Burrow,CIN,26,QB,8,8,31,132,12,126,4.1,6,0.2,0,
67,Deon Jackson,IND,23,RB,8,1,30,100,8,60,2,40,1.3,1,30
68,Rachaad White,TAM,23,RB,8,0,30,90,9,43,1.4,47,1.6,2,15
