Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
86,Noah Fant,SEA,25,TE,8,8,28,22,176,1,7,87,4,89,4,5.7,0,,0,0,0,104.8
87,DeAndre Hopkins,ARI,30,WR,2,2,27,22,262,1,13,230,10.5,32,1.5,10.9,0,,3,11.1,0,119.4
88,Josh Jacobs,LVR,24,RB,7,7,26,22,152,0,8,-24,-1.1,176,8,-1,2,11,1,3.8,0,91
89,Marvin Jones,JAX,32,WR,7,5,41,22,265,1,14,214,9.7,51,2.3,13.3,0,,3,7.3,1,71.7
90,Allen Robinson,LAR,29,WR,7,7,36,22,224,2,13,171,7.8,53,2.4,9.3,0,,0,0,1,85.9
91,Irv Smith Jr.,MIN,24,TE,7,0,33,22,168,2,9,79,3.6,89,4,4.7,0,,2,6.1,1,86.4
92,Marquez Valdes-Scantling,KAN,28,WR,7,5,38,22,369,0,16,272,12.4,97,4.4,12.2,0,,2,5.3,1,79.8
93,Robert Woods,TEN,30,WR,7,6,34,22,256,1,15,171,7.8,85,3.9,8.1,0,,2,5.9,2,72.7
94,Will Dissly,SEA,26,TE,8,8,22,21,206,3,11,95,4.5,111,5.3,4.5,0,,1,4.5,0,145.3
95,Mike Gesicki,MIA,27,TE,8,1,30,21,235,4,13,163,7.8,72,3.4,9.3,1,21,2,6.7,1,118.7
96,Juwan Johnson,NOR,26,TE,8,4,34,21,216,2,10,143,6.8,73,3.5,7.6,0,,0,0,1,87.4
97,K.J. Osborn,MIN,25,WR,7,6,31,21,185,2,8,130,6.2,55,2.6,8.1,0,,1,3.2,0,104.9
98,Kyle Pitts,ATL,22,TE,7,7,39,21,258,2,14,162,7.7,96,4.6,11.3,0,,2,5.1,0,91.6
99,Kylen Granson,IND,24,TE,8,3,26,20,176,0,10,88,4.4,88,4.4,5,0,,1,3.8,1,78.4
100,Richie James,NYG,27,WR,8,1,26,20,191,0,9,140,7,51,2.6,8.1,1,20,1,3.8,0,96.8
101,Dameon Pierce,HOU,22,RB,7,7,24,20,98,1,4,-21,-1.1,119,6,0,4,5,1,4.2,0,97.6
102,Dalton Schultz,DAL,26,TE,6,6,29,20,203,0,7,132,6.6,71,3.6,5.8,0,,1,3.4,0,88.7
103,Olamide Zaccheaus,ATL,25,WR,8,5,23,20,312,2,16,219,11,93,4.7,10.5,0,,0,0,0,147.7
104,DeAndre Carter,LAC,29,WR,7,4,28,19,229,1,12,162,8.5,67,3.5,9.1,0,,0,0,1,89.7
105,Corey Davis,NYJ,27,WR,7,5,34,19,351,2,17,292,15.4,59,3.1,15.3,0,,1,2.9,0,111.3
106,Breece Hall,NYJ,21,RB,7,2,31,19,218,1,8,47,2.5,171,9,4.7,2,9.5,5,16.1,1,79.8
107,Mecole Hardman,KAN,24,WR,7,5,25,19,218,3,11,112,5.9,106,5.6,8.6,1,19,0,0,0,141.3
108,Kareem Hunt,CLE,27,RB,8,0,23,19,117,1,7,-4,-0.2,121,6.4,0,5,3.8,3,13,0,102.4
109,Randall Cobb,GNB,32,WR,6,1,26,18,257,0,12,122,6.8,135,7.5,10.7,0,,0,0,1,84.9
110,Nico Collins,HOU,23,WR,6,4,30,18,305,0,12,230,12.8,75,4.2,13.7,0,,0,0,1,80.6
111,Isaiah McKenzie,BUF,27,WR,6,5,27,18,170,3,10,121,6.7,49,2.7,6.4,0,,2,7.4,1,105.5
112,Cade Otton,TAM,23,TE,7,5,26,18,178,0,8,99,5.5,79,4.4,4.2,0,,1,3.8,0,88.3
113,Hunter Renfrow,LVR,27,WR,5,1,25,18,166,0,9,92,5.1,74,4.1,5.3,0,,0,0,2,56.4
114,Dalvin Cook,MIN,27,RB,7,7,22,17,110,0,7,-24,-1.4,134,7.9,-1.2,1,17,1,4.5,0,87.3
115,Travis Etienne,JAX,23,RB,8,3,26,17,157,0,9,-15,-0.9,172,10.1,1,0,,3,11.5,0,81.7
116,Dawson Knox,BUF,26,TE,6,6,23,17,158,2,9,101,5.9,57,3.4,7.2,1,17,0,0,1,103.2
117,Samaje Perine,CIN,27,RB,8,0,20,17,123,1,4,-7,-0.4,130,7.6,2,3,5.7,1,5,0,109
118,Kalif Raymond,DET,28,WR,7,1,25,17,238,0,9,175,10.3,63,3.7,12.8,1,17,0,0,0,98.4
119,Rachaad White,TAM,23,RB,8,0,22,17,128,0,8,17,1,111,6.5,0.6,1,17,1,4.5,0,90.7
120,Daniel Bellinger,NYG,22,TE,7,6,18,16,152,2,10,55,3.4,97,6.1,3.1,0,,0,0,0,138.9
121,Gabriel Davis,BUF,23,WR,6,6,33,16,418,4,13,301,18.8,117,7.3,16,0,,3,9.1,3,96.3
122,Clyde Edwards-Helaire,KAN,23,RB,7,6,19,16,137,3,10,-7,-0.4,144,9,-0.5,3,5.3,1,5.3,0,136.3
123,Melvin Gordon,DEN,29,RB,8,4,21,16,138,0,7,8,0.5,130,8.1,0.6,1,16,2,9.5,0,93
124,Darrell Henderson,LAR,25,RB,7,4,20,16,91,0,4,-10,-0.6,101,6.3,1.3,0,,0,0,0,85.6
125,Isaiah Likely,BAL,22,TE,8,0,25,16,181,1,9,89,5.6,92,5.8,6,2,8,1,4,0,98.9
126,Elijah Moore,NYJ,22,WR,7,6,30,16,203,0,11,152,9.5,51,3.2,13.4,1,16,2,6.7,0,74.7
127,Darius Slayton,NYG,25,WR,7,3,24,16,232,1,14,187,11.7,45,2.8,14.2,2,8,2,8.3,1,94.4
128,Jonathan Taylor,IND,23,RB,6,6,25,16,71,0,1,-8,-0.5,79,4.9,-0.6,2,8,0,0,1,51.2
129,Michael Thomas,NOR,29,WR,3,3,22,16,171,3,13,150,9.4,21,1.3,10.8,0,,1,4.5,0,134.7
130,Darren Waller,LVR,30,TE,5,4,24,16,175,1,9,128,8,47,2.9,11.5,0,,2,8.3,2,67.2
131,Javonte Williams,DEN,22,RB,4,4,22,16,76,0,4,-42,-2.6,118,7.4,-1.1,2,8,1,4.5,0,77.1
132,Nelson Agholor,NWE,29,WR,7,3,21,15,227,1,7,142,9.5,85,5.7,12.7,0,,2,9.5,2,82.9
133,Rashod Bateman,BAL,23,WR,6,5,28,15,285,2,7,152,10.1,133,8.9,13.4,1,15,4,14.3,1,98.1
134,Hunter Henry,NWE,28,TE,8,7,24,15,190,1,11,129,8.6,61,4.1,8,0,,1,4.2,0,101
135,Jarvis Landry,NOR,30,WR,4,1,21,15,168,0,5,133,8.9,35,2.3,10.8,0,,0,0,1,75.1
136,Foster Moreau,LVR,25,TE,5,4,22,15,133,0,10,51,3.4,82,5.5,5,2,7.5,1,4.5,0,84.1
137,DeVante Parker,NWE,29,WR,8,7,28,15,321,1,13,243,16.2,78,5.2,16.9,2,7.5,0,0,4,66.8
138,Demarcus Robinson,BAL,28,WR,8,1,25,15,140,1,7,83,5.5,57,3.8,8.7,1,15,1,4,2,55.4
139,Trent Sherfield,MIA,26,WR,8,1,23,15,157,0,8,127,8.5,30,2,9.7,0,,0,0,1,66.8
140,Harrison Bryant,CLE,24,TE,8,5,21,14,114,0,4,74,5.3,40,2.9,7.2,0,,3,14.3,0,80.3
