,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
65,Rex Burkhead,HOU,32,RB,5,0,20,64,2,43,2.2,21,1.1,2,10
66,Geno Smith,SEA,32,QB,5,5,20,77,7,70,3.5,7,0.4,0,
67,Justice Hill,BAL,25,RB,4,0,19,125,6,83,4.4,42,2.2,3,6.3
68,Caleb Huntley,ATL,24,RB,3,0,19,93,7,55,2.9,38,2,0,
69,Jaylen Warren,PIT,24,RB,5,0,19,94,6,68,3.6,26,1.4,0,
70,Kenneth Gainwell,PHI,23,RB,5,0,18,72,5,39,2.2,33,1.8,1,18
71,James Cook,BUF,23,RB,5,0,17,89,5,30,1.8,59,3.5,0,
72,Patrick Mahomes,KAN,27,QB,5,5,17,92,7,91,5.4,1,0.1,0,
73,J.D. McKissic,WAS,29,RB,5,0,17,65,4,46,2.7,19,1.1,1,17
74,Zack Moss,BUF,25,RB,5,0,17,91,3,69,4.1,22,1.3,0,
75,Craig Reynolds,DET,26,RB,5,0,17,83,4,54,3.2,29,1.7,0,
76,Carson Wentz,WAS,30,QB,5,5,17,77,3,60,3.5,17,1,1,17
77,Russell Wilson,DEN,34,QB,5,5,17,73,4,66,3.9,7,0.4,0,
78,Justin Herbert,LAC,24,QB,5,5,16,17,3,17,1.1,0,0,0,
79,Trey Lance,SFO,22,QB,2,2,16,67,7,50,3.1,17,1.1,2,8
80,Rachaad White,TAM,23,RB,5,0,16,35,7,17,1.1,18,1.1,1,16
81,Darrel Williams,ARI,27,RB,5,0,16,94,6,76,4.8,18,1.1,0,
82,Deon Jackson,IND,23,RB,5,0,15,59,3,38,2.5,21,1.4,0,
83,Samaje Perine,CIN,27,RB,5,0,15,70,4,47,3.1,23,1.5,1,15
84,Ryan Tannehill,TEN,34,QB,5,5,15,23,4,18,1.2,5,0.3,0,
85,Matt Breida,NYG,27,RB,5,0,14,55,4,31,2.2,24,1.7,0,
86,Tyrion Davis-Price,SFO,22,RB,1,0,14,33,2,9,0.6,24,1.7,1,14
87,Mac Jones,NWE,24,QB,3,3,14,37,4,30,2.1,7,0.5,0,
88,Trevor Lawrence,JAX,23,QB,5,5,14,58,4,47,3.4,11,0.8,1,14
89,Baker Mayfield,CAR,27,QB,5,5,14,40,3,32,2.3,8,0.6,0,
90,Trestan Ebner,CHI,23,RB,5,0,13,43,2,28,2.2,15,1.2,1,13
91,Derek Carr,LVR,31,QB,5,5,11,69,7,59,5.4,10,0.9,0,
92,Phillip Lindsay,IND,28,RB,1,0,11,40,1,24,2.2,16,1.5,0,
93,Latavius Murray,NOR,32,RB,1,0,11,57,4,42,3.8,15,1.4,0,
94,Mike Boone,DEN,27,RB,5,0,10,58,3,33,3.3,25,2.5,2,5
95,Jared Goff,DET,28,QB,5,5,10,23,1,18,1.8,5,0.5,0,
96,Matt Ryan,IND,37,QB,5,5,10,13,3,11,1.1,2,0.2,0,
97,Boston Scott,PHI,27,RB,3,0,10,29,2,15,1.5,14,1.4,1,10
98,Tom Brady,TAM,45,QB,5,5,9,-7,0,-7,-0.8,0,0,0,
99,Hassan Haskins,TEN,23,RB,5,0,9,37,2,13,1.4,24,2.7,0,
100,Nyheim Hines,IND,26,RB,5,4,9,14,1,9,1,5,0.6,0,
101,Brian Robinson Jr.,WAS,23,RB,1,0,9,22,2,19,2.1,3,0.3,0,
102,Cooper Rush,DAL,29,QB,5,4,9,6,1,6,0.7,0,0,0,
103,Tevin Coleman,SFO,29,RB,2,0,8,23,2,14,1.8,9,1.1,0,
104,Andy Dalton,NOR,35,QB,2,2,8,7,1,6,0.8,1,0.1,0,
105,Mike Davis,BAL,29,RB,5,0,8,18,1,13,1.6,5,0.6,1,8
106,Aaron Rodgers,GNB,39,QB,5,5,8,9,1,9,1.1,0,0,0,
107,Curtis Samuel,WAS,26,WR,5,4,8,51,3,31,3.9,20,2.5,1,8
108,Brandon Bolden,LVR,32,RB,4,0,7,29,1,25,3.6,4,0.6,0,
109,Chase Claypool,PIT,24,WR,5,5,7,47,3,37,5.3,10,1.4,0,
110,Kirk Cousins,MIN,34,QB,5,5,7,23,3,9,1.3,14,2,0,
111,D'Onta Foreman,CAR,26,RB,5,0,7,18,1,8,1.1,10,1.4,0,
112,Jimmy Garoppolo,SFO,31,QB,4,3,7,7,3,3,0.4,4,0.6,0,
113,Kenny Pickett,PIT,24,QB,2,1,7,25,4,24,3.4,1,0.1,0,
114,Mitchell Trubisky,PIT,28,QB,4,4,7,24,2,21,3,3,0.4,0,
115,Avery Williams,ATL,24,RB,5,1,7,48,3,37,5.3,11,1.6,0,
116,Davis Mills,HOU,24,QB,5,5,6,2,0,1,0.2,1,0.2,0,
117,Elijah Mitchell,SFO,24,RB,1,1,6,41,2,28,4.7,13,2.2,1,6
118,Matthew Stafford,LAR,34,QB,5,5,6,10,2,4,0.7,6,1,1,6
119,Jonathan Williams,WAS,28,RB,5,0,6,54,3,21,3.5,33,5.5,1,6
