,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,28,RB,12,12,258,1078,10,46,512,2,566,2.2,25,10.3
2,Saquon Barkley,NYG,25,RB,12,12,242,1055,8,46,592,2.4,463,1.9,7,34.6
3,Josh Jacobs,LVR,24,RB,12,12,242,1303,10,72,630,2.6,673,2.8,28,8.6
4,Nick Chubb,CLE,27,RB,12,12,217,1119,12,50,577,2.7,542,2.5,23,9.4
5,Dalvin Cook,MIN,27,RB,12,12,198,927,7,40,533,2.7,394,2,10,19.8
6,Dameon Pierce,HOU,22,RB,12,12,198,861,3,50,397,2,464,2.3,26,7.6
7,Jonathan Taylor,IND,23,RB,10,10,192,861,4,39,480,2.5,381,2,24,8
8,Jamaal Williams,DET,27,RB,12,6,188,769,14,53,476,2.5,293,1.6,10,18.8
9,Miles Sanders,PHI,25,RB,12,10,187,924,9,48,582,3.1,342,1.8,9,20.8
10,Najee Harris,PIT,24,RB,12,12,175,671,4,27,353,2,318,1.8,14,12.5
11,Aaron Jones,GNB,28,RB,13,13,164,847,2,43,490,3,357,2.2,11,14.9
12,Rhamondre Stevenson,NWE,24,RB,12,4,161,734,4,39,343,2.1,391,2.4,21,7.7
13,Christian McCaffrey,2TM,26,RB,12,11,160,700,4,35,408,2.6,292,1.8,8,20
14,David Montgomery,CHI,25,RB,12,12,160,641,4,35,292,1.8,349,2.2,20,8
15,Joe Mixon,CIN,26,RB,10,10,158,605,6,36,377,2.4,228,1.4,7,22.6
16,Ezekiel Elliott,DAL,27,RB,10,9,157,654,8,40,387,2.5,267,1.7,7,22.4
17,Tony Pollard,DAL,25,RB,12,4,148,852,8,37,402,2.7,450,3,8,18.5
18,Brian Robinson Jr.,WAS,23,RB,9,7,147,563,2,38,334,2.3,229,1.6,5,29.4
19,Travis Etienne,JAX,23,RB,12,7,146,782,4,38,463,3.2,319,2.2,13,11.2
20,Leonard Fournette,TAM,27,RB,11,9,145,511,3,31,291,2,220,1.5,4,36.3
21,AJ Dillon,GNB,24,RB,13,3,143,624,3,35,395,2.8,229,1.6,5,28.6
22,Alvin Kamara,NOR,27,RB,11,10,143,550,1,26,310,2.2,240,1.7,7,20.4
23,Antonio Gibson,WAS,24,RB,13,6,139,515,3,31,309,2.2,206,1.5,5,27.8
24,Austin Ekeler,LAC,27,RB,12,12,138,589,7,25,392,2.8,197,1.4,2,69
25,Kenneth Walker III,SEA,22,RB,11,7,138,649,9,32,382,2.8,267,1.9,7,19.7
26,Devin Singletary,BUF,25,RB,12,12,137,603,4,32,402,2.9,201,1.5,7,19.6
27,Jalen Hurts,PHI,24,QB,12,12,132,609,9,53,481,3.6,128,1,8,16.5
28,Jeff Wilson,2TM,27,RB,12,7,132,680,4,32,481,3.6,199,1.5,8,16.5
29,Tyler Allgeier,ATL,22,RB,12,5,131,604,1,28,348,2.7,256,2,3,43.7
30,Justin Fields,CHI,23,QB,12,12,128,905,8,57,675,5.3,230,1.8,8,16
31,D'Onta Foreman,CAR,26,RB,12,5,126,563,4,27,307,2.4,256,2,7,18
32,Raheem Mostert,MIA,30,RB,11,9,125,573,3,30,384,3.1,189,1.5,6,20.8
33,James Conner,ARI,27,RB,9,9,121,476,4,32,272,2.2,204,1.7,2,60.5
34,Lamar Jackson,BAL,25,QB,12,12,112,764,3,47,542,4.8,222,2,14,8
35,Isiah Pacheco,KAN,22,RB,12,6,111,521,3,21,295,2.7,226,2,3,37
36,James Robinson,2TM,24,RB,11,5,110,425,3,22,287,2.6,138,1.3,6,18.3
37,Khalil Herbert,CHI,24,RB,10,1,108,643,4,22,352,3.3,291,2.7,9,12
38,Cordarrelle Patterson,ATL,31,RB,9,8,108,566,5,32,339,3.1,227,2.1,2,54
39,Latavius Murray,2TM,32,RB,8,2,104,405,4,20,228,2.2,177,1.7,5,20.8
40,Kareem Hunt,CLE,27,RB,12,0,102,417,3,28,202,2,215,2.1,6,17
41,Cam Akers,LAR,23,RB,10,4,101,334,3,19,140,1.4,194,1.9,3,33.7
42,Michael Carter,NYJ,23,RB,11,9,99,370,3,13,247,2.5,123,1.2,6,16.5
43,Kenyan Drake,BAL,28,RB,10,5,92,421,3,19,305,3.3,116,1.3,0,
44,Daniel Jones,NYG,25,QB,12,12,91,522,4,42,420,4.6,102,1.1,1,91
45,Melvin Gordon,DEN,29,RB,10,6,90,318,2,15,168,1.9,150,1.7,5,18
46,Josh Allen,BUF,26,QB,12,12,89,581,5,42,436,4.9,145,1.6,2,44.5
47,Marcus Mariota,ATL,29,QB,13,13,85,438,4,30,333,3.9,105,1.2,1,85
48,Damien Harris,NWE,25,RB,9,8,84,383,3,19,247,2.9,136,1.6,4,21
49,Rachaad White,TAM,23,RB,12,3,83,314,1,18,200,2.4,114,1.4,3,27.7
50,Breece Hall,NYJ,21,RB,7,2,80,463,4,20,332,4.2,131,1.6,3,26.7
51,Caleb Huntley,ATL,24,RB,11,0,75,364,1,18,219,2.9,145,1.9,0,
52,Samaje Perine,CIN,27,RB,12,2,74,327,1,17,184,2.5,143,1.9,4,18.5
53,Clyde Edwards-Helaire,KAN,23,RB,10,6,71,302,3,15,134,1.9,168,2.4,3,23.7
54,Eno Benjamin,2TM,23,,11,3,70,299,2,14,150,2.1,149,2.1,7,10
55,Darrell Henderson,LAR,25,RB,10,7,70,283,3,14,183,2.6,100,1.4,2,35
56,Kyler Murray,ARI,25,QB,10,10,66,415,3,23,392,5.9,23,0.3,2,33
57,D'Andre Swift,DET,23,RB,9,6,64,354,4,13,246,3.8,108,1.7,4,16
58,Mark Ingram,NOR,33,RB,10,3,62,233,1,12,139,2.2,94,1.5,4,15.5
