Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Cooper Kupp,LAR,29,WR,6,6,72,56,607,4,34,290,5.2,317,5.7,7.3,3,18.7,2,2.8,4,97.2
2,Tyreek Hill,MIA,28,WR,6,6,65,50,701,2,31,443,8.9,258,5.2,10.2,4,12.5,3,4.6,2,108.6
3,Stefon Diggs,BUF,29,WR,6,6,65,49,656,6,31,432,8.8,224,4.6,9.9,0,,2,3.1,0,137.7
4,Justin Jefferson,MIN,23,WR,6,6,63,46,654,2,28,354,7.7,300,6.5,7.8,3,15.3,1,1.6,2,103.5
5,Marquise Brown,ARI,25,WR,6,6,64,43,485,3,24,326,7.6,159,3.7,10.5,1,43,2,3.1,4,79.2
6,Austin Ekeler,LAC,27,RB,6,6,49,41,261,2,13,-83,-2,344,8.4,-1.1,6,6.8,3,6.1,0,102.5
7,Travis Kelce,KAN,33,TE,6,6,52,41,455,7,32,282,6.9,173,4.2,7.9,7,5.9,1,1.9,0,142.7
8,Mark Andrews,BAL,27,TE,6,6,57,39,455,5,28,326,8.4,129,3.3,11.1,1,39,5,8.8,1,114.3
9,Ja'Marr Chase,CIN,22,WR,6,6,63,39,475,4,28,241,6.2,234,6,8.9,7,5.6,5,7.9,1,99.6
10,Michael Pittman Jr.,IND,25,WR,5,5,52,38,417,1,24,228,6,189,5,5.8,3,12.7,1,1.9,1,94.8
11,Zach Ertz,ARI,32,TE,6,6,51,35,299,2,17,203,5.8,96,2.7,7.6,1,35,3,5.9,0,96.8
12,Tyler Higbee,LAR,29,TE,6,6,50,34,297,0,16,103,3,194,5.7,3.5,2,17,3,6,3,58.5
13,Tyler Lockett,SEA,30,WR,6,6,45,34,423,2,19,369,10.9,54,1.6,13.1,0,,0,0,2,100.5
14,Curtis Samuel,WAS,26,WR,6,5,50,34,287,2,17,135,4,152,4.5,5.1,4,8.5,3,6,1,87.7
15,A.J. Brown,PHI,25,WR,6,5,53,33,503,2,23,286,8.7,217,6.6,9.6,3,11,2,3.8,0,106.1
16,Diontae Johnson,PIT,26,WR,6,6,57,33,295,0,16,265,8,30,0.9,10.6,0,,2,3.5,3,50
17,CeeDee Lamb,DAL,23,WR,6,6,60,33,409,2,21,236,7.2,173,5.2,9.4,1,33,4,6.7,1,80.5
18,Christian McCaffrey,CAR,26,RB,6,6,43,33,277,1,10,-17,-0.5,294,8.9,0,3,11,2,4.7,1,90.9
19,DeVonta Smith,PHI,24,WR,6,6,43,33,397,2,21,237,7.2,160,4.8,8.9,2,16.5,2,4.7,0,120
20,Leonard Fournette,TAM,27,RB,6,6,36,32,232,3,12,-37,-1.2,269,8.4,-1.1,9,3.6,1,2.8,0,121.3
21,Amari Cooper,CLE,28,WR,6,6,55,31,348,4,22,271,8.7,77,2.5,10.5,0,,4,7.3,2,84.5
22,Courtland Sutton,DEN,27,WR,6,6,49,31,431,1,19,343,11.1,88,2.8,11.9,0,,4,8.2,1,89.8
23,D.K. Metcalf,SEA,25,WR,6,6,50,30,406,2,16,300,10,106,3.5,11.2,0,,4,8,1,90.9
24,Jaylen Waddle,MIA,24,WR,6,6,49,30,533,3,23,303,10.1,230,7.7,9.8,2,15,3,6.1,2,101.8
25,Mike Williams,LAC,28,WR,6,6,50,30,409,2,16,270,9,139,4.6,11.9,0,,1,2,0,99.5
26,Davante Adams,LVR,30,WR,5,5,54,29,414,5,19,276,9.5,138,4.8,11,2,14.5,1,1.9,1,101.9
27,Adam Thielen,MIN,32,WR,6,6,43,29,284,2,21,229,7.9,55,1.9,9,0,,0,0,2,81.9
28,Zay Jones,JAX,27,WR,5,4,37,27,227,1,14,123,4.6,104,3.9,7.1,0,,2,5.4,1,86.2
29,David Njoku,CLE,26,TE,6,6,35,27,347,1,19,175,6.5,172,6.4,7.1,2,13.5,2,5.7,1,105.3
30,Deebo Samuel,SFO,26,WR,6,5,47,27,345,2,13,79,2.9,266,9.9,5.1,8,3.4,7,14.9,3,68.1
31,JuJu Smith-Schuster,KAN,26,WR,6,6,40,27,370,1,16,159,5.9,211,7.8,8.4,1,27,3,7.5,2,84.4
